Ohio, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,1.76,-1.05
201002,2.05,-0.24
201003,2.85,-0.52
201004,2.18,-1.33
201005,5.37,1.57
201006,6.32,2.34
201007,3.45,-0.53
201008,2.72,-0.75
201009,2.11,-0.89
201010,1.93,-0.62
201011,4.14,1.37
201012,1.88,-0.87
201101,1.47,-1.34
201102,4.58,2.29
201103,4.24,0.87
201104,7.63,4.12
201105,6.55,2.75
201106,3.81,-0.17
201107,3.80,-0.18
201108,3.93,0.46
201109,5.89,2.89
201110,4.36,1.81
201111,5.42,2.65
201112,4.27,1.52
201201,3.38,0.57
201202,1.62,-0.67
201203,3.09,-0.28
201204,1.93,-1.58
201205,3.68,-0.12
201206,2.12,-1.86
201207,3.45,-0.53
201208,2.97,-0.50
201209,5.10,2.10
201210,4.47,1.92
201211,0.83,-1.94
201212,4.64,1.89
201301,2.61,-0.20
201302,1.88,-0.41
201303,2.42,-0.95
201304,3.84,0.33
201305,2.28,-1.52
201306,5.92,1.94
201307,6.68,2.70
201308,2.70,-0.77
201309,2.63,-0.37
201310,3.64,1.09
201311,2.96,0.19
201312,4.13,1.38
201401,2.08,-0.73
201402,2.60,0.31
201403,2.00,-1.37
201404,5.28,1.77
201405,3.98,0.18
201406,5.42,1.44
201407,3.45,-0.53
201408,4.14,0.67
201409,2.19,-0.81
201410,2.97,0.42
201411,1.93,-0.84
201412,2.52,-0.23
201501,2.46,-0.35
201502,1.47,-0.82
201503,3.52,0.15
201504,4.58,1.07
201505,3.34,-0.46
201506,8.03,4.05
201507,4.75,0.77
201508,2.49,-0.98
201509,3.07,0.07
201510,2.76,0.21
201511,2.24,-0.53
201512,4.30,1.55
201601,1.34,-1.47
201602,3.24,0.95
201603,4.01,0.64
201604,3.40,-0.11
201605,3.40,-0.40
201606,3.29,-0.69
201607,3.23,-0.75
201608,4.20,0.73
201609,3.72,0.72
201610,2.93,0.38
201611,1.31,-1.46
201612,3.32,0.57
201701,4.06,1.25
201702,2.03,-0.26
201703,4.50,1.13
201704,4.06,0.55
201705,5.29,1.49
201706,4.62,0.64
201707,6.29,2.31
201708,2.32,-1.15
201709,1.87,-1.13
201710,3.77,1.22
201711,5.14,2.37
201712,1.56,-1.19
201801,2.31,-0.50
201802,5.40,3.11
201803,3.30,-0.07
201804,4.63,1.12
201805,4.00,0.20
201806,5.50,1.52
201807,3.26,-0.72
201808,4.96,1.49
201809,6.30,3.30
201810,2.77,0.22
201811,5.16,2.39
201812,3.34,0.59
201901,3.42,0.61
201902,4.69,2.40
201903,3.54,0.17
201904,4.31,0.80
201905,4.82,1.02
201906,6.76,2.78
201907,4.45,0.47
201908,3.64,0.17
201909,1.74,-1.26
201910,3.80,1.25
201911,2.19,-0.58
201912,3.51,0.76
202001,3.51,0.70
202002,2.98,0.69
202003,4.98,1.61
202004,3.66,0.15
202005,5.11,1.31
202006,3.12,-0.86
202007,3.16,-0.82
202008,3.71,0.24
202009,3.18,0.18
202010,4.19,1.64
202011,2.51,-0.26
202012,2.21,-0.54
202101,1.98,-0.83
202102,2.03,-0.26
202103,2.98,-0.39
202104,2.88,-0.63
202105,3.79,-0.01
202106,4.25,0.27
202107,5.66,1.68
202108,4.29,0.82
202109,3.79,0.79
202110,4.64,2.09
202111,1.56,-1.21
202112,3.81,1.06
202201,2.32,-0.49
202202,4.83,2.54
202203,2.79,-0.58
