Oklahoma, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,1.86,0.43
201002,1.92,0.30
201003,2.03,-0.45
201004,2.63,-0.79
201005,4.80,-0.04
201006,4.12,0.10
201007,4.46,1.61
201008,1.69,-1.16
201009,4.13,0.72
201010,1.67,-1.32
201011,1.87,-0.34
201012,0.86,-0.86
201101,0.28,-1.15
201102,1.57,-0.05
201103,0.74,-1.74
201104,3.49,0.07
201105,4.47,-0.37
201106,1.17,-2.85
201107,0.79,-2.06
201108,2.36,-0.49
201109,1.72,-1.69
201110,2.79,-0.20
201111,4.38,2.17
201112,2.48,0.76
201201,1.86,0.43
201202,1.86,0.24
201203,4.56,2.08
201204,3.45,0.03
201205,2.15,-2.69
201206,2.45,-1.57
201207,1.16,-1.69
201208,2.42,-0.43
201209,2.94,-0.47
201210,1.20,-1.79
201211,0.63,-1.58
201212,1.02,-0.70
201301,1.77,0.34
201302,3.24,1.62
201303,1.59,-0.89
201304,3.81,0.39
201305,4.73,-0.11
201306,3.87,-0.15
201307,5.28,2.43
201308,3.34,0.49
201309,2.58,-0.83
201310,3.10,0.11
201311,1.72,-0.49
201312,1.67,-0.05
201401,0.33,-1.10
201402,0.49,-1.13
201403,1.74,-0.74
201404,1.69,-1.73
201405,3.14,-1.70
201406,5.71,1.69
201407,4.57,1.72
201408,1.55,-1.30
201409,2.57,-0.84
201410,3.44,0.45
201411,2.20,-0.01
201412,1.44,-0.28
201501,1.21,-0.22
201502,1.18,-0.44
201503,2.41,-0.07
201504,4.85,1.43
201505,14.44,9.60
201506,4.81,0.79
201507,5.43,2.58
201508,2.45,-0.40
201509,2.07,-1.34
201510,3.26,0.27
201511,6.05,3.84
201512,5.56,3.84
201601,0.50,-0.93
201602,1.02,-0.60
201603,2.47,-0.01
201604,6.05,2.63
201605,3.86,-0.98
201606,3.26,-0.76
201607,3.72,0.87
201608,2.90,0.05
201609,3.53,0.12
201610,1.87,-1.12
201611,1.25,-0.96
201612,0.76,-0.96
201701,2.59,1.16
201702,2.05,0.43
201703,2.60,0.12
201704,6.62,3.20
201705,4.49,-0.35
201706,2.57,-1.45
201707,3.85,1.00
201708,6.42,3.57
201709,2.57,-0.84
201710,3.62,0.63
201711,0.26,-1.95
201712,0.97,-0.75
201801,0.53,-0.90
201802,4.09,2.47
201803,2.10,-0.38
201804,2.18,-1.24
201805,3.92,-0.92
201806,3.70,-0.32
201807,3.26,0.41
201808,4.27,1.42
201809,5.50,2.09
201810,6.55,3.56
201811,1.09,-1.12
201812,3.82,2.10
201901,2.10,0.67
201902,1.48,-0.14
201903,2.63,0.15
201904,3.91,0.49
201905,11.61,6.77
201906,5.09,1.07
201907,1.83,-1.02
201908,5.14,2.29
201909,3.01,-0.40
201910,4.75,1.76
201911,2.34,0.13
201912,1.09,-0.63
202001,3.60,2.17
202002,1.83,0.21
202003,5.17,2.69
202004,2.92,-0.50
202005,5.07,0.23
202006,2.09,-1.93
202007,4.75,1.90
202008,2.79,-0.06
202009,4.40,0.99
202010,3.21,0.22
202011,1.10,-1.11
202012,2.28,0.56
202101,2.24,0.81
202102,0.80,-0.82
202103,3.19,0.71
202104,3.44,0.02
202105,5.61,0.77
202106,5.05,1.03
202107,3.68,0.83
202108,2.56,-0.29
202109,1.09,-2.32
202110,4.21,1.22
202111,0.90,-1.31
202112,0.88,-0.84
202201,0.65,-0.78
202202,1.71,0.09
202203,2.63,0.15
