Oregon, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,4.52,-0.24
201002,2.59,-1.23
201003,3.57,0.13
201004,3.89,1.51
201005,3.02,0.94
201006,2.85,1.31
201007,0.23,-0.30
201008,0.39,-0.22
201009,1.54,0.30
201010,3.59,1.15
201011,4.62,0.08
201012,7.10,2.27
201101,3.15,-1.61
201102,3.25,-0.57
201103,6.37,2.93
201104,3.94,1.56
201105,3.40,1.32
201106,1.45,-0.09
201107,0.67,0.14
201108,0.08,-0.53
201109,0.23,-1.01
201110,2.06,-0.38
201111,3.54,-1.00
201112,2.54,-2.29
201201,5.82,1.06
201202,2.90,-0.92
201203,7.19,3.75
201204,3.32,0.94
201205,1.89,-0.19
201206,2.45,0.91
201207,0.45,-0.08
201208,0.08,-0.53
201209,0.09,-1.15
201210,3.77,1.33
201211,5.39,0.85
201212,6.73,1.90
201301,2.60,-2.16
201302,1.61,-2.21
201303,1.86,-1.58
201304,2.17,-0.21
201305,2.42,0.34
201306,1.49,-0.05
201307,0.20,-0.33
201308,0.86,0.25
201309,4.23,2.99
201310,0.99,-1.45
201311,2.40,-2.14
201312,1.89,-2.94
201401,2.35,-2.41
201402,5.78,1.96
201403,5.52,2.08
201404,2.52,0.14
201405,1.80,-0.28
201406,1.14,-0.40
201407,0.50,-0.03
201408,0.67,0.06
201409,1.14,-0.10
201410,3.50,1.06
201411,4.14,-0.40
201412,6.23,1.40
201501,1.98,-2.78
201502,3.58,-0.24
201503,2.59,-0.85
201504,1.55,-0.83
201505,2.17,0.09
201506,0.42,-1.12
201507,0.76,0.23
201508,0.38,-0.23
201509,0.83,-0.41
201510,1.93,-0.51
201511,3.85,-0.69
201512,10.13,5.30
201601,5.16,0.40
201602,2.48,-1.34
201603,4.96,1.52
201604,1.78,-0.60
201605,1.57,-0.51
201606,1.03,-0.51
201607,0.66,0.13
201608,0.10,-0.51
201609,0.61,-0.63
201610,7.24,4.80
201611,3.83,-0.71
201612,5.26,0.43
201701,5.01,0.25
201702,6.48,2.66
201703,5.79,2.35
201704,3.89,1.51
201705,1.59,-0.49
201706,1.38,-0.16
201707,0.07,-0.46
201708,0.21,-0.40
201709,1.37,0.13
201710,3.11,0.67
201711,5.11,0.57
201712,2.21,-2.62
201801,4.14,-0.62
201802,2.29,-1.53
201803,3.42,-0.02
201804,3.26,0.88
201805,1.27,-0.81
201806,1.13,-0.41
201807,0.06,-0.47
201808,0.16,-0.45
201809,0.31,-0.93
201810,2.12,-0.32
201811,2.71,-1.83
201812,4.54,-0.29
201901,3.48,-1.28
201902,6.62,2.80
201903,2.05,-1.39
201904,4.76,2.38
201905,2.55,0.47
201906,0.66,-0.88
201907,0.26,-0.27
201908,0.67,0.06
201909,2.68,1.44
201910,1.57,-0.87
201911,1.19,-3.35
201912,3.54,-1.29
202001,6.75,1.99
202002,2.17,-1.65
202003,2.39,-1.05
202004,1.37,-1.01
202005,2.99,0.91
202006,1.99,0.45
202007,0.12,-0.41
202008,0.15,-0.46
202009,0.89,-0.35
202010,1.36,-1.08
202011,4.60,0.06
202012,3.98,-0.85
202101,4.51,-0.25
202102,4.46,0.64
202103,1.84,-1.60
202104,0.66,-1.72
202105,1.07,-1.01
202106,0.96,-0.58
202107,0.16,-0.37
202108,0.21,-0.40
202109,1.88,0.64
202110,3.13,0.69
202111,3.84,-0.70
202112,5.76,0.93
202201,3.17,-1.59
202202,1.33,-2.49
202203,2.19,-1.25
