Pennsylvania, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,3.08,0.03
201002,2.66,0.06
201003,3.57,0.08
201004,2.31,-1.33
201005,4.02,0.09
201006,3.63,-0.54
201007,4.64,0.45
201008,3.11,-0.76
201009,3.41,-0.18
201010,5.15,1.98
201011,3.29,0.11
201012,3.44,0.33
201101,1.90,-1.15
201102,3.73,1.13
201103,5.79,2.30
201104,8.06,4.42
201105,5.70,1.77
201106,3.18,-0.99
201107,2.98,-1.21
201108,6.88,3.01
201109,10.10,6.51
201110,4.96,1.79
201111,3.94,0.76
201112,3.78,0.67
201201,3.36,0.31
201202,1.50,-1.10
201203,2.89,-0.60
201204,2.15,-1.49
201205,5.10,1.17
201206,3.30,-0.87
201207,4.73,0.54
201208,3.52,-0.35
201209,5.11,1.52
201210,5.58,2.41
201211,1.01,-2.17
201212,5.24,2.13
201301,2.97,-0.08
201302,1.98,-0.62
201303,2.14,-1.35
201304,3.02,-0.62
201305,3.23,-0.70
201306,6.11,1.94
201307,5.09,0.90
201308,3.85,-0.02
201309,2.37,-1.22
201310,3.65,0.48
201311,3.42,0.24
201312,3.99,0.88
201401,2.32,-0.73
201402,3.24,0.64
201403,2.60,-0.89
201404,3.85,0.21
201405,5.29,1.36
201406,5.31,1.14
201407,4.53,0.34
201408,4.28,0.41
201409,1.88,-1.71
201410,3.73,0.56
201411,2.44,-0.74
201412,2.96,-0.15
201501,2.44,-0.61
201502,1.52,-1.08
201503,3.19,-0.30
201504,3.86,0.22
201505,2.57,-1.36
201506,8.36,4.19
201507,4.33,0.14
201508,2.57,-1.30
201509,4.32,0.73
201510,3.78,0.61
201511,2.06,-1.12
201512,4.10,0.99
201601,2.39,-0.66
201602,3.94,1.34
201603,1.96,-1.53
201604,2.63,-1.01
201605,3.88,-0.05
201606,3.35,-0.82
201607,3.79,-0.40
201608,4.09,0.22
201609,3.55,-0.04
201610,4.31,1.14
201611,1.49,-1.69
201612,3.62,0.51
201701,3.82,0.77
201702,2.20,-0.40
201703,3.98,0.49
201704,4.32,0.68
201705,5.95,2.02
201706,4.62,0.45
201707,6.14,1.95
201708,3.84,-0.03
201709,2.06,-1.53
201710,5.09,1.92
201711,2.89,-0.29
201712,1.70,-1.41
201801,3.28,0.23
201802,5.40,2.80
201803,3.12,-0.37
201804,4.17,0.53
201805,5.48,1.55
201806,5.32,1.15
201807,7.53,3.34
201808,6.26,2.39
201809,8.88,5.29
201810,4.28,1.11
201811,6.06,2.88
201812,4.26,1.15
201901,4.27,1.22
201902,3.45,0.85
201903,2.97,-0.52
201904,4.53,0.89
201905,6.52,2.59
201906,5.82,1.65
201907,5.62,1.43
201908,3.71,-0.16
201909,2.13,-1.46
201910,5.61,2.44
201911,2.44,-0.74
201912,3.71,0.60
202001,3.05,0.00
202002,3.35,0.75
202003,4.27,0.78
202004,4.51,0.87
202005,3.47,-0.46
202006,3.17,-1.00
202007,3.57,-0.62
202008,4.37,0.50
202009,2.46,-1.13
202010,3.63,0.46
202011,2.97,-0.21
202012,4.44,1.33
202101,1.80,-1.25
202102,3.02,0.42
202103,2.81,-0.68
202104,2.79,-0.85
202105,4.28,0.35
202106,3.54,-0.63
202107,6.25,2.06
202108,5.87,2.00
202109,6.98,3.39
202110,4.61,1.44
202111,1.74,-1.44
202112,2.42,-0.69
202201,2.54,-0.51
202202,4.29,1.69
202203,2.65,-0.84
