South Dakota, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,0.61,0.14
201002,0.60,0.06
201003,1.19,0.14
201004,2.38,0.43
201005,3.69,0.77
201006,4.92,1.49
201007,3.73,1.19
201008,2.02,-0.11
201009,3.26,1.65
201010,1.00,-0.28
201011,0.33,-0.33
201012,0.95,0.47
201101,0.93,0.46
201102,1.13,0.59
201103,1.05,0.00
201104,2.29,0.34
201105,4.50,1.58
201106,4.52,1.09
201107,3.15,0.61
201108,2.32,0.19
201109,0.63,-0.98
201110,1.11,-0.17
201111,0.24,-0.42
201112,0.26,-0.22
201201,0.41,-0.06
201202,1.13,0.59
201203,0.37,-0.68
201204,3.06,1.11
201205,2.79,-0.13
201206,2.18,-1.25
201207,1.54,-1.00
201208,1.12,-1.01
201209,0.20,-1.41
201210,0.83,-0.45
201211,0.32,-0.34
201212,0.63,0.15
201301,0.45,-0.02
201302,0.70,0.16
201303,0.67,-0.38
201304,2.33,0.38
201305,4.82,1.90
201306,3.12,-0.31
201307,2.47,-0.07
201308,2.41,0.28
201309,1.91,0.30
201310,5.01,3.73
201311,0.30,-0.36
201312,0.75,0.27
201401,0.24,-0.23
201402,0.36,-0.18
201403,0.76,-0.29
201404,1.97,0.02
201405,2.42,-0.50
201406,5.89,2.46
201407,1.04,-1.50
201408,4.04,1.91
201409,1.61,0.00
201410,0.57,-0.71
201411,0.62,-0.04
201412,0.67,0.19
201501,0.27,-0.20
201502,0.34,-0.20
201503,0.24,-0.81
201504,0.87,-1.08
201505,5.72,2.80
201506,4.05,0.62
201507,3.02,0.48
201508,3.36,1.23
201509,1.33,-0.28
201510,1.44,0.16
201511,1.02,0.36
201512,1.12,0.64
201601,0.27,-0.20
201602,0.58,0.04
201603,1.04,-0.01
201604,3.76,1.81
201605,2.54,-0.38
201606,1.78,-1.65
201607,2.74,0.20
201608,2.61,0.48
201609,1.97,0.36
201610,1.23,-0.05
201611,0.91,0.25
201612,1.25,0.77
201701,0.68,0.21
201702,0.37,-0.17
201703,0.66,-0.39
201704,1.94,-0.01
201705,2.12,-0.80
201706,2.19,-1.24
201707,2.12,-0.42
201708,3.17,1.04
201709,2.49,0.88
201710,1.24,-0.04
201711,0.23,-0.43
201712,0.42,-0.06
201801,0.30,-0.17
201802,0.94,0.40
201803,1.53,0.48
201804,1.70,-0.25
201805,2.71,-0.21
201806,4.78,1.35
201807,3.40,0.86
201808,1.94,-0.19
201809,2.55,0.94
201810,1.70,0.42
201811,0.73,0.07
201812,0.97,0.49
201901,0.49,0.02
201902,1.01,0.47
201903,1.69,0.64
201904,2.64,0.69
201905,5.90,2.98
201906,2.63,-0.80
201907,5.45,2.91
201908,3.65,1.52
201909,3.90,2.29
201910,2.13,0.85
201911,0.94,0.28
201912,0.97,0.49
202001,0.41,-0.06
202002,0.42,-0.12
202003,0.78,-0.27
202004,0.94,-1.01
202005,2.71,-0.21
202006,3.04,-0.39
202007,3.34,0.80
202008,1.97,-0.16
202009,0.74,-0.87
202010,1.11,-0.17
202011,0.36,-0.30
202012,0.35,-0.13
202101,0.32,-0.15
202102,0.37,-0.17
202103,1.22,0.17
202104,1.48,-0.47
202105,2.25,-0.67
202106,1.19,-2.24
202107,2.47,-0.07
202108,2.55,0.42
202109,2.03,0.42
202110,3.42,2.14
202111,0.24,-0.42
202112,0.63,0.15
202201,0.20,-0.27
202202,0.27,-0.27
202203,0.45,-0.60
