Tennessee, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,5.30,0.41
201002,3.12,-1.33
201003,3.88,-1.57
201004,3.09,-1.42
201005,9.01,4.57
201006,3.33,-0.90
201007,4.34,-0.04
201008,4.37,0.52
201009,2.02,-1.38
201010,2.75,-0.28
201011,5.64,1.59
201012,2.80,-2.15
201101,3.18,-1.71
201102,4.21,-0.24
201103,6.96,1.51
201104,9.83,5.32
201105,5.02,0.58
201106,5.68,1.45
201107,3.17,-1.21
201108,1.58,-2.27
201109,6.56,3.16
201110,2.55,-0.48
201111,7.56,3.51
201112,6.29,1.34
201201,4.88,-0.01
201202,2.90,-1.55
201203,4.86,-0.59
201204,2.01,-2.50
201205,3.25,-1.19
201206,2.15,-2.08
201207,5.75,1.37
201208,3.58,-0.27
201209,5.81,2.41
201210,4.09,1.06
201211,1.70,-2.35
201212,5.91,0.96
201301,8.64,3.75
201302,3.01,-1.44
201303,4.97,-0.48
201304,7.88,3.37
201305,5.66,1.22
201306,5.83,1.60
201307,6.96,2.58
201308,4.25,0.40
201309,3.72,0.32
201310,1.85,-1.18
201311,3.71,-0.34
201312,6.79,1.84
201401,2.70,-2.19
201402,5.18,0.73
201403,3.93,-1.52
201404,5.81,1.30
201405,2.91,-1.53
201406,6.82,2.59
201407,4.13,-0.25
201408,5.00,1.15
201409,2.22,-1.18
201410,7.01,3.98
201411,3.22,-0.83
201412,4.59,-0.36
201501,2.81,-2.08
201502,4.56,0.11
201503,5.41,-0.04
201504,5.96,1.45
201505,3.68,-0.76
201506,4.76,0.53
201507,6.48,2.10
201508,4.53,0.68
201509,2.73,-0.67
201510,3.96,0.93
201511,6.38,2.33
201512,7.90,2.95
201601,2.76,-2.13
201602,5.79,1.34
201603,5.16,-0.29
201604,3.20,-1.31
201605,3.80,-0.64
201606,3.99,-0.24
201607,4.86,0.48
201608,5.03,1.18
201609,1.80,-1.60
201610,0.73,-2.30
201611,3.05,-1.00
201612,6.87,1.92
201701,4.24,-0.65
201702,2.38,-2.07
201703,5.77,0.32
201704,6.61,2.10
201705,5.95,1.51
201706,4.37,0.14
201707,5.36,0.98
201708,4.90,1.05
201709,4.31,0.91
201710,4.92,1.89
201711,2.78,-1.27
201712,4.63,-0.32
201801,2.55,-2.34
201802,10.73,6.28
201803,5.67,0.22
201804,5.97,1.46
201805,4.99,0.55
201806,5.74,1.51
201807,3.52,-0.86
201808,4.26,0.41
201809,7.29,3.89
201810,3.57,0.54
201811,5.51,1.46
201812,7.34,2.39
201901,5.78,0.89
201902,12.07,7.62
201903,4.26,-1.19
201904,5.84,1.33
201905,3.71,-0.73
201906,6.46,2.23
201907,6.13,1.75
201908,3.97,0.12
201909,0.50,-2.90
201910,7.28,4.25
201911,4.74,0.69
201912,6.17,1.22
202001,6.73,1.84
202002,9.18,4.73
202003,8.15,2.70
202004,6.56,2.05
202005,4.56,0.12
202006,3.88,-0.35
202007,4.76,0.38
202008,5.93,2.08
202009,4.37,0.97
202010,4.97,1.94
202011,1.98,-2.07
202012,4.66,-0.29
202101,3.32,-1.57
202102,5.08,0.63
202103,10.19,4.74
202104,2.82,-1.69
202105,4.28,-0.16
202106,4.53,0.30
202107,5.08,0.70
202108,7.17,3.32
202109,4.90,1.50
202110,5.29,2.26
202111,1.69,-2.36
202112,4.64,-0.31
202201,6.09,1.20
202202,8.42,3.97
202203,4.57,-0.88
