Virginia, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,4.18,0.83
201002,2.96,-0.06
201003,4.61,0.83
201004,1.73,-1.64
201005,4.25,0.42
201006,2.53,-1.45
201007,2.82,-1.70
201008,4.56,0.21
201009,5.36,1.81
201010,3.79,0.67
201011,2.00,-0.85
201012,2.95,-0.27
201101,1.58,-1.77
201102,1.68,-1.34
201103,5.28,1.50
201104,4.75,1.38
201105,4.33,0.50
201106,3.28,-0.70
201107,4.16,-0.36
201108,5.14,0.79
201109,6.83,3.28
201110,3.78,0.66
201111,3.86,1.01
201112,3.63,0.41
201201,2.26,-1.09
201202,2.54,-0.48
201203,3.87,0.09
201204,3.04,-0.33
201205,4.14,0.31
201206,2.85,-1.13
201207,4.63,0.11
201208,4.74,0.39
201209,4.14,0.59
201210,4.09,0.97
201211,0.67,-2.18
201212,3.08,-0.14
201301,5.95,2.60
201302,2.27,-0.75
201303,3.70,-0.08
201304,3.56,0.19
201305,4.37,0.54
201306,7.02,3.04
201307,6.46,1.94
201308,4.47,0.12
201309,1.64,-1.91
201310,3.09,-0.03
201311,3.03,0.18
201312,5.81,2.59
201401,2.69,-0.66
201402,3.36,0.34
201403,3.29,-0.49
201404,4.73,1.36
201405,4.35,0.52
201406,3.49,-0.49
201407,3.82,-0.70
201408,4.69,0.34
201409,2.97,-0.58
201410,4.02,0.90
201411,3.13,0.28
201412,3.21,-0.01
201501,2.59,-0.76
201502,2.66,-0.36
201503,3.75,-0.03
201504,4.51,1.14
201505,2.15,-1.68
201506,6.95,2.97
201507,5.05,0.53
201508,2.65,-1.70
201509,5.73,2.18
201510,4.58,1.46
201511,3.92,1.07
201512,5.22,2.00
201601,2.93,-0.42
201602,4.71,1.69
201603,2.05,-1.73
201604,2.34,-1.03
201605,6.92,3.09
201606,5.04,1.06
201607,4.82,0.30
201608,3.23,-1.12
201609,5.27,1.72
201610,3.52,0.40
201611,1.37,-1.48
201612,3.21,-0.01
201701,3.96,0.61
201702,0.86,-2.16
201703,3.17,-0.61
201704,4.85,1.48
201705,7.52,3.69
201706,3.41,-0.57
201707,4.13,-0.39
201708,4.66,0.31
201709,2.03,-1.52
201710,4.50,1.38
201711,1.36,-1.49
201712,1.11,-2.11
201801,2.67,-0.68
201802,4.35,1.33
201803,3.17,-0.61
201804,4.43,1.06
201805,7.27,3.44
201806,5.96,1.98
201807,5.39,0.87
201808,5.81,1.46
201809,7.96,4.41
201810,5.08,1.96
201811,6.08,3.23
201812,5.36,2.14
201901,3.52,0.17
201902,5.23,2.21
201903,3.31,-0.47
201904,4.16,0.79
201905,3.60,-0.23
201906,5.81,1.83
201907,4.51,-0.01
201908,3.43,-0.92
201909,0.94,-2.61
201910,5.63,2.51
201911,2.48,-0.37
201912,3.38,0.16
202001,3.55,0.20
202002,5.01,1.99
202003,2.93,-0.85
202004,5.98,2.61
202005,4.87,1.04
202006,5.13,1.15
202007,4.07,-0.45
202008,8.20,3.85
202009,6.31,2.76
202010,5.06,1.94
202011,5.15,2.30
202012,5.14,1.92
202101,3.14,-0.21
202102,4.90,1.88
202103,3.47,-0.31
202104,2.73,-0.64
202105,2.20,-1.63
202106,4.09,0.11
202107,4.56,0.04
202108,6.05,1.70
202109,4.22,0.67
202110,3.40,0.28
202111,0.94,-1.91
202112,1.16,-2.06
202201,4.49,1.14
202202,2.77,-0.25
202203,3.40,-0.38
