West Virginia, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,3.58,-0.05
201002,3.35,0.23
201003,3.44,-0.64
201004,2.01,-1.71
201005,5.56,1.41
201006,4.56,0.19
201007,4.83,0.10
201008,3.48,-0.70
201009,2.61,-0.64
201010,2.59,-0.36
201011,2.85,-0.19
201012,3.57,0.15
201101,2.25,-1.38
201102,2.95,-0.17
201103,5.74,1.66
201104,7.59,3.87
201105,5.15,1.00
201106,4.05,-0.32
201107,3.91,-0.82
201108,3.81,-0.37
201109,6.43,3.18
201110,4.87,1.92
201111,4.54,1.50
201112,3.81,0.39
201201,3.09,-0.54
201202,2.30,-0.82
201203,4.92,0.84
201204,2.86,-0.86
201205,4.94,0.79
201206,2.64,-1.73
201207,5.88,1.15
201208,2.58,-1.60
201209,5.23,1.98
201210,4.58,1.63
201211,0.77,-2.27
201212,4.83,1.41
201301,4.41,0.78
201302,1.83,-1.29
201303,3.28,-0.80
201304,2.50,-1.22
201305,3.98,-0.17
201306,5.96,1.59
201307,6.17,1.44
201308,5.51,1.33
201309,2.39,-0.86
201310,2.15,-0.80
201311,3.40,0.36
201312,6.01,2.59
201401,2.25,-1.38
201402,4.18,1.06
201403,3.04,-1.04
201404,3.06,-0.66
201405,4.24,0.09
201406,4.54,0.17
201407,4.03,-0.70
201408,4.42,0.24
201409,2.20,-1.05
201410,5.19,2.24
201411,2.31,-0.73
201412,3.33,-0.09
201501,2.41,-1.22
201502,2.74,-0.38
201503,5.36,1.28
201504,6.34,2.62
201505,2.36,-1.79
201506,6.43,2.06
201507,6.46,1.73
201508,2.71,-1.47
201509,4.05,0.80
201510,2.76,-0.19
201511,2.28,-0.76
201512,4.72,1.30
201601,2.61,-1.02
201602,3.65,0.53
201603,2.53,-1.55
201604,2.91,-0.81
201605,6.01,1.86
201606,6.26,1.89
201607,4.93,0.20
201608,3.63,-0.55
201609,2.86,-0.39
201610,3.53,0.58
201611,1.87,-1.17
201612,4.57,1.15
201701,4.80,1.17
201702,1.75,-1.37
201703,4.31,0.23
201704,4.35,0.63
201705,6.16,2.01
201706,4.70,0.33
201707,6.17,1.44
201708,3.39,-0.79
201709,1.91,-1.34
201710,5.26,2.31
201711,2.34,-0.70
201712,1.87,-1.55
201801,3.11,-0.52
201802,6.85,3.73
201803,3.97,-0.11
201804,4.95,1.23
201805,6.16,2.01
201806,6.24,1.87
201807,4.79,0.06
201808,5.89,1.71
201809,9.41,6.16
201810,3.95,1.00
201811,4.85,1.81
201812,4.93,1.51
201901,3.86,0.23
201902,5.48,2.36
201903,2.62,-1.46
201904,3.85,0.13
201905,5.54,1.39
201906,5.06,0.69
201907,4.58,-0.15
201908,3.83,-0.35
201909,0.68,-2.57
201910,5.26,2.31
201911,2.59,-0.45
201912,4.89,1.47
202001,3.65,0.02
202002,5.27,2.15
202003,4.04,-0.04
202004,6.55,2.83
202005,5.70,1.55
202006,5.24,0.87
202007,4.34,-0.39
202008,5.69,1.51
202009,3.05,-0.20
202010,3.47,0.52
202011,2.72,-0.32
202012,4.05,0.63
202101,2.78,-0.85
202102,3.86,0.74
202103,4.07,-0.01
202104,3.22,-0.50
202105,3.12,-1.03
202106,4.94,0.57
202107,3.31,-1.42
202108,5.56,1.38
202109,4.54,1.29
202110,3.34,0.39
202111,1.32,-1.72
202112,2.53,-0.89
202201,4.86,1.23
202202,4.25,1.13
202203,2.38,-1.70
