Wisconsin, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,0.89,-0.26
201002,0.57,-0.46
201003,0.73,-1.07
201004,2.34,-0.29
201005,3.15,-0.39
201006,7.12,2.95
201007,7.50,3.71
201008,4.64,0.86
201009,6.31,2.56
201010,2.34,-0.04
201011,1.71,-0.29
201012,1.72,0.45
201101,0.91,-0.24
201102,1.13,0.10
201103,2.38,0.58
201104,3.71,1.08
201105,3.05,-0.49
201106,4.22,0.05
201107,4.61,0.82
201108,3.04,-0.74
201109,3.08,-0.67
201110,1.51,-0.87
201111,1.95,-0.05
201112,1.45,0.18
201201,1.02,-0.13
201202,1.29,0.26
201203,2.00,0.20
201204,2.68,0.05
201205,4.81,1.27
201206,3.34,-0.83
201207,3.19,-0.60
201208,2.34,-1.44
201209,1.50,-2.25
201210,3.78,1.40
201211,1.11,-0.89
201212,1.74,0.47
201301,1.69,0.54
201302,1.63,0.60
201303,1.93,0.13
201304,4.85,2.22
201305,5.37,1.83
201306,6.21,2.04
201307,2.46,-1.33
201308,2.77,-1.01
201309,2.17,-1.58
201310,3.54,1.16
201311,2.33,0.33
201312,1.58,0.31
201401,1.13,-0.02
201402,1.27,0.24
201403,1.10,-0.70
201404,5.04,2.41
201405,3.80,0.26
201406,6.71,2.54
201407,2.51,-1.28
201408,5.20,1.42
201409,3.86,0.11
201410,3.07,0.69
201411,2.03,0.03
201412,1.36,0.09
201501,0.53,-0.62
201502,0.42,-0.61
201503,0.73,-1.07
201504,2.94,0.31
201505,4.65,1.11
201506,4.44,0.27
201507,3.38,-0.41
201508,4.00,0.22
201509,4.39,0.64
201510,2.70,0.32
201511,3.42,1.42
201512,4.28,3.01
201601,0.84,-0.31
201602,0.82,-0.21
201603,3.93,2.13
201604,2.21,-0.42
201605,3.06,-0.48
201606,5.36,1.19
201607,5.20,1.41
201608,5.21,1.43
201609,5.99,2.24
201610,2.95,0.57
201611,1.84,-0.16
201612,1.98,0.71
201701,2.03,0.88
201702,1.34,0.31
201703,1.99,0.19
201704,4.59,1.96
201705,4.94,1.40
201706,5.94,1.77
201707,4.46,0.67
201708,4.10,0.32
201709,1.90,-1.85
201710,4.30,1.92
201711,0.91,-1.09
201712,1.07,-0.20
201801,1.20,0.05
201802,1.51,0.48
201803,0.92,-0.88
201804,2.53,-0.10
201805,4.70,1.16
201806,5.44,1.27
201807,3.11,-0.68
201808,6.07,2.29
201809,5.52,1.77
201810,5.25,2.87
201811,1.94,-0.06
201812,1.55,0.28
201901,1.43,0.28
201902,3.12,2.09
201903,1.34,-0.46
201904,3.72,1.09
201905,5.56,2.02
201906,3.91,-0.26
201907,5.33,1.54
201908,3.54,-0.24
201909,7.03,3.28
201910,4.88,2.50
201911,2.03,0.03
201912,2.66,1.39
202001,1.34,0.19
202002,0.68,-0.35
202003,3.04,1.24
202004,2.27,-0.36
202005,3.97,0.43
202006,5.00,0.83
202007,5.55,1.76
202008,3.33,-0.45
202009,3.17,-0.58
202010,3.00,0.62
202011,2.06,0.06
202012,0.78,-0.49
202101,0.84,-0.31
202102,0.88,-0.15
202103,1.87,0.07
202104,2.37,-0.26
202105,2.99,-0.55
202106,3.92,-0.25
202107,4.35,0.56
202108,5.46,1.68
202109,2.08,-1.67
202110,2.02,-0.36
202111,1.24,-0.76
202112,1.91,0.64
202201,0.50,-0.65
202202,0.64,-0.39
202203,3.12,1.32
