Alabama, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
201001,40.0,-5.1
201002,40.6,-7.4
201003,51.2,-3.9
201004,64.2,1.4
201005,73.3,2.6
201006,80.9,3.4
201007,82.6,2.7
201008,83.0,3.7
201009,76.9,2.2
201010,64.3,0.4
201011,55.2,1.7
201012,40.3,-6.1
201101,41.1,-4.0
201102,49.5,1.5
201103,57.8,2.7
201104,65.7,2.9
201105,69.9,-0.8
201106,81.2,3.7
201107,81.7,1.8
201108,81.8,2.5
201109,72.1,-2.6
201110,60.6,-3.3
201111,55.3,1.8
201112,49.3,2.9
201201,50.1,5.0
201202,52.1,4.1
201203,64.6,9.5
201204,65.0,2.2
201205,73.4,2.7
201206,76.8,-0.7
201207,81.6,1.7
201208,78.1,-1.2
201209,73.0,-1.7
201210,62.2,-1.7
201211,51.2,-2.3
201212,50.9,4.5
201301,50.0,4.9
201302,48.0,0.0
201303,49.8,-5.3
201304,62.2,-0.6
201305,68.2,-2.5
201306,78.0,0.5
201307,77.7,-2.2
201308,77.9,-1.4
201309,75.0,0.3
201310,64.9,1.0
201311,51.6,-1.9
201312,47.9,1.5
201401,37.3,-7.8
201402,47.3,-0.7
201403,52.3,-2.8
201404,62.4,-0.4
201405,70.2,-0.5
201406,77.9,0.4
201407,77.8,-2.1
201408,79.5,0.2
201409,76.3,1.6
201410,65.2,1.3
201411,48.2,-5.3
201412,50.0,3.6
201501,43.6,-1.5
201502,41.3,-6.7
201503,57.8,2.7
201504,66.0,3.2
201505,71.8,1.1
201506,78.8,1.3
201507,81.6,1.7
201508,79.0,-0.3
201509,74.4,-0.3
201510,65.0,1.1
201511,59.2,5.7
201512,56.9,10.5
201601,43.0,-2.1
201602,49.8,1.8
201603,59.7,4.6
201604,63.6,0.8
201605,70.2,-0.5
201606,79.2,1.7
201607,82.0,2.1
201608,81.6,2.3
201609,78.6,3.9
201610,68.5,4.6
201611,57.8,4.3
201612,50.1,3.7
201701,52.4,7.3
201702,55.6,7.6
201703,58.4,3.3
201704,67.2,4.4
201705,69.9,-0.8
201706,75.8,-1.7
201707,80.6,0.7
201708,78.8,-0.5
201709,73.4,-1.3
201710,65.8,1.9
201711,55.6,2.1
201712,46.9,0.5
201801,40.4,-4.7
201802,58.0,10.0
201803,55.4,0.3
201804,59.5,-3.3
201805,74.4,3.7
201806,79.3,1.8
201807,80.7,0.8
201808,79.5,0.2
201809,79.4,4.7
201810,67.4,3.5
201811,50.4,-3.1
201812,49.0,2.6
201901,46.5,1.4
201902,56.1,8.1
201903,55.0,-0.1
201904,63.5,0.7
201905,74.2,3.5
201906,78.1,0.6
201907,80.6,0.7
201908,80.6,1.3
201909,80.2,5.5
201910,67.8,3.9
201911,50.6,-2.9
201912,51.3,4.9
202001,49.5,4.4
202002,51.0,3.0
202003,63.5,8.4
202004,62.0,-0.8
202005,68.9,-1.8
202006,76.9,-0.6
202007,80.9,1.0
202008,80.2,0.9
202009,74.3,-0.4
202010,66.9,3.0
202011,58.4,4.9
202012,45.9,-0.5
202101,46.7,1.6
202102,46.8,-1.2
202103,59.6,4.5
202104,61.6,-1.2
202105,69.4,-1.3
202106,77.0,-0.5
202107,79.4,-0.5
202108,80.0,0.7
202109,73.9,-0.8
202110,67.4,3.5
202111,52.2,-1.3
202112,56.9,10.5
202201,44.0,-1.1
