Idaho, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,28.2,6.1
201002,28.9,2.1
201003,35.2,2.4
201004,40.0,-1.1
201005,44.1,-5.4
201006,55.5,-1.3
201007,64.2,-1.1
201008,62.8,-0.9
201009,56.4,1.5
201010,47.5,3.3
201011,30.5,-1.0
201012,26.6,2.4
201101,24.0,1.9
201102,24.3,-2.5
201103,33.4,0.6
201104,36.4,-4.7
201105,45.8,-3.7
201106,54.0,-2.8
201107,64.3,-1.0
201108,66.1,2.4
201109,59.6,4.7
201110,45.4,1.2
201111,30.5,-1.0
201112,24.8,0.6
201201,26.8,4.7
201202,28.0,1.2
201203,36.4,3.6
201204,44.4,3.3
201205,49.0,-0.5
201206,56.9,0.1
201207,68.5,3.2
201208,67.3,3.6
201209,58.4,3.5
201210,43.7,-0.5
201211,36.0,4.5
201212,25.8,1.6
201301,20.2,-1.9
201302,27.5,0.7
201303,35.1,2.3
201304,40.1,-1.0
201305,51.0,1.5
201306,59.3,2.5
201307,69.6,4.3
201308,67.6,3.9
201309,57.1,2.2
201310,42.1,-2.1
201311,33.8,2.3
201312,21.1,-3.1
201401,27.7,5.6
201402,28.0,1.2
201403,36.2,3.4
201404,41.6,0.5
201405,51.6,2.1
201406,56.7,-0.1
201407,69.3,4.0
201408,63.8,0.1
201409,57.6,2.7
201410,48.5,4.3
201411,31.1,-0.4
201412,29.1,4.9
201501,28.7,6.6
201502,35.2,8.4
201503,40.8,8.0
201504,42.3,1.2
201505,51.8,2.3
201506,64.7,7.9
201507,65.1,-0.2
201508,65.8,2.1
201509,57.2,2.3
201510,50.7,6.5
201511,29.9,-1.6
201512,24.3,0.1
201601,25.8,3.7
201602,31.9,5.1
201603,37.0,4.2
201604,47.0,5.9
201605,50.6,1.1
201606,61.2,4.4
201607,64.8,-0.5
201608,64.7,1.0
201609,54.6,-0.3
201610,45.7,1.5
201611,38.7,7.2
201612,19.1,-5.1
201701,18.5,-3.6
201702,29.5,2.7
201703,38.5,5.7
201704,40.3,-0.8
201705,50.6,1.1
201706,59.1,2.3
201707,70.0,4.7
201708,66.9,3.2
201709,55.7,0.8
201710,41.9,-2.3
201711,34.9,3.4
201712,25.2,1.0
201801,30.4,8.3
201802,26.2,-0.6
201803,33.7,0.9
201804,42.4,1.3
201805,54.0,4.5
201806,57.7,0.9
201807,68.4,3.1
201808,65.0,1.3
201809,56.2,1.3
201810,44.0,-0.2
201811,32.0,0.5
201812,24.3,0.1
201901,26.3,4.2
201902,23.2,-3.6
201903,32.4,-0.4
201904,42.9,1.8
201905,49.8,0.3
201906,57.2,0.4
201907,65.5,0.2
201908,66.0,2.3
201909,55.0,0.1
201910,36.6,-7.6
201911,34.3,2.8
201912,26.6,2.4
202001,27.3,5.2
202002,26.2,-0.6
202003,35.1,2.3
202004,41.6,0.5
202005,50.6,1.1
202006,56.2,-0.6
202007,64.9,-0.4
202008,67.1,3.4
202009,58.7,3.8
202010,45.4,1.2
202011,32.7,1.2
202012,26.2,2.0
202101,26.6,4.5
202102,25.3,-1.5
202103,34.9,2.1
202104,42.0,0.9
202105,49.8,0.3
202106,65.1,8.3
202107,71.9,6.6
202108,64.0,0.3
202109,57.2,2.3
202110,45.2,1.0
202111,36.7,5.2
202112,26.6,2.4
202201,23.8,1.7
