Illinois, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,21.5,-3.8
201002,25.7,-4.3
201003,43.8,4.0
201004,58.7,6.9
201005,64.3,2.0
201006,74.9,3.3
201007,77.6,2.0
201008,76.8,3.3
201009,67.2,0.9
201010,56.5,1.7
201011,43.7,2.9
201012,24.0,-5.7
201101,22.7,-2.6
201102,30.2,0.2
201103,41.6,1.8
201104,53.1,1.3
201105,62.1,-0.2
201106,72.9,1.3
201107,79.9,4.3
201108,74.8,1.3
201109,63.6,-2.7
201110,55.2,0.4
201111,45.8,5.0
201112,35.9,6.2
201201,31.9,6.6
201202,35.8,5.8
201203,55.5,15.7
201204,54.6,2.8
201205,68.1,5.8
201206,72.6,1.0
201207,81.8,6.2
201208,73.6,0.1
201209,64.9,-1.4
201210,52.5,-2.3
201211,41.2,0.4
201212,36.8,7.1
201301,29.2,3.9
201302,29.9,-0.1
201303,34.3,-5.5
201304,50.2,-1.6
201305,63.9,1.6
201306,71.5,-0.1
201307,73.1,-2.5
201308,72.8,-0.7
201309,68.6,2.3
201310,54.5,-0.3
201311,38.8,-2.0
201312,26.2,-3.5
201401,19.3,-6.0
201402,19.4,-10.6
201403,34.4,-5.4
201404,52.4,0.6
201405,63.7,1.4
201406,73.0,1.4
201407,70.3,-5.3
201408,73.8,0.3
201409,64.7,-1.6
201410,54.3,-0.5
201411,34.6,-6.2
201412,33.9,4.2
201501,25.7,0.4
201502,19.4,-10.6
201503,38.3,-1.5
201504,54.3,2.5
201505,64.9,2.6
201506,71.7,0.1
201507,74.2,-1.4
201508,71.9,-1.6
201509,70.4,4.1
201510,56.0,1.2
201511,46.6,5.8
201512,41.1,11.4
201601,26.9,1.6
201602,33.8,3.8
201603,47.3,7.5
201604,53.0,1.2
201605,62.0,-0.3
201606,74.8,3.2
201607,75.6,0.0
201608,75.7,2.2
201609,70.8,4.5
201610,59.9,5.1
201611,48.1,7.3
201612,28.9,-0.8
201701,32.1,6.8
201702,41.1,11.1
201703,43.2,3.4
201704,56.5,4.7
201705,61.9,-0.4
201706,72.7,1.1
201707,76.1,0.5
201708,70.5,-3.0
201709,68.8,2.5
201710,58.1,3.3
201711,41.9,1.1
201712,29.8,0.1
201801,24.1,-1.2
201802,31.8,1.8
201803,39.2,-0.6
201804,44.8,-7.0
201805,70.7,8.4
201806,74.9,3.3
201807,75.0,-0.6
201808,74.7,1.2
201809,70.3,4.0
201810,54.2,-0.6
201811,35.6,-5.2
201812,34.4,4.7
201901,25.4,0.1
201902,29.3,-0.7
201903,37.3,-2.5
201904,52.5,0.7
201905,62.5,0.2
201906,70.9,-0.7
201907,77.4,1.8
201908,72.8,-0.7
201909,71.6,5.3
201910,53.7,-1.1
201911,36.2,-4.6
201912,35.6,5.9
202001,31.8,6.5
202002,31.9,1.9
202003,44.4,4.6
202004,49.6,-2.2
202005,60.6,-1.7
202006,73.6,2.0
202007,77.3,1.7
202008,72.8,-0.7
202009,65.6,-0.7
202010,52.0,-2.8
202011,47.1,6.3
202012,33.0,3.3
202101,29.5,4.2
202102,20.7,-9.3
202103,46.2,6.4
202104,52.6,0.8
202105,61.1,-1.2
202106,74.1,2.5
202107,74.6,-1.0
202108,75.5,2.0
202109,69.6,3.3
202110,60.2,5.4
202111,41.0,0.2
202112,40.2,10.5
202201,22.2,-3.1
