Iowa, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,13.6,-4.1
201002,17.3,-6.2
201003,38.4,3.9
201004,55.2,6.9
201005,59.9,-0.1
201006,70.8,1.5
201007,74.6,0.7
201008,74.4,2.9
201009,63.1,0.1
201010,53.9,2.4
201011,38.0,2.5
201012,19.1,-3.8
201101,14.8,-2.9
201102,22.6,-0.9
201103,35.1,0.6
201104,47.6,-0.7
201105,59.1,-0.9
201106,69.6,0.3
201107,78.0,4.1
201108,72.0,0.5
201109,60.2,-2.8
201110,53.4,1.9
201111,39.4,3.9
201112,29.1,6.2
201201,26.5,8.8
201202,29.6,6.1
201203,51.6,17.1
201204,52.4,4.1
201205,65.0,5.0
201206,71.4,2.1
201207,79.6,5.7
201208,71.0,-0.5
201209,62.1,-0.9
201210,48.8,-2.7
201211,39.2,3.7
201212,27.7,4.8
201301,22.0,4.3
201302,24.2,0.7
201303,29.0,-5.5
201304,43.8,-4.5
201305,59.0,-1.0
201306,68.9,-0.4
201307,72.3,-1.6
201308,71.9,0.4
201309,67.0,4.0
201310,50.5,-1.0
201311,33.9,-1.6
201312,17.4,-5.5
201401,14.2,-3.5
201402,13.2,-10.3
201403,29.7,-4.8
201404,47.5,-0.8
201405,60.0,0.0
201406,70.2,0.9
201407,68.8,-5.1
201408,71.2,-0.3
201409,62.0,-1.0
201410,51.2,-0.3
201411,29.3,-6.2
201412,28.2,5.3
201501,21.6,3.9
201502,14.5,-9.0
201503,37.3,2.8
201504,51.1,2.8
201505,60.0,0.0
201506,69.4,0.1
201507,72.0,-1.9
201508,68.9,-2.6
201509,68.4,5.4
201510,53.0,1.5
201511,42.0,6.5
201512,33.0,10.1
201601,19.6,1.9
201602,28.6,5.1
201603,42.4,7.9
201604,50.1,1.8
201605,59.5,-0.5
201606,73.0,3.7
201607,72.8,-1.1
201608,72.0,0.5
201609,67.3,4.3
201610,55.3,3.8
201611,45.1,9.6
201612,22.9,0.0
201701,24.2,6.5
201702,34.5,11.0
201703,37.5,3.0
201704,51.1,2.8
201705,58.5,-1.5
201706,71.1,1.8
201707,74.7,0.8
201708,67.8,-3.7
201709,66.7,3.7
201710,53.3,1.8
201711,36.2,0.7
201712,24.4,1.5
201801,17.8,0.1
201802,20.5,-3.0
201803,35.2,0.7
201804,39.3,-9.0
201805,67.0,7.0
201806,73.1,3.8
201807,73.1,-0.8
201808,71.8,0.3
201809,65.9,2.9
201810,48.2,-3.3
201811,30.0,-5.5
201812,28.0,5.1
201901,18.7,1.0
201902,15.3,-8.2
201903,31.1,-3.4
201904,49.2,0.9
201905,56.6,-3.4
201906,69.3,0.0
201907,75.1,1.2
201908,69.6,-1.9
201909,68.2,5.2
201910,47.1,-4.4
201911,32.4,-3.1
201912,29.2,6.3
202001,23.1,5.4
202002,24.9,1.4
202003,40.3,5.8
202004,46.7,-1.6
202005,57.6,-2.4
202006,72.9,3.6
202007,75.3,1.4
202008,71.9,0.4
202009,61.9,-1.1
202010,46.0,-5.5
202011,42.0,6.5
202012,27.2,4.3
202101,23.9,6.2
202102,12.5,-11.0
202103,42.4,7.9
202104,49.4,1.1
202105,59.0,-1.0
202106,73.6,4.3
202107,73.4,-0.5
202108,72.9,1.4
202109,66.7,3.7
202110,55.5,4.0
202111,39.2,3.7
202112,32.0,9.1
202201,14.9,-2.8
