Kansas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,27.2,-1.4
201002,29.9,-4.4
201003,44.2,1.8
201004,57.8,4.0
201005,62.1,-1.6
201006,77.0,3.4
201007,79.6,0.4
201008,79.7,2.3
201009,70.8,2.2
201010,59.1,2.3
201011,43.6,1.8
201012,32.3,0.2
201101,27.3,-1.3
201102,30.2,-4.1
201103,44.1,1.7
201104,55.2,1.4
201105,62.6,-1.1
201106,76.8,3.2
201107,84.9,5.7
201108,80.9,3.5
201109,66.2,-2.4
201110,57.5,0.7
201111,43.7,1.9
201112,33.1,1.0
201201,36.1,7.5
201202,37.1,2.8
201203,55.5,13.1
201204,59.2,5.4
201205,69.0,5.3
201206,77.5,3.9
201207,84.4,5.2
201208,76.5,-0.9
201209,68.2,-0.4
201210,54.0,-2.8
201211,46.5,4.7
201212,34.6,2.5
201301,32.3,3.7
201302,33.6,-0.7
201303,40.3,-2.1
201304,48.4,-5.4
201305,63.3,-0.4
201306,75.2,1.6
201307,77.2,-2.0
201308,76.5,-0.9
201309,72.1,3.5
201310,55.2,-1.6
201311,41.3,-0.5
201312,29.2,-2.9
201401,29.6,1.0
201402,27.8,-6.5
201403,40.6,-1.8
201404,54.0,0.2
201405,64.7,1.0
201406,73.6,0.0
201407,75.4,-3.8
201408,78.3,0.9
201409,68.2,-0.4
201410,58.9,2.1
201411,38.5,-3.3
201412,34.6,2.5
201501,32.1,3.5
201502,31.2,-3.1
201503,46.8,4.4
201504,56.4,2.6
201505,61.7,-2.0
201506,75.8,2.2
201507,78.9,-0.3
201508,75.2,-2.2
201509,74.2,5.6
201510,59.2,2.4
201511,46.5,4.7
201512,37.6,5.5
201601,32.0,3.4
201602,40.8,6.5
201603,49.7,7.3
201604,56.3,2.5
201605,61.6,-2.1
201606,77.5,3.9
201607,79.7,0.5
201608,76.4,-1.0
201609,70.8,2.2
201610,61.5,4.7
201611,49.9,8.1
201612,29.8,-2.3
201701,33.0,4.4
201702,43.1,8.8
201703,48.9,6.5
201704,55.6,1.8
201705,62.2,-1.5
201706,75.1,1.5
201707,80.1,0.9
201708,73.1,-4.3
201709,70.5,1.9
201710,57.6,0.8
201711,45.2,3.4
201712,33.6,1.5
201801,29.9,1.3
201802,31.9,-2.4
201803,45.9,3.5
201804,47.6,-6.2
201805,71.1,7.4
201806,78.2,4.6
201807,78.7,-0.5
201808,75.7,-1.7
201809,70.1,1.5
201810,53.6,-3.2
201811,38.2,-3.6
201812,34.3,2.2
201901,31.3,2.7
201902,27.9,-6.4
201903,39.4,-3.0
201904,55.4,1.6
201905,60.5,-3.2
201906,72.4,-1.2
201907,78.6,-0.6
201908,77.1,-0.3
201909,75.2,6.6
201910,51.1,-5.7
201911,40.2,-1.6
201912,36.7,4.6
202001,34.0,5.4
202002,34.9,0.6
202003,47.9,5.5
202004,52.7,-1.1
202005,61.7,-2.0
202006,77.7,4.1
202007,79.2,0.0
202008,76.4,-1.0
202009,66.3,-2.3
202010,52.6,-4.2
202011,48.1,6.3
202012,35.9,3.8
202101,34.0,5.4
202102,24.1,-10.2
202103,48.1,5.7
202104,52.4,-1.4
202105,61.9,-1.8
202106,75.8,2.2
202107,77.7,-1.5
202108,79.0,1.6
202109,73.3,4.7
202110,59.0,2.2
202111,46.7,4.9
202112,41.1,9.0
202201,29.9,1.3
