Kentucky, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,29.8,-3.7
201002,30.6,-6.4
201003,46.5,1.4
201004,59.9,4.5
201005,67.3,2.9
201006,77.0,4.5
201007,78.4,2.2
201008,78.3,3.5
201009,70.0,1.5
201010,58.2,1.3
201011,47.1,1.8
201012,29.0,-7.4
201101,30.2,-3.3
201102,39.1,2.1
201103,47.9,2.8
201104,58.8,3.4
201105,64.2,-0.2
201106,74.2,1.7
201107,79.5,3.3
201108,75.8,1.0
201109,66.9,-1.6
201110,55.6,-1.3
201111,49.9,4.6
201112,41.0,4.6
201201,38.7,5.2
201202,41.2,4.2
201203,58.0,12.9
201204,57.3,1.9
201205,69.4,5.0
201206,72.5,0.0
201207,80.5,4.3
201208,74.6,-0.2
201209,67.3,-1.2
201210,55.2,-1.7
201211,43.2,-2.1
201212,43.0,6.6
201301,36.7,3.2
201302,36.8,-0.2
201303,39.4,-5.7
201304,55.2,-0.2
201305,64.9,0.5
201306,72.9,0.4
201307,74.0,-2.2
201308,73.7,-1.1
201309,69.1,0.6
201310,57.6,0.7
201311,42.8,-2.5
201312,37.4,1.0
201401,26.8,-6.7
201402,33.2,-3.8
201403,41.5,-3.6
201404,57.4,2.0
201405,66.1,1.7
201406,74.1,1.6
201407,72.6,-3.6
201408,75.1,0.3
201409,68.2,-0.3
201410,57.6,0.7
201411,39.8,-5.5
201412,39.7,3.3
201501,32.2,-1.3
201502,26.3,-10.7
201503,44.5,-0.6
201504,57.4,2.0
201505,67.3,2.9
201506,74.2,1.7
201507,76.5,0.3
201508,72.8,-2.0
201509,70.2,1.7
201510,57.8,0.9
201511,50.9,5.6
201512,48.7,12.3
201601,31.6,-1.9
201602,38.9,1.9
201603,51.8,6.7
201604,57.3,1.9
201605,62.9,-1.5
201606,74.9,2.4
201607,77.9,1.7
201608,78.0,3.2
201609,72.2,3.7
201610,62.7,5.8
201611,49.9,4.6
201612,37.0,0.6
201701,40.9,7.4
201702,46.2,9.2
201703,47.9,2.8
201704,61.5,6.1
201705,65.0,0.6
201706,71.7,-0.8
201707,76.9,0.7
201708,73.1,-1.7
201709,68.3,-0.2
201710,59.4,2.5
201711,47.1,1.8
201712,35.8,-0.6
201801,30.0,-3.5
201802,44.6,7.6
201803,44.1,-1.0
201804,50.7,-4.7
201805,71.8,7.4
201806,75.5,3.0
201807,76.6,0.4
201808,75.8,1.0
201809,73.1,4.6
201810,58.9,2.0
201811,41.9,-3.4
201812,40.5,4.1
201901,35.1,1.6
201902,42.3,5.3
201903,43.1,-2.0
201904,57.8,2.4
201905,68.4,4.0
201906,71.9,-0.6
201907,77.4,1.2
201908,75.6,0.8
201909,74.8,6.3
201910,60.0,3.1
201911,41.2,-4.1
201912,42.1,5.7
202001,40.2,6.7
202002,39.7,2.7
202003,51.4,6.3
202004,52.8,-2.6
202005,62.2,-2.2
202006,72.6,0.1
202007,78.7,2.5
202008,74.8,0.0
202009,68.3,-0.2
202010,57.8,0.9
202011,49.9,4.6
202012,37.3,0.9
202101,35.7,2.2
202102,32.3,-4.7
202103,50.4,5.3
202104,54.5,-0.9
202105,62.4,-2.0
202106,73.4,0.9
202107,75.8,-0.4
202108,76.6,1.8
202109,68.9,0.4
202110,62.5,5.6
202111,43.4,-1.9
202112,47.5,11.1
202201,31.3,-2.2
