Louisiana, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,45.6,-3.5
201002,44.8,-7.8
201003,55.1,-3.6
201004,67.6,1.2
201005,77.3,3.8
201006,83.5,3.8
201007,83.4,1.5
201008,85.0,3.5
201009,79.8,2.7
201010,68.3,0.8
201011,59.0,1.7
201012,48.1,-2.8
201101,46.9,-2.2
201102,52.5,-0.1
201103,62.0,3.3
201104,70.4,4.0
201105,73.7,0.2
201106,83.8,4.1
201107,84.1,2.2
201108,86.7,5.2
201109,76.0,-1.1
201110,65.5,-2.0
201111,59.7,2.4
201112,51.3,0.4
201201,55.2,6.1
201202,56.1,3.5
201203,67.4,8.7
201204,69.4,3.0
201205,76.3,2.8
201206,80.7,1.0
201207,82.3,0.4
201208,82.0,0.5
201209,77.4,0.3
201210,65.8,-1.7
201211,57.0,-0.3
201212,55.0,4.1
201301,52.5,3.4
201302,54.2,1.6
201303,55.3,-3.4
201304,64.6,-1.8
201305,71.7,-1.8
201306,80.9,1.2
201307,80.7,-1.2
201308,82.0,0.5
201309,79.9,2.8
201310,68.6,1.1
201311,55.0,-2.3
201312,49.6,-1.3
201401,43.4,-5.7
201402,50.2,-2.4
201403,55.0,-3.7
201404,65.5,-0.9
201405,71.8,-1.7
201406,79.8,0.1
201407,80.0,-1.9
201408,81.3,-0.2
201409,78.1,1.0
201410,69.0,1.5
201411,53.1,-4.2
201412,53.7,2.8
201501,47.2,-1.9
201502,47.5,-5.1
201503,60.5,1.8
201504,69.8,3.4
201505,74.8,1.3
201506,80.5,0.8
201507,84.2,2.3
201508,82.6,1.1
201509,78.5,1.4
201510,69.7,2.2
201511,62.7,5.4
201512,59.1,8.2
201601,48.8,-0.3
201602,55.1,2.5
201603,63.8,5.1
201604,68.2,1.8
201605,73.3,-0.2
201606,80.9,1.2
201607,83.7,1.8
201608,82.4,0.9
201609,80.2,3.1
201610,71.4,3.9
201611,62.4,5.1
201612,54.7,3.8
201701,56.8,7.7
201702,61.7,9.1
201703,64.4,5.7
201704,69.4,3.0
201705,71.8,-1.7
201706,78.5,-1.2
201707,82.4,0.5
201708,81.0,-0.5
201709,77.0,-0.1
201710,69.2,1.7
201711,61.6,4.3
201712,50.8,-0.1
201801,44.2,-4.9
201802,60.5,7.9
201803,62.2,3.5
201804,62.7,-3.7
201805,77.8,4.3
201806,82.1,2.4
201807,83.5,1.6
201808,82.0,0.5
201809,80.2,3.1
201810,70.7,3.2
201811,54.8,-2.5
201812,52.6,1.7
201901,49.9,0.8
201902,57.6,5.0
201903,58.2,-0.5
201904,65.2,-1.2
201905,76.0,2.5
201906,80.2,0.5
201907,81.8,-0.1
201908,83.5,2.0
201909,82.2,5.1
201910,69.1,1.6
201911,54.7,-2.6
201912,54.1,3.2
202001,53.7,4.6
202002,54.0,1.4
202003,67.3,8.6
202004,66.6,0.2
202005,73.0,-0.5
202006,79.7,0.0
202007,82.8,0.9
202008,82.2,0.7
202009,77.6,0.5
202010,68.2,0.7
202011,61.9,4.6
202012,50.9,0.0
202101,50.6,1.5
202102,47.8,-4.8
202103,62.3,3.6
202104,65.0,-1.4
202105,72.3,-1.2
202106,80.4,0.7
202107,81.8,-0.1
202108,82.6,1.1
202109,76.8,-0.3
202110,71.6,4.1
202111,56.4,-0.9
202112,62.4,11.5
202201,48.1,-1.0
