Maine, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,20.3,6.7
201002,24.6,8.8
201003,34.6,8.4
201004,44.9,6.5
201005,54.6,3.9
201006,60.8,0.6
201007,69.2,3.8
201008,65.2,1.7
201009,58.3,3.3
201010,45.2,0.9
201011,34.5,1.7
201012,23.4,4.3
201101,15.9,2.3
201102,16.2,0.4
201103,26.8,0.6
201104,39.0,0.6
201105,51.9,1.2
201106,60.2,0.0
201107,67.6,2.2
201108,64.8,1.3
201109,59.0,4.0
201110,47.6,3.3
201111,38.8,6.0
201112,26.0,6.9
201201,18.2,4.6
201202,21.4,5.6
201203,34.3,8.1
201204,42.2,3.8
201205,53.8,3.1
201206,60.2,0.0
201207,67.6,2.2
201208,67.4,3.9
201209,55.9,0.9
201210,48.2,3.9
201211,32.7,-0.1
201212,24.4,5.3
201301,15.8,2.2
201302,20.0,4.2
201303,30.3,4.1
201304,39.1,0.7
201305,52.3,1.6
201306,60.8,0.6
201307,68.3,2.9
201308,63.7,0.2
201309,56.7,1.7
201310,47.3,3.0
201311,32.3,-0.5
201312,17.0,-2.1
201401,14.2,0.6
201402,15.7,-0.1
201403,18.1,-8.1
201404,38.7,0.3
201405,51.7,1.0
201406,61.6,1.4
201407,67.2,1.8
201408,64.4,0.9
201409,56.4,1.4
201410,48.5,4.2
201411,31.8,-1.0
201412,26.0,6.9
201501,11.7,-1.9
201502,5.2,-10.6
201503,21.6,-4.6
201504,37.8,-0.6
201505,55.7,5.0
201506,57.5,-2.7
201507,64.8,-0.6
201508,67.2,3.7
201509,61.8,6.8
201510,43.2,-1.1
201511,37.0,4.2
201512,31.2,12.1
201601,20.1,6.5
201602,21.9,6.1
201603,29.2,3.0
201604,37.3,-1.1
201605,52.8,2.1
201606,60.5,0.3
201607,67.0,1.6
201608,66.6,3.1
201609,59.1,4.1
201610,46.9,2.6
201611,37.2,4.4
201612,20.5,1.4
201701,21.5,7.9
201702,20.6,4.8
201703,22.2,-4.0
201704,42.0,3.6
201705,50.7,0.0
201706,61.0,0.8
201707,65.2,-0.2
201708,63.3,-0.2
201709,61.1,6.1
201710,52.0,7.7
201711,32.4,-0.4
201712,16.4,-2.7
201801,15.0,1.4
201802,22.7,6.9
201803,28.9,2.7
201804,36.5,-1.9
201805,53.5,2.8
201806,59.0,-1.2
201807,68.8,3.4
201808,68.0,4.5
201809,57.9,2.9
201810,41.9,-2.4
201811,28.6,-4.2
201812,20.4,1.3
201901,14.1,0.5
201902,16.3,0.5
201903,24.7,-1.5
201904,38.8,0.4
201905,48.1,-2.6
201906,59.5,-0.7
201907,68.3,2.9
201908,64.5,1.0
201909,55.3,0.3
201910,46.1,1.8
201911,29.6,-3.2
201912,22.8,3.7
202001,20.8,7.2
202002,20.1,4.3
202003,29.6,3.4
202004,37.7,-0.7
202005,51.2,0.5
202006,62.5,2.3
202007,68.9,3.5
202008,65.6,2.1
202009,56.8,1.8
202010,44.7,0.4
202011,37.0,4.2
202012,27.2,8.1
202101,21.5,7.9
202102,18.6,2.8
202103,29.4,3.2
202104,43.3,4.9
202105,52.3,1.6
202106,64.9,4.7
202107,63.6,-1.8
202108,68.3,4.8
202109,59.0,4.0
202110,50.2,5.9
202111,35.4,2.6
202112,24.4,5.3
202201,10.8,-2.8
