Maryland, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,32.2,-0.4
201002,30.8,-3.7
201003,47.4,5.0
201004,57.5,5.2
201005,65.7,3.3
201006,76.2,5.3
201007,79.1,3.8
201008,76.4,2.9
201009,70.2,3.1
201010,57.8,2.0
201011,46.1,0.8
201012,30.8,-4.9
201101,29.6,-3.0
201102,37.6,3.1
201103,43.7,1.3
201104,56.7,4.4
201105,65.8,3.4
201106,74.0,3.1
201107,79.6,4.3
201108,75.1,1.6
201109,69.0,1.9
201110,55.9,0.1
201111,49.5,4.2
201112,41.8,6.1
201201,37.4,4.8
201202,40.5,6.0
201203,52.7,10.3
201204,54.2,1.9
201205,67.7,5.3
201206,71.7,0.8
201207,79.8,4.5
201208,75.8,2.3
201209,67.8,0.7
201210,57.5,1.7
201211,42.6,-2.7
201212,42.2,6.5
201301,36.3,3.7
201302,34.5,0.0
201303,39.7,-2.7
201304,54.4,2.1
201305,62.8,0.4
201306,72.7,1.8
201307,77.8,2.5
201308,72.4,-1.1
201309,66.0,-1.1
201310,58.1,2.3
201311,43.3,-2.0
201312,38.6,2.9
201401,27.8,-4.8
201402,32.8,-1.7
201403,38.2,-4.2
201404,52.7,0.4
201405,64.2,1.8
201406,72.3,1.4
201407,74.7,-0.6
201408,71.7,-1.8
201409,68.0,0.9
201410,58.2,2.4
201411,42.7,-2.6
201412,39.6,3.9
201501,30.7,-1.9
201502,25.3,-9.2
201503,39.4,-3.0
201504,54.0,1.7
201505,67.6,5.2
201506,73.0,2.1
201507,75.9,0.6
201508,73.9,0.4
201509,70.8,3.7
201510,55.6,-0.2
201511,50.5,5.2
201512,48.6,12.9
201601,32.1,-0.5
201602,36.9,2.4
201603,49.4,7.0
201604,53.1,0.8
201605,60.9,-1.5
201606,72.2,1.3
201607,78.4,3.1
201608,78.0,4.5
201609,71.5,4.4
201610,59.4,3.6
201611,47.7,2.4
201612,38.0,2.3
201701,38.3,5.7
201702,43.7,9.2
201703,43.1,0.7
201704,59.5,7.2
201705,62.2,-0.2
201706,72.6,1.7
201707,77.4,2.1
201708,72.8,-0.7
201709,68.3,1.2
201710,61.2,5.4
201711,45.8,0.5
201712,35.3,-0.4
201801,31.0,-1.6
201802,41.6,7.1
201803,39.3,-3.1
201804,50.7,-1.6
201805,68.8,6.4
201806,72.1,1.2
201807,76.2,0.9
201808,77.1,3.6
201809,72.7,5.6
201810,59.0,3.2
201811,43.4,-1.9
201812,39.2,3.5
201901,34.0,1.4
201902,37.6,3.1
201903,42.1,-0.3
201904,57.8,5.5
201905,67.3,4.9
201906,72.5,1.6
201907,78.6,3.3
201908,75.6,2.1
201909,71.4,4.3
201910,60.3,4.5
201911,42.6,-2.7
201912,38.9,3.2
202001,39.1,6.5
202002,41.0,6.5
202003,49.3,6.9
202004,51.6,-0.7
202005,60.5,-1.9
202006,72.7,1.8
202007,80.1,4.8
202008,76.6,3.1
202009,67.3,0.2
202010,59.0,3.2
202011,50.9,5.6
202012,38.3,2.6
202101,35.5,2.9
202102,34.3,-0.2
202103,47.3,4.9
202104,55.0,2.7
202105,62.3,-0.1
202106,73.2,2.3
202107,77.2,1.9
202108,77.2,3.7
202109,69.6,2.5
202110,63.0,7.2
202111,44.4,-0.9
202112,43.8,8.1
202201,30.9,-1.7
