Massachusetts, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,25.9,1.6
201002,29.3,3.4
201003,41.4,7.0
201004,50.6,5.7
201005,60.3,4.4
201006,67.6,2.9
201007,74.1,4.2
201008,70.1,2.1
201009,64.6,4.1
201010,51.5,1.5
201011,41.0,1.2
201012,27.8,-0.7
201101,22.4,-1.9
201102,25.5,-0.4
201103,35.4,1.0
201104,47.7,2.8
201105,58.5,2.6
201106,65.2,0.5
201107,72.8,2.9
201108,69.8,1.8
201109,64.9,4.4
201110,52.6,2.6
201111,45.4,5.6
201112,35.8,7.3
201201,30.4,6.1
201202,33.6,7.7
201203,44.1,9.7
201204,48.7,3.8
201205,60.4,4.5
201206,65.0,0.3
201207,73.0,3.1
201208,71.5,3.5
201209,61.9,1.4
201210,53.5,3.5
201211,39.2,-0.6
201212,34.7,6.2
201301,27.5,3.2
201302,28.4,2.5
201303,34.9,0.5
201304,46.3,1.4
201305,57.7,1.8
201306,67.0,2.3
201307,75.0,5.1
201308,68.0,0.0
201309,60.8,0.3
201310,51.8,1.8
201311,38.8,-1.0
201312,29.4,0.9
201401,23.0,-1.3
201402,24.1,-1.8
201403,29.1,-5.3
201404,45.9,1.0
201405,57.2,1.3
201406,65.9,1.2
201407,71.2,1.3
201408,67.2,-0.8
201409,62.3,1.8
201410,53.3,3.3
201411,38.8,-1.0
201412,34.7,6.2
201501,21.8,-2.5
201502,14.6,-11.3
201503,29.3,-5.1
201504,45.5,0.6
201505,61.8,5.9
201506,63.6,-1.1
201507,71.0,1.1
201508,71.1,3.1
201509,66.2,5.7
201510,50.1,0.1
201511,44.7,4.9
201512,41.8,13.3
201601,28.5,4.2
201602,30.9,5.0
201603,41.0,6.6
201604,45.0,0.1
201605,57.2,1.3
201606,66.1,1.4
201607,72.6,2.7
201608,72.5,4.5
201609,64.6,4.1
201610,52.2,2.2
201611,42.2,2.4
201612,31.0,2.5
201701,31.5,7.2
201702,33.0,7.1
201703,31.5,-2.9
201704,50.2,5.3
201705,55.2,-0.7
201706,66.0,1.3
201707,70.0,0.1
201708,68.0,0.0
201709,65.1,4.6
201710,57.5,7.5
201711,40.3,0.5
201712,26.6,-1.9
201801,24.5,0.2
201802,34.3,8.4
201803,34.8,0.4
201804,42.3,-2.6
201805,60.8,4.9
201806,64.8,0.1
201807,73.3,3.4
201808,73.5,5.5
201809,65.2,4.7
201810,50.3,0.3
201811,37.8,-2.0
201812,32.1,3.6
201901,25.9,1.6
201902,28.5,2.6
201903,33.7,-0.7
201904,47.7,2.8
201905,55.3,-0.6
201906,65.5,0.8
201907,73.8,3.9
201908,69.8,1.8
201909,62.0,1.5
201910,52.4,2.4
201911,37.4,-2.4
201912,30.5,2.0
202001,32.0,7.7
202002,32.4,6.5
202003,40.2,5.8
202004,43.1,-1.8
202005,56.2,0.3
202006,67.6,2.9
202007,74.6,4.7
202008,71.7,3.7
202009,62.8,2.3
202010,52.4,2.4
202011,44.7,4.9
202012,33.1,4.6
202101,28.8,4.5
202102,27.6,1.7
202103,38.3,3.9
202104,47.8,2.9
202105,57.6,1.7
202106,69.3,4.6
202107,69.8,-0.1
202108,72.6,4.6
202109,64.8,4.3
202110,56.2,6.2
202111,40.7,0.9
202112,35.9,7.4
202201,23.5,-0.8
