Arizona, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,42.2,1.5
201002,44.3,-0.5
201003,49.2,-0.3
201004,56.1,-0.8
201005,63.1,-2.3
201006,75.9,1.4
201007,81.8,1.8
201008,79.0,1.1
201009,75.4,3.1
201010,62.7,1.4
201011,48.3,-0.8
201012,46.7,5.0
201101,41.5,0.8
201102,41.7,-3.1
201103,53.3,3.8
201104,58.9,2.0
201105,63.2,-2.2
201106,75.7,1.2
201107,80.8,0.8
201108,82.2,4.3
201109,74.6,2.3
201110,62.8,1.5
201111,49.4,0.3
201112,39.9,-1.8
201201,45.3,4.6
201202,45.6,0.8
201203,51.6,2.1
201204,60.6,3.7
201205,69.3,3.9
201206,78.7,4.2
201207,80.0,0.0
201208,80.5,2.6
201209,73.7,1.4
201210,63.8,2.5
201211,53.8,4.7
201212,42.4,0.7
201301,38.6,-2.1
201302,42.2,-2.6
201303,54.8,5.3
201304,59.4,2.5
201305,67.4,2.0
201306,79.5,5.0
201307,81.0,1.0
201308,78.5,0.6
201309,72.4,0.1
201310,58.8,-2.5
201311,51.3,2.2
201312,41.5,-0.2
201401,46.5,5.8
201402,50.0,5.2
201403,53.9,4.4
201404,59.1,2.2
201405,66.8,1.4
201406,77.7,3.2
201407,81.4,1.4
201408,76.5,-1.4
201409,74.2,1.9
201410,64.9,3.6
201411,51.7,2.6
201412,44.3,2.6
201501,45.1,4.4
201502,52.0,7.2
201503,56.3,6.8
201504,58.4,1.5
201505,62.9,-2.5
201506,78.4,3.9
201507,78.6,-1.4
201508,80.6,2.7
201509,75.0,2.7
201510,64.5,3.2
201511,48.3,-0.8
201512,40.9,-0.8
201601,41.8,1.1
201602,50.6,5.8
201603,54.9,5.4
201604,58.5,1.6
201605,64.6,-0.8
201606,80.3,5.8
201607,82.4,2.4
201608,77.5,-0.4
201609,71.6,-0.7
201610,66.1,4.8
201611,53.1,4.0
201612,44.7,3.0
201701,42.3,1.6
201702,49.4,4.6
201703,56.6,7.1
201704,59.9,3.0
201705,66.1,0.7
201706,79.8,5.3
201707,81.5,1.5
201708,79.1,1.2
201709,72.4,0.1
201710,65.1,3.8
201711,57.6,8.5
201712,46.6,4.9
201801,47.6,6.9
201802,46.7,1.9
201803,52.3,2.8
201804,62.9,6.0
201805,68.5,3.1
201806,78.6,4.1
201807,82.3,2.3
201808,80.2,2.3
201809,76.0,3.7
201810,59.9,-1.4
201811,49.4,0.3
201812,42.8,1.1
201901,42.4,1.7
201902,40.9,-3.9
201903,51.7,2.2
201904,60.3,3.4
201905,60.7,-4.7
201906,75.2,0.7
201907,81.9,1.9
201908,81.9,4.0
201909,73.8,1.5
201910,60.0,-1.3
201911,52.1,3.0
201912,42.2,0.5
202001,43.7,3.0
202002,45.9,1.1
202003,51.0,1.5
202004,59.3,2.4
202005,70.5,5.1
202006,76.8,2.3
202007,82.8,2.8
202008,84.1,6.2
202009,75.6,3.3
202010,66.2,4.9
202011,53.5,4.4
202012,42.0,0.3
202101,42.8,2.1
202102,46.6,1.8
202103,49.6,0.1
202104,61.3,4.4
202105,68.0,2.6
202106,80.7,6.2
202107,81.5,1.5
202108,79.5,1.6
202109,74.8,2.5
202110,59.9,-1.4
202111,55.9,6.8
202112,45.5,3.8
202201,43.8,3.1
