Michigan, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,21.3,2.9
201002,23.1,3.0
201003,37.6,8.4
201004,49.0,6.9
201005,58.3,4.5
201006,64.9,1.4
201007,71.4,3.2
201008,70.7,4.5
201009,58.1,-0.4
201010,49.9,2.3
201011,37.8,3.1
201012,22.8,-0.8
201101,16.9,-1.5
201102,21.3,1.2
201103,28.8,-0.4
201104,42.0,-0.1
201105,55.0,1.2
201106,64.2,0.7
201107,72.7,4.5
201108,68.3,2.1
201109,58.7,0.2
201110,49.7,2.1
201111,39.9,5.2
201112,29.9,6.3
201201,25.1,6.7
201202,28.4,8.3
201203,44.7,15.5
201204,43.9,1.8
201205,59.0,5.2
201206,66.5,3.0
201207,73.5,5.3
201208,67.5,1.3
201209,58.4,-0.1
201210,47.5,-0.1
201211,36.2,1.5
201212,30.4,6.8
201301,23.0,4.6
201302,20.9,0.8
201303,27.8,-1.4
201304,39.5,-2.6
201305,56.5,2.7
201306,63.8,0.3
201307,68.8,0.6
201308,66.6,0.4
201309,59.5,1.0
201310,48.8,1.2
201311,34.2,-0.5
201312,19.3,-4.3
201401,12.3,-6.1
201402,12.7,-7.4
201403,21.0,-8.2
201404,41.2,-0.9
201405,54.6,0.8
201406,65.2,1.7
201407,64.8,-3.4
201408,66.0,-0.2
201409,58.8,0.3
201410,47.5,-0.1
201411,30.3,-4.4
201412,28.2,4.6
201501,16.6,-1.8
201502,8.0,-12.1
201503,28.6,-0.6
201504,43.2,1.1
201505,57.2,3.4
201506,62.5,-1.0
201507,67.9,-0.3
201508,66.9,0.7
201509,64.6,6.1
201510,48.9,1.3
201511,41.3,6.6
201512,35.6,12.0
201601,22.3,3.9
201602,25.3,5.2
201603,36.1,6.9
201604,40.8,-1.3
201605,55.4,1.6
201606,64.7,1.2
201607,70.3,2.1
201608,70.8,4.6
201609,63.5,5.0
201610,51.6,4.0
201611,42.6,7.9
201612,25.0,1.4
201701,25.2,6.8
201702,29.9,9.8
201703,30.7,1.5
201704,47.2,5.1
201705,53.0,-0.8
201706,65.3,1.8
201707,68.5,0.3
201708,65.2,-1.0
201709,62.6,4.1
201710,52.5,4.9
201711,34.5,-0.2
201712,20.9,-2.7
201801,20.0,1.6
201802,23.0,2.9
201803,29.6,0.4
201804,35.2,-6.9
201805,60.2,6.4
201806,65.2,1.7
201807,70.5,2.3
201808,69.8,3.6
201809,62.4,3.9
201810,45.9,-1.7
201811,30.8,-3.9
201812,28.7,5.1
201901,16.8,-1.6
201902,19.9,-0.2
201903,27.5,-1.7
201904,42.5,0.4
201905,51.8,-2.0
201906,62.5,-1.0
201907,70.9,2.7
201908,66.3,0.1
201909,62.3,3.8
201910,47.5,-0.1
201911,30.8,-3.9
201912,28.4,4.8
202001,27.0,8.6
202002,23.7,3.6
202003,35.0,5.8
202004,40.2,-1.9
202005,53.2,-0.6
202006,66.0,2.5
202007,72.5,4.3
202008,68.6,2.4
202009,58.2,-0.3
202010,44.4,-3.2
202011,41.1,6.4
202012,28.6,5.0
202101,25.0,6.6
202102,17.4,-2.7
202103,36.9,7.7
202104,45.1,3.0
202105,54.0,0.2
202106,67.7,4.2
202107,68.7,0.5
202108,71.0,4.8
202109,61.4,2.9
202110,55.2,7.6
202111,36.3,1.6
202112,30.1,6.5
202201,15.4,-3.0
