Minnesota, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,8.8,2.0
201002,12.8,-0.2
201003,35.8,10.3
201004,50.0,8.5
201005,56.0,1.4
201006,63.8,-0.1
201007,70.4,1.4
201008,70.2,3.5
201009,55.0,-1.8
201010,49.1,3.9
201011,30.7,3.0
201012,11.5,-1.6
201101,5.0,-1.8
201102,13.2,0.2
201103,23.6,-1.9
201104,41.6,0.1
201105,53.6,-1.0
201106,63.4,-0.5
201107,72.7,3.7
201108,68.2,1.5
201109,57.5,0.7
201110,49.9,4.7
201111,32.9,5.2
201112,22.7,9.6
201201,18.4,11.6
201202,22.4,9.4
201203,41.8,16.3
201204,45.5,4.0
201205,58.3,3.7
201206,66.8,2.9
201207,74.3,5.3
201208,66.7,0.0
201209,57.3,0.5
201210,43.2,-2.0
201211,30.9,3.2
201212,16.8,3.7
201301,11.4,4.6
201302,13.0,0.0
201303,20.6,-4.9
201304,34.0,-7.5
201305,53.2,-1.4
201306,63.9,0.0
201307,69.0,0.0
201308,67.8,1.1
201309,61.5,4.7
201310,44.9,-0.3
201311,27.6,-0.1
201312,5.0,-8.1
201401,2.3,-4.5
201402,3.8,-9.2
201403,19.6,-5.9
201404,38.4,-3.1
201405,54.3,-0.3
201406,65.0,1.1
201407,66.7,-2.3
201408,67.1,0.4
201409,58.5,1.7
201410,46.2,1.0
201411,21.4,-6.3
201412,20.4,7.3
201501,13.7,6.9
201502,5.6,-7.4
201503,30.7,5.2
201504,44.6,3.1
201505,54.2,-0.4
201506,64.7,0.8
201507,69.5,0.5
201508,65.9,-0.8
201509,63.8,7.0
201510,47.9,2.7
201511,36.5,8.8
201512,24.8,11.7
201601,12.6,5.8
201602,19.9,6.9
201603,35.7,10.2
201604,42.5,1.0
201605,56.7,2.1
201606,65.6,1.7
201607,69.3,0.3
201608,68.1,1.4
201609,60.7,3.9
201610,48.2,3.0
201611,40.2,12.5
201612,15.3,2.2
201701,14.6,7.8
201702,23.9,10.9
201703,28.2,2.7
201704,44.4,2.9
201705,53.6,-1.0
201706,65.0,1.1
201707,69.2,0.2
201708,64.0,-2.7
201709,60.8,4.0
201710,47.1,1.9
201711,27.4,-0.3
201712,13.4,0.3
201801,10.4,3.6
201802,8.6,-4.4
201803,27.5,2.0
201804,32.7,-8.8
201805,61.1,6.5
201806,67.0,3.1
201807,69.7,0.7
201808,67.4,0.7
201809,59.0,2.2
201810,40.7,-4.5
201811,22.8,-4.9
201812,20.2,7.1
201901,6.6,-0.2
201902,5.3,-7.7
201903,22.6,-2.9
201904,41.4,-0.1
201905,50.5,-4.1
201906,64.4,0.5
201907,70.4,1.4
201908,65.2,-1.5
201909,60.2,3.4
201910,42.4,-2.8
201911,26.0,-1.7
201912,16.6,3.5
202001,14.1,7.3
202002,14.0,1.0
202003,30.4,4.9
202004,39.4,-2.1
202005,53.5,-1.1
202006,67.7,3.8
202007,71.3,2.3
202008,68.2,1.5
202009,56.5,-0.3
202010,38.9,-6.3
202011,33.9,6.2
202012,21.0,7.9
202101,18.3,11.5
202102,6.6,-6.4
202103,35.6,10.1
202104,42.2,0.7
202105,55.1,0.5
202106,69.9,6.0
202107,71.1,2.1
202108,69.4,2.7
202109,61.6,4.8
202110,51.5,6.3
202111,32.1,4.4
202112,18.2,5.1
202201,3.6,-3.2
