Mississippi, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,40.6,-4.3
201002,40.7,-7.9
201003,52.3,-3.0
201004,65.1,1.4
201005,74.4,3.0
201006,82.2,4.0
201007,82.7,1.8
201008,83.8,3.7
201009,77.0,2.1
201010,65.0,0.6
201011,55.7,2.0
201012,42.3,-4.5
201101,42.2,-2.7
201102,49.8,1.2
201103,57.8,2.5
201104,67.0,3.3
201105,70.6,-0.8
201106,82.2,4.0
201107,82.9,2.0
201108,83.0,2.9
201109,72.5,-2.4
201110,61.3,-3.1
201111,56.1,2.4
201112,48.0,1.2
201201,50.8,5.9
201202,52.2,3.6
201203,65.4,10.1
201204,65.8,2.1
201205,74.3,2.9
201206,78.2,0.0
201207,81.9,1.0
201208,79.5,-0.6
201209,74.4,-0.5
201210,62.1,-2.3
201211,52.0,-1.7
201212,51.6,4.8
201301,49.1,4.2
201302,49.0,0.4
201303,50.4,-4.9
201304,62.1,-1.6
201305,68.9,-2.5
201306,78.9,0.7
201307,78.8,-2.1
201308,79.6,-0.5
201309,77.0,2.1
201310,65.4,1.0
201311,51.1,-2.6
201312,46.7,-0.1
201401,38.5,-6.4
201402,46.3,-2.3
201403,51.6,-3.7
201404,62.7,-1.0
201405,70.8,-0.6
201406,78.6,0.4
201407,77.5,-3.4
201408,79.8,-0.3
201409,76.5,1.6
201410,66.5,2.1
201411,48.8,-4.9
201412,50.2,3.4
201501,43.8,-1.1
201502,41.9,-6.7
201503,57.7,2.4
201504,67.0,3.3
201505,72.3,0.9
201506,79.2,1.0
201507,82.8,1.9
201508,80.1,0.0
201509,76.3,1.4
201510,66.5,2.1
201511,59.2,5.5
201512,56.7,9.9
201601,43.7,-1.2
201602,50.9,2.3
201603,60.2,4.9
201604,65.2,1.5
201605,70.5,-0.9
201606,80.2,2.0
201607,82.4,1.5
201608,82.0,1.9
201609,79.0,4.1
201610,69.2,4.8
201611,58.2,4.5
201612,49.4,2.6
201701,52.9,8.0
201702,57.1,8.5
201703,60.1,4.8
201704,67.3,3.6
201705,70.1,-1.3
201706,76.7,-1.5
201707,81.2,0.3
201708,79.3,-0.8
201709,74.5,-0.4
201710,66.2,1.8
201711,56.8,3.1
201712,47.1,0.3
201801,40.1,-4.8
201802,56.9,8.3
201803,57.1,1.8
201804,58.9,-4.8
201805,75.8,4.4
201806,80.6,2.4
201807,81.8,0.9
201808,80.3,0.2
201809,78.9,4.0
201810,67.4,3.0
201811,50.5,-3.2
201812,49.0,2.2
201901,46.3,1.4
201902,55.0,6.4
201903,54.7,-0.6
201904,63.1,-0.6
201905,74.3,2.9
201906,78.3,0.1
201907,80.8,-0.1
201908,81.4,1.3
201909,81.2,6.3
201910,66.6,2.2
201911,50.3,-3.4
201912,50.7,3.9
202001,50.1,5.2
202002,51.1,2.5
202003,64.1,8.8
202004,62.9,-0.8
202005,70.3,-1.1
202006,78.1,-0.1
202007,82.1,1.2
202008,80.2,0.1
202009,75.3,0.4
202010,65.8,1.4
202011,58.4,4.7
202012,47.0,0.2
202101,46.8,1.9
202102,44.3,-4.3
202103,60.0,4.7
202104,62.1,-1.6
202105,70.0,-1.4
202106,78.3,0.1
202107,80.6,-0.3
202108,81.0,0.9
202109,75.0,0.1
202110,68.5,4.1
202111,52.9,-0.8
202112,58.7,11.9
202201,44.4,-0.5
