Missouri, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,25.5,-3.8
201002,28.4,-6.1
201003,45.0,1.6
201004,60.5,5.7
201005,64.5,0.2
201006,77.3,4.3
201007,79.1,1.3
201008,79.0,3.0
201009,68.8,0.6
201010,58.3,1.2
201011,46.5,3.1
201012,29.6,-3.6
201101,26.7,-2.6
201102,33.2,-1.3
201103,45.1,1.7
201104,56.8,2.0
201105,62.8,-1.5
201106,75.8,2.8
201107,82.7,4.9
201108,77.8,1.8
201109,64.8,-3.4
201110,57.2,0.1
201111,47.4,4.0
201112,37.4,4.2
201201,36.3,7.0
201202,39.9,5.4
201203,58.1,14.7
201204,59.0,4.2
201205,69.5,5.2
201206,74.8,1.8
201207,83.6,5.8
201208,76.2,0.2
201209,67.0,-1.2
201210,54.3,-2.8
201211,45.1,1.7
201212,38.8,5.6
201301,33.8,4.5
201302,34.4,-0.1
201303,38.3,-5.1
201304,52.1,-2.7
201305,63.4,-0.9
201306,73.0,0.0
201307,75.0,-2.8
201308,74.6,-1.4
201309,70.7,2.5
201310,55.9,-1.2
201311,41.8,-1.6
201312,30.3,-2.9
201401,25.8,-3.5
201402,26.5,-8.0
201403,39.5,-3.9
201404,55.1,0.3
201405,65.3,1.0
201406,73.7,0.7
201407,72.6,-5.2
201408,76.6,0.6
201409,67.1,-1.1
201410,57.8,0.7
201411,37.8,-5.6
201412,36.7,3.5
201501,31.2,1.9
201502,26.2,-8.3
201503,44.5,1.1
201504,57.7,2.9
201505,64.8,0.5
201506,74.3,1.3
201507,77.4,-0.4
201508,73.4,-2.6
201509,71.6,3.4
201510,57.7,0.6
201511,48.9,5.5
201512,42.4,9.2
201601,30.9,1.6
201602,39.1,4.6
201603,50.4,7.0
201604,57.3,2.5
201605,62.7,-1.6
201606,76.9,3.9
201607,78.1,0.3
201608,76.7,0.7
201609,71.7,3.5
201610,62.1,5.0
201611,51.0,7.6
201612,32.4,-0.8
201701,35.4,6.1
201702,45.1,10.6
201703,48.4,5.0
201704,58.5,3.7
201705,64.1,-0.2
201706,73.5,0.5
201707,78.8,1.0
201708,72.1,-3.9
201709,70.4,2.2
201710,59.0,1.9
201711,46.2,2.8
201712,34.3,1.1
201801,28.0,-1.3
201802,35.6,1.1
201803,44.0,0.6
201804,48.2,-6.6
201805,72.5,8.2
201806,77.4,4.4
201807,78.2,0.4
201808,76.4,0.4
201809,71.3,3.1
201810,56.4,-0.7
201811,37.6,-5.8
201812,36.8,3.6
201901,31.0,1.7
201902,33.0,-1.5
201903,40.9,-2.5
201904,56.7,1.9
201905,64.5,0.2
201906,72.4,-0.6
201907,77.6,-0.2
201908,75.3,-0.7
201909,74.8,6.6
201910,54.3,-2.8
201911,40.2,-3.2
201912,39.0,5.8
202001,34.5,5.2
202002,35.4,0.9
202003,48.8,5.4
202004,53.1,-1.7
202005,62.0,-2.3
202006,75.1,2.1
202007,79.2,1.4
202008,74.2,-1.8
202009,67.3,-0.9
202010,53.6,-3.5
202011,49.6,6.2
202012,36.3,3.1
202101,33.6,4.3
202102,24.3,-10.2
202103,49.9,6.5
202104,54.3,-0.5
202105,62.3,-2.0
202106,74.8,1.8
202107,76.6,-1.2
202108,77.4,1.4
202109,71.4,3.2
202110,60.6,3.5
202111,45.5,2.1
202112,44.8,11.6
202201,28.4,-0.9
