Montana, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,20.6,3.7
201002,21.1,-1.2
201003,36.2,6.4
201004,41.6,0.8
201005,46.3,-4.3
201006,57.5,-0.9
201007,64.3,-1.6
201008,63.8,-0.6
201009,54.1,0.1
201010,47.6,4.3
201011,26.6,-2.7
201012,19.0,-2.0
201101,19.1,2.2
201102,16.4,-5.9
201103,28.6,-1.2
201104,37.7,-3.1
201105,47.1,-3.5
201106,56.3,-2.1
201107,66.6,0.7
201108,66.8,2.4
201109,58.3,4.3
201110,45.9,2.6
201111,30.0,0.7
201112,26.2,5.2
201201,25.1,8.2
201202,24.9,2.6
201203,39.4,9.6
201204,44.8,4.0
201205,49.5,-1.1
201206,60.2,1.8
201207,70.7,4.8
201208,66.7,2.3
201209,58.2,4.2
201210,41.0,-2.3
201211,32.4,3.1
201212,21.5,0.5
201301,21.7,4.8
201302,27.4,5.1
201303,30.5,0.7
201304,36.9,-3.9
201305,51.9,1.3
201306,59.0,0.6
201307,67.5,1.6
201308,67.3,2.9
201309,58.8,4.8
201310,40.8,-2.5
201311,30.4,1.1
201312,16.4,-4.6
201401,24.5,7.6
201402,14.7,-7.6
201403,29.4,-0.4
201404,41.0,0.2
201405,51.1,0.5
201406,56.5,-1.9
201407,67.6,1.7
201408,64.8,0.4
201409,55.1,1.1
201410,47.9,4.6
201411,25.3,-4.0
201412,25.0,4.0
201501,24.7,7.8
201502,26.9,4.6
201503,39.5,9.7
201504,42.8,2.0
201505,49.6,-1.0
201506,63.8,5.4
201507,66.2,0.3
201508,65.9,1.5
201509,57.3,3.3
201510,48.0,4.7
201511,30.0,0.7
201512,23.6,2.6
201601,23.4,6.5
201602,33.6,11.3
201603,37.4,7.6
201604,45.0,4.2
201605,51.0,0.4
201606,62.4,4.0
201607,65.9,0.0
201608,64.4,0.0
201609,54.8,0.8
201610,44.3,1.0
201611,39.1,9.8
201612,14.2,-6.8
201701,15.2,-1.7
201702,25.4,3.1
201703,35.8,6.0
201704,42.1,1.3
201705,52.3,1.7
201706,60.6,2.2
201707,71.6,5.7
201708,65.5,1.1
201709,55.2,1.2
201710,42.6,-0.7
201711,30.7,1.4
201712,21.1,0.1
201801,21.7,4.8
201802,11.4,-10.9
201803,28.3,-1.5
201804,37.9,-2.9
201805,55.7,5.1
201806,59.2,0.8
201807,66.8,0.9
201808,64.5,0.1
201809,53.0,-1.0
201810,41.6,-1.7
201811,30.2,0.9
201812,25.0,4.0
201901,24.7,7.8
201902,5.1,-17.2
201903,25.2,-4.6
201904,41.9,1.1
201905,47.7,-2.9
201906,58.6,0.2
201907,65.0,-0.9
201908,64.8,0.4
201909,55.0,1.0
201910,35.4,-7.9
201911,29.3,0.0
201912,25.8,4.8
202001,23.4,6.5
202002,25.6,3.3
202003,31.6,1.8
202004,38.3,-2.5
202005,50.6,0.0
202006,59.3,0.9
202007,65.6,-0.3
202008,67.4,3.0
202009,57.0,3.0
202010,39.3,-4.0
202011,32.8,3.5
202012,28.5,7.5
202101,26.7,9.8
202102,13.7,-8.6
202103,36.2,6.4
202104,40.4,-0.4
202105,48.6,-2.0
202106,65.3,6.9
202107,72.5,6.6
202108,64.7,0.3
202109,58.3,4.3
202110,45.6,2.3
202111,36.3,7.0
202112,19.3,-1.7
202201,22.9,6.0
