Nebraska, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,22.1,0.0
201002,23.0,-4.5
201003,39.7,3.9
201004,51.7,3.7
201005,56.3,-2.4
201006,69.6,1.1
201007,74.5,-0.3
201008,74.8,2.2
201009,63.6,0.7
201010,54.0,3.0
201011,36.7,1.2
201012,26.1,0.3
201101,20.4,-1.7
201102,24.5,-3.0
201103,37.1,1.3
201104,47.5,-0.5
201105,56.0,-2.7
201106,68.2,-0.3
201107,77.7,2.9
201108,73.9,1.3
201109,60.6,-2.3
201110,52.7,1.7
201111,38.2,2.7
201112,28.6,2.8
201201,30.4,8.3
201202,29.3,1.8
201203,50.8,15.0
201204,53.5,5.5
201205,62.3,3.6
201206,73.4,4.9
201207,80.0,5.2
201208,73.0,0.4
201209,64.1,1.2
201210,48.2,-2.8
201211,40.0,4.5
201212,27.6,1.8
201301,25.5,3.4
201302,28.8,1.3
201303,34.8,-1.0
201304,42.5,-5.5
201305,58.5,-0.2
201306,68.8,0.3
201307,73.2,-1.6
201308,73.8,1.2
201309,68.0,5.1
201310,48.8,-2.2
201311,36.0,0.5
201312,22.8,-3.0
201401,25.4,3.3
201402,20.8,-6.7
201403,35.4,-0.4
201404,48.3,0.3
201405,58.5,-0.2
201406,68.1,-0.4
201407,71.2,-3.6
201408,72.2,-0.4
201409,62.9,0.0
201410,53.2,2.2
201411,32.2,-3.3
201412,28.0,2.2
201501,27.2,5.1
201502,26.1,-1.4
201503,42.9,7.1
201504,50.5,2.5
201505,56.2,-2.5
201506,69.8,1.3
201507,73.4,-1.4
201508,70.9,-1.7
201509,68.6,5.7
201510,54.3,3.3
201511,40.1,4.6
201512,29.7,3.9
201601,26.0,3.9
201602,35.0,7.5
201603,43.9,8.1
201604,49.9,1.9
201605,57.2,-1.5
201606,73.3,4.8
201607,74.2,-0.6
201608,71.8,-0.8
201609,65.0,2.1
201610,55.4,4.4
201611,44.3,8.8
201612,23.8,-2.0
201701,24.8,2.7
201702,35.4,7.9
201703,42.2,6.4
201704,49.7,1.7
201705,57.0,-1.7
201706,70.7,2.2
201707,76.8,2.0
201708,69.0,-3.6
201709,65.0,2.1
201710,51.0,0.0
201711,39.9,4.4
201712,26.6,0.8
201801,23.0,0.9
201802,21.7,-5.8
201803,38.5,2.7
201804,41.2,-6.8
201805,63.8,5.1
201806,72.2,3.7
201807,73.4,-1.4
201808,70.8,-1.8
201809,65.7,2.8
201810,47.2,-3.8
201811,33.5,-2.0
201812,28.1,2.3
201901,26.4,4.3
201902,17.2,-10.3
201903,31.7,-4.1
201904,49.2,1.2
201905,53.5,-5.2
201906,68.0,-0.5
201907,74.5,-0.3
201908,71.5,-1.1
201909,68.3,5.4
201910,44.2,-6.8
201911,35.2,-0.3
201912,30.2,4.4
202001,27.2,5.1
202002,29.6,2.1
202003,41.1,5.3
202004,46.1,-1.9
202005,56.8,-1.9
202006,73.5,5.0
202007,75.3,0.5
202008,74.0,1.4
202009,62.7,-0.2
202010,46.4,-4.6
202011,42.6,7.1
202012,31.3,5.5
202101,29.2,7.1
202102,16.5,-11.0
202103,42.6,6.8
202104,47.0,-1.0
202105,57.9,-0.8
202106,72.8,4.3
202107,75.0,0.2
202108,74.3,1.7
202109,67.6,4.7
202110,53.2,2.2
202111,42.6,7.1
202112,33.8,8.0
202201,25.6,3.5
