Nevada, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,32.9,2.8
201002,35.8,1.4
201003,39.9,0.2
201004,44.2,-2.5
201005,49.2,-6.1
201006,64.8,0.8
201007,74.1,1.8
201008,69.9,-0.4
201009,63.9,1.9
201010,52.9,1.8
201011,37.4,-1.4
201012,35.6,4.1
201101,32.9,2.8
201102,32.8,-1.6
201103,40.6,0.9
201104,44.4,-2.3
201105,50.8,-4.5
201106,62.4,-1.6
201107,71.9,-0.4
201108,72.5,2.2
201109,65.6,3.6
201110,52.4,1.3
201111,37.6,-1.2
201112,30.9,-0.6
201201,35.0,4.9
201202,34.6,0.2
201203,42.4,2.7
201204,49.9,3.2
201205,58.0,2.7
201206,66.2,2.2
201207,73.7,1.4
201208,74.2,3.9
201209,66.2,4.2
201210,53.4,2.3
201211,43.4,4.6
201212,31.3,-0.2
201301,26.0,-4.1
201302,33.3,-1.1
201303,44.7,5.0
201304,48.4,1.7
201305,56.5,1.2
201306,68.6,4.6
201307,76.3,4.0
201308,71.6,1.3
201309,62.5,0.5
201310,48.1,-3.0
201311,41.5,2.7
201312,28.4,-3.1
201401,37.1,7.0
201402,39.2,4.8
201403,43.4,3.7
201404,49.0,2.3
201405,57.4,2.1
201406,66.7,2.7
201407,76.1,3.8
201408,69.5,-0.8
201409,65.5,3.5
201410,55.4,4.3
201411,41.5,2.7
201412,35.6,4.1
201501,37.7,7.6
201502,42.8,8.4
201503,47.6,7.9
201504,47.8,1.1
201505,55.4,0.1
201506,71.0,7.0
201507,70.9,-1.4
201508,72.7,2.4
201509,65.9,3.9
201510,56.2,5.1
201511,35.9,-2.9
201512,30.8,-0.7
201601,31.1,1.0
201602,38.0,3.6
201603,44.2,4.5
201604,50.1,3.4
201605,55.1,-0.2
201606,69.7,5.7
201607,73.7,1.4
201608,72.1,1.8
201609,62.3,0.3
201610,53.2,2.1
201611,43.2,4.4
201612,30.5,-1.0
201701,29.1,-1.0
201702,38.1,3.7
201703,45.7,6.0
201704,47.1,0.4
201705,57.1,1.8
201706,68.6,4.6
201707,76.2,3.9
201708,73.5,3.2
201709,61.6,-0.4
201710,50.4,-0.7
201711,44.4,5.6
201712,34.8,3.3
201801,38.5,8.4
201802,33.7,-0.7
201803,39.5,-0.2
201804,50.0,3.3
201805,57.7,2.4
201806,67.8,3.8
201807,77.0,4.7
201808,73.2,2.9
201809,65.0,3.0
201810,50.3,-0.8
201811,39.4,0.6
201812,32.0,0.5
201901,34.1,4.0
201902,30.0,-4.4
201903,40.1,0.4
201904,50.1,3.4
201905,51.7,-3.6
201906,64.3,0.3
201907,72.8,0.5
201908,73.1,2.8
201909,61.7,-0.3
201910,45.6,-5.5
201911,41.8,3.0
201912,33.2,1.7
202001,35.3,5.2
202002,36.3,1.9
202003,40.5,0.8
202004,48.8,2.1
202005,58.8,3.5
202006,65.0,1.0
202007,74.2,1.9
202008,75.6,5.3
202009,66.6,4.6
202010,55.3,4.2
202011,40.5,1.7
202012,32.4,0.9
202101,33.7,3.6
202102,35.6,1.2
202103,39.2,-0.5
202104,49.3,2.6
202105,57.2,1.9
202106,72.5,8.5
202107,77.7,5.4
202108,72.4,2.1
202109,65.5,3.5
202110,49.6,-1.5
202111,45.1,6.3
202112,32.4,0.9
202201,34.2,4.1
