New Hampshire, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,21.1,3.7
201002,25.3,5.9
201003,37.0,7.9
201004,46.7,5.9
201005,56.7,3.9
201006,63.0,1.1
201007,70.4,3.8
201008,66.0,1.6
201009,60.1,3.5
201010,46.3,0.5
201011,36.1,1.4
201012,23.1,0.9
201101,16.8,-0.6
201102,18.7,-0.7
201103,29.3,0.2
201104,42.4,1.6
201105,55.8,3.0
201106,62.1,0.2
201107,69.1,2.5
201108,66.2,1.8
201109,61.0,4.4
201110,48.2,2.4
201111,40.2,5.5
201112,29.4,7.2
201201,22.7,5.3
201202,26.9,7.5
201203,38.9,9.8
201204,44.2,3.4
201205,57.0,4.2
201206,62.1,0.2
201207,68.9,2.3
201208,68.2,3.8
201209,57.5,0.9
201210,49.7,3.9
201211,34.3,-0.4
201212,28.7,6.5
201301,20.2,2.8
201302,23.1,3.7
201303,30.8,1.7
201304,42.0,1.2
201305,54.9,2.1
201306,63.2,1.3
201307,70.6,4.0
201308,64.8,0.4
201309,57.4,0.8
201310,48.0,2.2
201311,33.2,-1.5
201312,22.2,0.0
201401,16.5,-0.9
201402,18.1,-1.3
201403,21.6,-7.5
201404,41.6,0.8
201405,54.0,1.2
201406,62.8,0.9
201407,67.9,1.3
201408,64.0,-0.4
201409,57.8,1.2
201410,49.8,4.0
201411,33.8,-0.9
201412,28.7,6.5
201501,14.6,-2.8
201502,8.1,-11.3
201503,23.8,-5.3
201504,40.6,-0.2
201505,58.9,6.1
201506,60.2,-1.7
201507,66.9,0.3
201508,67.6,3.2
201509,62.7,6.1
201510,45.2,-0.6
201511,39.6,4.9
201512,35.2,13.0
201601,22.9,5.5
201602,25.6,6.2
201603,35.2,6.1
201604,40.2,-0.6
201605,54.8,2.0
201606,62.6,0.7
201607,68.5,1.9
201608,68.2,3.8
201609,60.5,3.9
201610,48.0,2.2
201611,37.9,3.2
201612,24.4,2.2
201701,25.7,8.3
201702,26.7,7.3
201703,25.3,-3.8
201704,45.8,5.0
201705,52.2,-0.6
201706,62.6,0.7
201707,66.5,-0.1
201708,64.1,-0.3
201709,62.2,5.6
201710,53.9,8.1
201711,34.6,-0.1
201712,19.6,-2.6
201801,18.3,0.9
201802,27.0,7.6
201803,30.3,1.2
201804,38.0,-2.8
201805,57.3,4.5
201806,61.4,-0.5
201807,69.9,3.3
201808,69.2,4.8
201809,61.1,4.5
201810,45.0,-0.8
201811,31.2,-3.5
201812,24.7,2.5
201901,18.0,0.6
201902,21.0,1.6
201903,27.4,-1.7
201904,42.4,1.6
201905,51.3,-1.5
201906,61.6,-0.3
201907,70.0,3.4
201908,65.7,1.3
201909,57.5,0.9
201910,47.9,2.1
201911,31.5,-3.2
201912,24.7,2.5
202001,25.2,7.8
202002,24.2,4.8
202003,34.2,5.1
202004,39.6,-1.2
202005,53.4,0.6
202006,64.0,2.1
202007,71.1,4.5
202008,66.5,2.1
202009,58.5,1.9
202010,47.0,1.2
202011,38.5,3.8
202012,28.0,5.8
202101,23.1,5.7
202102,20.5,1.1
202103,32.4,3.3
202104,44.0,3.2
202105,54.5,1.7
202106,66.2,4.3
202107,65.5,-1.1
202108,69.3,4.9
202109,60.5,3.9
202110,52.1,6.3
202111,35.9,1.2
202112,29.1,6.9
202201,14.8,-2.6
