New Jersey, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,31.2,1.4
201002,31.1,-0.3
201003,46.2,6.7
201004,55.5,6.0
201005,64.0,4.0
201006,73.9,5.0
201007,78.3,4.5
201008,74.9,3.0
201009,69.2,4.1
201010,56.0,2.0
201011,45.0,1.3
201012,30.8,-2.7
201101,27.2,-2.6
201102,34.4,3.0
201103,41.2,1.7
201104,53.9,4.4
201105,63.7,3.7
201106,71.9,3.0
201107,78.4,4.6
201108,73.5,1.6
201109,68.9,3.8
201110,55.8,1.8
201111,48.9,5.2
201112,40.5,7.0
201201,35.6,5.8
201202,38.9,7.5
201203,49.8,10.3
201204,52.6,3.1
201205,65.1,5.1
201206,70.0,1.1
201207,77.8,4.0
201208,74.7,2.8
201209,67.0,1.9
201210,56.8,2.8
201211,41.5,-2.2
201212,40.6,7.1
201301,33.9,4.1
201302,32.8,1.4
201303,38.6,-0.9
201304,51.5,2.0
201305,60.9,0.9
201306,71.2,2.3
201307,77.8,4.0
201308,71.4,-0.5
201309,64.4,-0.7
201310,57.1,3.1
201311,42.9,-0.8
201312,36.0,2.5
201401,26.0,-3.8
201402,29.5,-1.9
201403,35.4,-4.1
201404,50.3,0.8
201405,62.0,2.0
201406,70.6,1.7
201407,74.1,0.3
201408,70.8,-1.1
201409,66.9,1.8
201410,57.0,3.0
201411,42.0,-1.7
201412,38.7,5.2
201501,27.9,-1.9
201502,22.3,-9.1
201503,35.9,-3.6
201504,51.5,2.0
201505,66.1,6.1
201506,70.3,1.4
201507,75.2,1.4
201508,74.3,2.4
201509,70.7,5.6
201510,54.5,0.5
201511,49.7,6.0
201512,48.0,14.5
201601,31.4,1.6
201602,36.0,4.6
201603,47.0,7.5
201604,50.7,1.2
201605,60.2,0.2
201606,70.6,1.7
201607,77.2,3.4
201608,76.9,5.0
201609,69.7,4.6
201610,56.7,2.7
201611,46.7,3.0
201612,36.3,2.8
201701,36.2,6.4
201702,40.4,9.0
201703,38.9,-0.6
201704,55.9,6.4
201705,60.0,0.0
201706,70.4,1.5
201707,75.5,1.7
201708,71.6,-0.3
201709,68.2,3.1
201710,60.4,6.4
201711,44.4,0.7
201712,33.2,-0.3
201801,29.2,-0.6
201802,39.4,8.0
201803,38.3,-1.2
201804,48.0,-1.5
201805,65.2,5.2
201806,70.1,1.2
201807,76.2,2.4
201808,76.8,4.9
201809,70.2,5.1
201810,56.4,2.4
201811,42.5,-1.2
201812,37.8,4.3
201901,31.6,1.8
201902,34.7,3.3
201903,39.4,-0.1
201904,54.8,5.3
201905,62.8,2.8
201906,70.6,1.7
201907,78.0,4.2
201908,74.5,2.6
201909,69.0,3.9
201910,58.2,4.2
201911,41.3,-2.4
201912,36.4,2.9
202001,37.3,7.5
202002,39.1,7.7
202003,46.3,6.8
202004,48.7,-0.8
202005,59.1,-0.9
202006,71.5,2.6
202007,78.8,5.0
202008,75.5,3.6
202009,66.8,1.7
202010,57.0,3.0
202011,49.2,5.5
202012,37.0,3.5
202101,33.7,3.9
202102,32.1,0.7
202103,44.1,4.6
202104,52.6,3.1
202105,60.8,0.8
202106,71.7,2.8
202107,75.7,1.9
202108,75.8,3.9
202109,68.7,3.6
202110,61.0,7.0
202111,43.7,0.0
202112,41.3,7.8
202201,28.6,-1.2
