New Mexico, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,33.6,0.1
201002,35.1,-2.8
201003,43.1,-0.3
201004,52.7,1.1
201005,59.9,-0.5
201006,72.6,3.3
201007,73.4,0.5
201008,72.3,1.4
201009,68.3,3.7
201010,56.7,2.4
201011,42.0,0.0
201012,40.4,5.7
201101,33.8,0.3
201102,35.0,-2.9
201103,49.2,5.8
201104,55.6,4.0
201105,59.6,-0.8
201106,73.1,3.8
201107,76.6,3.7
201108,76.0,5.1
201109,66.3,1.7
201110,55.3,1.0
201111,43.5,1.5
201112,31.4,-3.3
201201,38.6,5.1
201202,38.2,0.3
201203,47.8,4.4
201204,56.6,5.0
201205,63.4,3.0
201206,74.2,4.9
201207,74.4,1.5
201208,73.9,3.0
201209,66.2,1.6
201210,56.1,1.8
201211,46.6,4.6
201212,36.0,1.3
201301,32.0,-1.5
201302,36.1,-1.8
201303,46.6,3.2
201304,52.6,1.0
201305,61.6,1.2
201306,74.1,4.8
201307,73.0,0.1
201308,72.3,1.4
201309,66.0,1.4
201310,52.6,-1.7
201311,42.7,0.7
201312,34.5,-0.2
201401,36.4,2.9
201402,41.9,4.0
201403,46.0,2.6
201404,52.3,0.7
201405,60.1,-0.3
201406,72.4,3.1
201407,74.2,1.3
201408,70.5,-0.4
201409,66.5,1.9
201410,57.4,3.1
201411,42.4,0.4
201412,37.6,2.9
201501,35.6,2.1
201502,41.4,3.5
201503,47.6,4.2
201504,52.5,0.9
201505,58.3,-2.1
201506,71.6,2.3
201507,73.1,0.2
201508,73.4,2.5
201509,69.0,4.4
201510,57.5,3.2
201511,43.4,1.4
201512,35.9,1.2
201601,34.3,0.8
201602,42.0,4.1
201603,48.3,4.9
201604,52.3,0.7
201605,59.4,-1.0
201606,73.0,3.7
201607,76.9,4.0
201608,70.1,-0.8
201609,65.9,1.3
201610,59.6,5.3
201611,46.7,4.7
201612,37.8,3.1
201701,37.2,3.7
201702,44.5,6.6
201703,51.2,7.8
201704,53.7,2.1
201705,60.1,-0.3
201706,72.8,3.5
201707,74.6,1.7
201708,70.8,-0.1
201709,66.4,1.8
201710,56.4,2.1
201711,50.2,8.2
201712,38.7,4.0
201801,37.0,3.5
201802,41.3,3.4
201803,47.2,3.8
201804,55.1,3.5
201805,65.5,5.1
201806,74.3,5.0
201807,75.1,2.2
201808,73.0,2.1
201809,66.9,2.3
201810,53.9,-0.4
201811,41.2,-0.8
201812,35.6,0.9
201901,35.6,2.1
201902,38.1,0.2
201903,45.6,2.2
201904,53.9,2.3
201905,58.1,-2.3
201906,69.4,0.1
201907,75.5,2.6
201908,75.3,4.4
201909,69.0,4.4
201910,52.2,-2.1
201911,43.5,1.5
201912,37.2,2.5
202001,37.1,3.6
202002,38.5,0.6
202003,48.0,4.6
202004,54.0,2.4
202005,65.1,4.7
202006,72.5,3.2
202007,76.6,3.7
202008,76.2,5.3
202009,65.0,0.4
202010,56.6,2.3
202011,47.5,5.5
202012,35.0,0.3
202101,34.9,1.4
202102,37.1,-0.8
202103,44.7,1.3
202104,53.1,1.5
202105,62.6,2.2
202106,73.1,3.8
202107,73.3,0.4
202108,72.1,1.2
202109,68.2,3.6
202110,55.5,1.2
202111,47.6,5.6
202112,41.9,7.2
202201,35.6,2.1
