Arkansas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,36.5,-2.5
201002,36.5,-7.1
201003,50.5,-0.6
201004,63.4,2.7
201005,71.3,2.5
201006,81.6,5.0
201007,82.0,1.5
201008,83.9,4.5
201009,74.8,2.0
201010,62.7,0.7
201011,52.0,2.4
201012,38.9,-2.7
201101,37.6,-1.4
201102,43.9,0.3
201103,52.5,1.4
201104,63.5,2.8
201105,67.3,-1.5
201106,81.7,5.1
201107,84.7,4.2
201108,83.1,3.7
201109,70.2,-2.6
201110,60.6,-1.4
201111,53.4,3.8
201112,43.3,1.7
201201,44.6,5.6
201202,47.2,3.6
201203,62.2,11.1
201204,64.4,3.7
201205,73.2,4.4
201206,78.0,1.4
201207,84.1,3.6
201208,80.2,0.8
201209,73.5,0.7
201210,59.3,-2.7
201211,50.2,0.6
201212,46.4,4.8
201301,42.1,3.1
201302,43.3,-0.3
201303,46.6,-4.5
201304,58.5,-2.2
201305,67.2,-1.6
201306,77.1,0.5
201307,78.0,-2.5
201308,78.4,-1.0
201309,75.4,2.6
201310,61.5,-0.5
201311,47.5,-2.1
201312,40.1,-1.5
201401,35.2,-3.8
201402,38.8,-4.8
201403,46.5,-4.6
201404,59.6,-1.1
201405,68.1,-0.7
201406,76.7,0.1
201407,75.4,-5.1
201408,78.7,-0.7
201409,72.6,-0.2
201410,63.7,1.7
201411,44.9,-4.7
201412,43.8,2.2
201501,38.6,-0.4
201502,36.1,-7.5
201503,49.7,-1.4
201504,62.5,1.8
201505,69.3,0.5
201506,78.1,1.5
201507,81.9,1.4
201508,78.1,-1.3
201509,74.8,2.0
201510,63.5,1.5
201511,54.2,4.6
201512,50.0,8.4
201601,39.5,0.5
201602,46.9,3.3
201603,55.5,4.4
201604,62.5,1.8
201605,67.2,-1.6
201606,78.9,2.3
201607,82.0,1.5
201608,80.0,0.6
201609,75.8,3.0
201610,67.0,5.0
201611,55.7,6.1
201612,42.5,0.9
201701,45.2,6.2
201702,52.5,8.9
201703,55.7,4.6
201704,64.2,3.5
201705,67.7,-1.1
201706,75.5,-1.1
201707,80.6,0.1
201708,76.9,-2.5
201709,73.2,0.4
201710,62.9,0.9
201711,53.7,4.1
201712,42.4,0.8
201801,35.7,-3.3
201802,45.9,2.3
201803,53.9,2.8
201804,55.2,-5.5
201805,75.0,6.2
201806,80.1,3.5
201807,81.8,1.3
201808,78.8,-0.6
201809,75.0,2.2
201810,62.6,0.6
201811,45.8,-3.8
201812,44.2,2.6
201901,40.8,1.8
201902,46.0,2.4
201903,48.9,-2.2
201904,60.8,0.1
201905,70.6,1.8
201906,75.6,-1.0
201907,79.0,-1.5
201908,80.3,0.9
201909,79.7,6.9
201910,60.8,-1.2
201911,46.4,-3.2
201912,45.7,4.1
202001,43.9,4.9
202002,44.5,0.9
202003,56.5,5.4
202004,58.8,-1.9
202005,66.8,-2.0
202006,76.4,-0.2
202007,81.3,0.8
202008,77.8,-1.6
202009,71.8,-1.0
202010,59.4,-2.6
202011,54.0,4.4
202012,42.6,1.0
202101,41.3,2.3
202102,34.7,-8.9
202103,55.1,4.0
202104,58.2,-2.5
202105,66.7,-2.1
202106,76.8,0.2
202107,79.2,-1.3
202108,80.6,1.2
202109,74.2,1.4
202110,65.4,3.4
202111,49.2,-0.4
202112,53.2,11.6
202201,38.6,-0.4
