New York, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,21.8,1.8
201002,24.1,2.6
201003,38.2,7.5
201004,49.2,6.3
201005,58.6,4.1
201006,65.1,1.4
201007,71.4,3.2
201008,68.2,1.9
201009,60.9,2.0
201010,48.5,0.5
201011,37.9,1.1
201012,23.1,-1.8
201101,18.6,-1.4
201102,21.8,0.3
201103,30.9,0.2
201104,45.0,2.1
201105,58.0,3.5
201106,65.1,1.4
201107,71.4,3.2
201108,67.6,1.3
201109,62.6,3.7
201110,49.6,1.6
201111,43.1,6.3
201112,31.8,6.9
201201,26.0,6.0
201202,29.9,8.4
201203,43.3,12.6
201204,43.9,1.0
201205,60.5,6.0
201206,64.6,0.9
201207,71.4,3.2
201208,68.4,2.1
201209,59.9,1.0
201210,50.9,2.9
201211,35.7,-1.1
201212,31.6,6.7
201301,24.3,4.3
201302,23.3,1.8
201303,30.6,-0.1
201304,43.4,0.5
201305,57.2,2.7
201306,64.0,0.3
201307,71.2,3.0
201308,65.8,-0.5
201309,58.3,-0.6
201310,50.8,2.8
201311,34.4,-2.4
201312,25.4,0.5
201401,16.9,-3.1
201402,18.8,-2.7
201403,23.6,-7.1
201404,43.5,0.6
201405,56.7,2.2
201406,65.0,1.3
201407,67.4,-0.8
201408,65.3,-1.0
201409,60.1,1.2
201410,51.3,3.3
201411,35.3,-1.5
201412,30.2,5.3
201501,16.2,-3.8
201502,9.2,-12.3
201503,25.5,-5.2
201504,43.3,0.4
201505,61.0,6.5
201506,63.0,-0.7
201507,68.1,-0.1
201508,67.5,1.2
201509,65.0,6.1
201510,47.4,-0.6
201511,42.8,6.0
201512,39.3,14.4
201601,23.7,3.7
201602,26.7,5.2
201603,37.7,7.0
201604,41.3,-1.6
201605,55.7,1.2
201606,64.1,0.4
201607,70.4,2.2
201608,70.9,4.6
201609,62.9,4.0
201610,50.5,2.5
201611,40.2,3.4
201612,27.6,2.7
201701,27.9,7.9
201702,30.6,9.1
201703,28.2,-2.5
201704,48.8,5.9
201705,54.0,-0.5
201706,63.9,0.2
201707,68.1,-0.1
201708,65.6,-0.7
201709,62.3,3.4
201710,54.8,6.8
201711,36.2,-0.6
201712,22.6,-2.3
201801,19.1,-0.9
201802,29.4,7.9
201803,29.9,-0.8
201804,37.8,-5.1
201805,60.0,5.5
201806,63.4,-0.3
201807,71.2,3.0
201808,70.4,4.1
201809,63.6,4.7
201810,47.7,-0.3
201811,33.3,-3.5
201812,28.5,3.6
201901,19.4,-0.6
201902,24.2,2.7
201903,29.5,-1.2
201904,44.5,1.6
201905,54.2,-0.3
201906,62.9,-0.8
201907,71.0,2.8
201908,66.6,0.3
201909,60.3,1.4
201910,50.2,2.2
201911,32.8,-4.0
201912,27.3,2.4
202001,27.7,7.7
202002,26.6,5.1
202003,37.2,6.5
202004,41.1,-1.8
202005,54.2,-0.3
202006,65.2,1.5
202007,72.9,4.7
202008,68.6,2.3
202009,59.6,0.7
202010,49.0,1.0
202011,41.9,5.1
202012,29.8,4.9
202101,24.0,4.0
202102,21.7,0.2
202103,35.0,4.3
202104,45.7,2.8
202105,54.7,0.2
202106,67.1,3.4
202107,67.7,-0.5
202108,70.4,4.1
202109,61.8,2.9
202110,54.8,6.8
202111,37.0,0.2
202112,32.8,7.9
202201,15.8,-4.2
