North Carolina, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,36.6,-3.4
201002,36.9,-5.5
201003,49.5,0.3
201004,61.3,3.2
201005,69.5,3.1
201006,78.8,5.2
201007,79.4,2.4
201008,78.6,3.0
201009,73.1,2.8
201010,60.9,1.4
201011,50.0,0.4
201012,33.6,-8.0
201101,36.2,-3.8
201102,45.7,3.3
201103,50.6,1.4
201104,61.4,3.3
201105,67.6,1.2
201106,77.0,3.4
201107,80.0,3.0
201108,77.7,2.1
201109,71.0,0.7
201110,58.2,-1.3
201111,52.4,2.8
201112,46.9,5.3
201201,43.9,3.9
201202,45.8,3.4
201203,58.7,9.5
201204,59.2,1.1
201205,69.6,3.2
201206,72.3,-1.3
201207,80.3,3.3
201208,75.6,0.0
201209,69.8,-0.5
201210,59.5,0.0
201211,46.3,-3.3
201212,47.6,6.0
201301,44.1,4.1
201302,41.8,-0.6
201303,44.0,-5.2
201304,58.7,0.6
201305,65.1,-1.3
201306,74.3,0.7
201307,77.0,0.0
201308,74.4,-1.2
201309,69.4,-0.9
201310,60.7,1.2
201311,47.8,-1.8
201312,45.4,3.8
201401,35.3,-4.7
201402,43.0,0.6
201403,45.5,-3.7
201404,59.2,1.1
201405,68.5,2.1
201406,75.2,1.6
201407,75.7,-1.3
201408,74.3,-1.3
201409,71.2,0.9
201410,61.4,1.9
201411,45.8,-3.8
201412,45.1,3.5
201501,39.4,-0.6
201502,34.9,-7.5
201503,50.7,1.5
201504,60.0,1.9
201505,68.6,2.2
201506,77.3,3.7
201507,78.5,1.5
201508,76.1,0.5
201509,71.6,1.3
201510,60.0,0.5
201511,54.4,4.8
201512,54.7,13.1
201601,38.4,-1.6
201602,43.2,0.8
201603,56.2,7.0
201604,58.7,0.6
201605,65.8,-0.6
201606,75.3,1.7
201607,80.1,3.1
201608,79.2,3.6
201609,74.3,4.0
201610,63.2,3.7
201611,51.7,2.1
201612,44.0,2.4
201701,45.4,5.4
201702,50.7,8.3
201703,50.0,0.8
201704,63.9,5.8
201705,67.7,1.3
201706,73.8,0.2
201707,78.7,1.7
201708,75.8,0.2
201709,70.5,0.2
201710,62.8,3.3
201711,50.3,0.7
201712,42.4,0.8
201801,35.9,-4.1
201802,51.9,9.5
201803,46.3,-2.9
201804,56.1,-2.0
201805,71.6,5.2
201806,76.8,3.2
201807,77.2,0.2
201808,77.3,1.7
201809,76.2,5.9
201810,62.5,3.0
201811,48.4,-1.2
201812,45.0,3.4
201901,42.0,2.0
201902,48.1,5.7
201903,48.8,-0.4
201904,61.1,3.0
201905,72.2,5.8
201906,74.2,0.6
201907,79.0,2.0
201908,77.0,1.4
201909,74.9,4.6
201910,64.6,5.1
201911,47.4,-2.2
201912,46.6,5.0
202001,46.0,6.0
202002,47.0,4.6
202003,55.9,6.7
202004,57.4,-0.7
202005,63.6,-2.8
202006,73.2,-0.4
202007,79.6,2.6
202008,77.5,1.9
202009,69.7,-0.6
202010,63.0,3.5
202011,54.8,5.2
202012,42.2,0.6
202101,40.7,0.7
202102,42.1,-0.3
202103,53.1,3.9
202104,58.4,0.3
202105,65.4,-1.0
202106,73.8,0.2
202107,77.0,0.0
202108,77.7,2.1
202109,70.6,0.3
202110,64.3,4.8
202111,47.9,-1.7
202112,50.6,9.0
202201,38.6,-1.4
