North Dakota, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,9.7,2.9
201002,9.3,-3.8
201003,31.6,6.4
201004,47.2,5.9
201005,52.4,-1.7
201006,63.1,0.0
201007,68.8,-0.5
201008,69.0,1.6
201009,54.6,-1.8
201010,48.0,3.8
201011,27.2,1.1
201012,9.6,-3.5
201101,6.4,-0.4
201102,10.0,-3.1
201103,19.2,-6.0
201104,39.1,-2.2
201105,50.9,-3.2
201106,62.4,-0.7
201107,71.1,1.8
201108,68.6,1.2
201109,58.3,1.9
201110,48.4,4.2
201111,30.5,4.4
201112,23.0,9.9
201201,20.0,13.2
201202,21.0,7.9
201203,40.6,15.4
201204,45.8,4.5
201205,55.0,0.9
201206,65.5,2.4
201207,74.1,4.8
201208,67.4,0.0
201209,58.2,1.8
201210,41.2,-3.0
201211,27.5,1.4
201212,13.3,0.2
201301,11.4,4.6
201302,16.8,3.7
201303,17.6,-7.6
201304,31.3,-10.0
201305,53.4,-0.7
201306,63.3,0.2
201307,68.3,-1.0
201308,68.6,1.2
201309,62.0,5.6
201310,41.6,-2.6
201311,26.2,0.1
201312,5.0,-8.1
201401,8.5,1.7
201402,5.6,-7.5
201403,22.7,-2.5
201404,38.2,-3.1
201405,53.7,-0.4
201406,62.5,-0.6
201407,66.8,-2.5
201408,67.0,-0.4
201409,57.8,1.4
201410,46.5,2.3
201411,20.2,-5.9
201412,18.2,5.1
201501,16.0,9.2
201502,8.4,-4.7
201503,33.0,7.8
201504,44.3,3.0
201505,52.4,-1.7
201506,65.1,2.0
201507,69.9,0.6
201508,68.0,0.6
201509,62.0,5.6
201510,47.8,3.6
201511,32.5,6.4
201512,21.1,8.0
201601,14.6,7.8
201602,25.6,12.5
201603,36.3,11.1
201604,41.8,0.5
201605,56.6,2.5
201606,66.0,2.9
201607,69.3,0.0
201608,68.0,0.6
201609,58.6,2.2
201610,46.1,1.9
201611,39.3,13.2
201612,10.2,-2.9
201701,11.2,4.4
201702,20.5,7.4
201703,27.4,2.2
201704,42.7,1.4
201705,54.8,0.7
201706,64.8,1.7
201707,72.2,2.9
201708,65.2,-2.2
201709,58.3,1.9
201710,45.0,0.8
201711,26.4,0.3
201712,15.6,2.5
201801,11.8,5.0
201802,5.4,-7.7
201803,24.7,-0.5
201804,33.3,-8.0
201805,60.2,6.1
201806,67.4,4.3
201807,69.3,0.0
201808,67.6,0.2
201809,55.0,-1.4
201810,39.1,-5.1
201811,22.9,-3.2
201812,20.8,7.7
201901,9.8,3.0
201902,-2.7,-15.8
201903,20.6,-4.6
201904,41.8,0.5
201905,49.6,-4.5
201906,64.0,0.9
201907,69.3,0.0
201908,65.5,-1.9
201909,58.3,1.9
201910,37.6,-6.6
201911,26.1,0.0
201912,16.1,3.0
202001,12.9,6.1
202002,17.8,4.7
202003,29.8,4.6
202004,37.6,-3.7
202005,52.5,-1.6
202006,66.9,3.8
202007,70.3,1.0
202008,69.2,1.8
202009,57.1,0.7
202010,37.8,-6.4
202011,31.8,5.7
202012,23.4,10.3
202101,21.1,14.3
202102,5.8,-7.3
202103,35.8,10.6
202104,40.7,-0.6
202105,52.7,-1.4
202106,69.3,6.2
202107,73.8,4.5
202108,68.9,1.5
202109,62.2,5.8
202110,48.5,4.3
202111,32.6,6.5
202112,14.1,1.0
202201,8.7,1.9
