Oklahoma, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,35.2,-1.1
201002,35.7,-6.0
201003,49.0,-0.2
201004,61.5,1.8
201005,68.2,0.0
201006,81.0,4.0
201007,81.9,0.0
201008,83.9,3.0
201009,75.0,2.0
201010,62.3,0.5
201011,50.4,2.3
201012,39.5,0.3
201101,35.0,-1.3
201102,39.4,-2.3
201103,52.4,3.2
201104,62.1,2.4
201105,67.7,-0.5
201106,83.4,6.4
201107,89.2,7.3
201108,87.7,6.8
201109,71.1,-1.9
201110,61.8,0.0
201111,50.0,1.9
201112,39.9,0.7
201201,42.7,6.4
201202,43.8,2.1
201203,59.6,10.4
201204,64.3,4.6
201205,72.6,4.4
201206,79.0,2.0
201207,85.9,4.0
201208,81.5,0.6
201209,74.4,1.4
201210,59.6,-2.2
201211,52.2,4.1
201212,42.2,3.0
201301,39.7,3.4
201302,41.1,-0.6
201303,47.5,-1.7
201304,54.7,-5.0
201305,67.0,-1.2
201306,78.1,1.1
201307,79.6,-2.3
201308,80.3,-0.6
201309,75.8,2.8
201310,60.4,-1.4
201311,46.6,-1.5
201312,35.2,-4.0
201401,36.0,-0.3
201402,36.1,-5.6
201403,46.3,-2.9
201404,59.4,-0.3
201405,68.9,0.7
201406,77.3,0.3
201407,77.8,-4.1
201408,80.7,-0.2
201409,73.3,0.3
201410,64.6,2.8
201411,44.4,-3.7
201412,41.8,2.6
201501,37.7,1.4
201502,37.8,-3.9
201503,51.1,1.9
201504,61.4,1.7
201505,66.1,-2.1
201506,78.4,1.4
201507,82.1,0.2
201508,79.3,-1.6
201509,76.6,3.6
201510,63.4,1.6
201511,51.4,3.3
201512,44.6,5.4
201601,38.2,1.9
201602,47.4,5.7
201603,54.7,5.5
201604,61.4,1.7
201605,66.2,-2.0
201606,79.2,2.2
201607,83.2,1.3
201608,80.8,-0.1
201609,75.3,2.3
201610,67.1,5.3
201611,55.4,7.3
201612,38.8,-0.4
201701,40.9,4.6
201702,50.5,8.8
201703,56.2,7.0
201704,61.4,1.7
201705,66.9,-1.3
201706,77.3,0.3
201707,82.5,0.6
201708,77.3,-3.6
201709,73.3,0.3
201710,62.0,0.2
201711,52.9,4.8
201712,40.5,1.3
201801,36.6,0.3
201802,41.0,-0.7
201803,53.0,3.8
201804,54.2,-5.5
201805,75.1,6.9
201806,80.6,3.6
201807,82.7,0.8
201808,79.9,-1.0
201809,73.9,0.9
201810,60.1,-1.7
201811,44.5,-3.6
201812,40.8,1.6
201901,38.3,2.0
201902,40.3,-1.4
201903,47.3,-1.9
201904,60.4,0.7
201905,67.0,-1.2
201906,75.4,-1.6
201907,80.8,-1.1
201908,82.4,1.5
201909,79.7,6.7
201910,57.4,-4.4
201911,46.2,-1.9
201912,43.2,4.0
202001,42.2,5.9
202002,41.8,0.1
202003,55.5,6.3
202004,57.9,-1.8
202005,67.2,-1.0
202006,78.8,1.8
202007,82.6,0.7
202008,79.4,-1.5
202009,70.3,-2.7
202010,58.3,-3.5
202011,53.5,5.4
202012,41.0,1.8
202101,39.8,3.5
202102,31.3,-10.4
202103,53.9,4.7
202104,57.5,-2.2
202105,65.9,-2.3
202106,77.4,0.4
202107,80.0,-1.9
202108,81.3,0.4
202109,76.8,3.8
202110,64.4,2.6
202111,51.2,3.1
202112,50.4,11.2
202201,37.1,0.8
