Oregon, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,36.9,6.3
201002,37.6,3.0
201003,39.5,0.9
201004,42.0,-2.1
201005,46.4,-4.5
201006,55.6,-1.9
201007,65.3,0.3
201008,63.5,-0.6
201009,58.5,0.8
201010,50.0,1.7
201011,36.7,-1.1
201012,33.4,1.1
201101,33.9,3.3
201102,32.6,-2.0
201103,37.9,-0.7
201104,39.5,-4.6
201105,46.5,-4.4
201106,54.9,-2.6
201107,62.7,-2.3
201108,66.1,2.0
201109,62.6,4.9
201110,49.0,0.7
201111,37.0,-0.8
201112,32.6,0.3
201201,34.4,3.8
201202,34.6,0.0
201203,38.3,-0.3
201204,45.9,1.8
201205,50.8,-0.1
201206,55.5,-2.0
201207,66.3,1.3
201208,67.7,3.6
201209,61.8,4.1
201210,48.8,0.5
201211,40.6,2.8
201212,31.5,-0.8
201301,29.7,-0.9
201302,35.1,0.5
201303,40.9,2.3
201304,44.6,0.5
201305,52.5,1.6
201306,59.4,1.9
201307,69.4,4.4
201308,66.5,2.4
201309,58.3,0.6
201310,46.2,-2.1
201311,39.4,1.6
201312,29.7,-2.6
201401,36.7,6.1
201402,35.3,0.7
201403,41.8,3.2
201404,45.8,1.7
201405,53.3,2.4
201406,58.1,0.6
201407,70.0,5.0
201408,66.6,2.5
201409,60.8,3.1
201410,52.9,4.6
201411,38.2,0.4
201412,36.0,3.7
201501,38.1,7.5
201502,41.7,7.1
201503,45.7,7.1
201504,44.7,0.6
201505,53.5,2.6
201506,65.6,8.1
201507,67.5,2.5
201508,66.9,2.8
201509,58.1,0.4
201510,54.3,6.0
201511,35.8,-2.0
201512,32.4,0.1
201601,33.1,2.5
201602,40.2,5.6
201603,41.2,2.6
201604,50.1,6.0
201605,53.2,2.3
201606,60.5,3.0
201607,64.4,-0.6
201608,66.7,2.6
201609,57.1,-0.6
201610,48.1,-0.2
201611,43.2,5.4
201612,27.4,-4.9
201701,26.7,-3.9
201702,34.8,0.2
201703,41.6,3.0
201704,42.9,-1.2
201705,52.9,2.0
201706,59.9,2.4
201707,69.2,4.2
201708,69.6,5.5
201709,59.6,1.9
201710,47.0,-1.3
201711,39.3,1.5
201712,32.9,0.6
201801,37.5,6.9
201802,33.2,-1.4
201803,38.4,-0.2
201804,45.0,0.9
201805,55.4,4.5
201806,58.5,1.0
201807,69.0,4.0
201808,66.5,2.4
201809,57.4,-0.3
201810,48.8,0.5
201811,39.3,1.5
201812,32.3,0.0
201901,35.3,4.7
201902,28.8,-5.8
201903,37.3,-1.3
201904,46.1,2.0
201905,52.7,1.8
201906,59.0,1.5
201907,64.9,-0.1
201908,67.1,3.0
201909,56.6,-1.1
201910,43.2,-5.1
201911,40.5,2.7
201912,34.2,1.9
202001,34.9,4.3
202002,35.8,1.2
202003,38.8,0.2
202004,46.3,2.2
202005,52.6,1.7
202006,57.9,0.4
202007,66.0,1.0
202008,67.2,3.1
202009,62.6,4.9
202010,51.3,3.0
202011,38.3,0.5
202012,34.2,1.9
202101,34.8,4.2
202102,33.6,-1.0
202103,38.9,0.3
202104,46.6,2.5
202105,52.0,1.1
202106,65.2,7.7
202107,71.4,6.4
202108,66.4,2.3
202109,59.4,1.7
202110,47.6,-0.7
202111,41.9,4.1
202112,32.4,0.1
202201,34.8,4.2
