Rhode Island, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,28.4,1.0
201002,31.4,2.7
201003,43.6,7.2
201004,52.0,6.0
201005,60.9,4.6
201006,68.9,3.8
201007,75.0,4.4
201008,70.8,1.6
201009,65.5,3.4
201010,53.5,1.6
201011,43.3,1.2
201012,30.3,-1.2
201101,25.2,-2.2
201102,28.8,0.1
201103,38.0,1.6
201104,49.1,3.1
201105,58.9,2.6
201106,66.2,1.1
201107,73.8,3.2
201108,71.3,2.1
201109,66.5,4.4
201110,54.9,3.0
201111,47.8,5.7
201112,39.0,7.5
201201,33.5,6.1
201202,35.7,7.0
201203,45.5,9.1
201204,50.1,4.1
201205,60.6,4.3
201206,65.7,0.6
201207,73.6,3.0
201208,72.5,3.3
201209,63.3,1.2
201210,55.4,3.5
201211,41.0,-1.1
201212,37.6,6.1
201301,30.4,3.0
201302,30.2,1.5
201303,37.1,0.7
201304,47.7,1.7
201305,58.5,2.2
201306,68.0,2.9
201307,76.4,5.8
201308,69.1,-0.1
201309,62.1,0.0
201310,54.0,2.1
201311,41.3,-0.8
201312,33.0,1.5
201401,26.1,-1.3
201402,27.2,-1.5
201403,32.8,-3.6
201404,47.0,1.0
201405,58.0,1.7
201406,66.4,1.3
201407,72.3,1.7
201408,68.6,-0.6
201409,64.4,2.3
201410,55.3,3.4
201411,41.4,-0.7
201412,37.4,5.9
201501,25.5,-1.9
201502,17.7,-11.0
201503,31.8,-4.6
201504,47.2,1.2
201505,61.2,4.9
201506,64.5,-0.6
201507,72.3,1.7
201508,72.6,3.4
201509,67.6,5.5
201510,52.4,0.5
201511,47.1,5.0
201512,45.3,13.8
201601,31.3,3.9
201602,33.1,4.4
201603,42.9,6.5
201604,46.2,0.2
201605,57.9,1.6
201606,66.9,1.8
201607,73.8,3.2
201608,73.9,4.7
201609,66.4,4.3
201610,54.7,2.8
201611,45.2,3.1
201612,34.2,2.7
201701,34.2,6.8
201702,35.2,6.5
201703,34.1,-2.3
201704,51.5,5.5
201705,56.5,0.2
201706,66.8,1.7
201707,71.1,0.5
201708,69.8,0.6
201709,66.4,4.3
201710,59.6,7.7
201711,43.1,1.0
201712,30.1,-1.4
201801,27.6,0.2
201802,37.7,9.0
201803,37.3,0.9
201804,44.4,-1.6
201805,61.4,5.1
201806,65.9,0.8
201807,73.8,3.2
201808,75.1,5.9
201809,66.5,4.4
201810,52.7,0.8
201811,41.0,-1.1
201812,35.3,3.8
201901,29.0,1.6
201902,31.6,2.9
201903,35.9,-0.5
201904,49.2,3.2
201905,56.4,0.1
201906,66.5,1.4
201907,74.8,4.2
201908,71.3,2.1
201909,63.9,1.8
201910,54.7,2.8
201911,40.1,-2.0
201912,34.1,2.6
202001,35.3,7.9
202002,35.4,6.7
202003,42.6,6.2
202004,44.1,-1.9
202005,56.6,0.3
202006,68.1,3.0
202007,75.4,4.8
202008,73.8,4.6
202009,64.5,2.4
202010,54.6,2.7
202011,47.5,5.4
202012,35.7,4.2
202101,31.5,4.1
202102,31.0,2.3
202103,40.2,3.8
202104,48.9,2.9
202105,58.1,1.8
202106,69.8,4.7
202107,71.4,0.8
202108,73.7,4.5
202109,66.6,4.5
202110,58.6,6.7
202111,42.8,0.7
202112,38.7,7.2
202201,27.2,-0.2
