South Dakota, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,14.8,-0.4
201002,14.6,-6.3
201003,36.3,5.4
201004,49.3,4.5
201005,54.2,-2.3
201006,65.9,0.0
201007,72.4,-0.6
201008,73.6,2.6
201009,59.1,-1.2
201010,51.6,3.6
201011,32.1,0.7
201012,17.7,-2.4
201101,13.0,-2.2
201102,16.3,-4.6
201103,27.3,-3.6
201104,43.1,-1.7
201105,53.0,-3.5
201106,64.7,-1.2
201107,75.9,2.9
201108,71.6,0.6
201109,59.9,-0.4
201110,51.3,3.3
201111,34.4,3.0
201112,26.8,6.7
201201,25.4,10.2
201202,25.7,4.8
201203,47.0,16.1
201204,50.2,5.4
201205,58.3,1.8
201206,70.4,4.5
201207,78.7,5.7
201208,71.0,0.0
201209,62.6,2.3
201210,45.6,-2.4
201211,34.9,3.5
201212,21.4,1.3
201301,19.4,4.2
201302,23.8,2.9
201303,28.1,-2.8
201304,36.9,-7.9
201305,55.9,-0.6
201306,65.3,-0.6
201307,71.8,-1.2
201308,71.6,0.6
201309,65.8,5.5
201310,44.3,-3.7
201311,32.1,0.7
201312,13.5,-6.6
201401,18.3,3.1
201402,13.9,-7.0
201403,29.4,-1.5
201404,43.4,-1.4
201405,55.6,-0.9
201406,64.2,-1.7
201407,69.5,-3.5
201408,69.3,-1.7
201409,60.5,0.2
201410,50.3,2.3
201411,25.6,-5.8
201412,24.2,4.1
201501,22.7,7.5
201502,19.5,-1.4
201503,39.0,8.1
201504,47.7,2.9
201505,53.8,-2.7
201506,67.6,1.7
201507,72.1,-0.9
201508,69.8,-1.2
201509,65.9,5.6
201510,51.6,3.6
201511,36.4,5.0
201512,24.3,4.2
201601,19.8,4.6
201602,31.2,10.3
201603,40.1,9.2
201604,46.3,1.5
201605,56.7,0.2
201606,70.7,4.8
201607,73.0,0.0
201608,71.0,0.0
201609,62.4,2.1
201610,51.6,3.6
201611,42.0,10.6
201612,15.4,-4.7
201701,16.5,1.3
201702,29.4,8.5
201703,35.5,4.6
201704,46.1,1.3
201705,56.0,-0.5
201706,68.1,2.2
201707,76.0,3.0
201708,67.4,-3.6
201709,61.8,1.5
201710,48.0,0.0
201711,34.7,3.3
201712,21.7,1.6
201801,18.1,2.9
201802,11.6,-9.3
201803,30.4,-0.5
201804,36.7,-8.1
201805,62.1,5.6
201806,69.3,3.4
201807,72.2,-0.8
201808,69.9,-1.1
201809,61.5,1.2
201810,43.2,-4.8
201811,29.3,-2.1
201812,25.3,5.2
201901,18.0,2.8
201902,6.1,-14.8
201903,25.1,-5.8
201904,44.2,-0.6
201905,50.4,-6.1
201906,66.3,0.4
201907,72.1,-0.9
201908,68.2,-2.8
201909,63.1,2.8
201910,40.2,-7.8
201911,31.1,-0.3
201912,23.3,3.2
202001,20.1,4.9
202002,23.5,2.6
202003,36.4,5.5
202004,42.0,-2.8
202005,54.2,-2.3
202006,70.3,4.4
202007,73.5,0.5
202008,72.6,1.6
202009,60.4,0.1
202010,41.2,-6.8
202011,38.6,7.2
202012,28.3,8.2
202101,26.5,11.3
202102,12.8,-8.1
202103,39.4,8.5
202104,43.6,-1.2
202105,55.0,-1.5
202106,72.3,6.4
202107,75.3,2.3
202108,72.5,1.5
202109,65.0,4.7
202110,51.2,3.2
202111,38.3,6.9
202112,24.6,4.5
202201,19.1,3.9
