California, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,45.2,2.7
201002,46.8,1.2
201003,49.0,0.0
201004,50.9,-3.3
201005,56.9,-4.3
201006,69.1,0.6
201007,76.1,1.2
201008,73.4,-0.5
201009,70.4,1.6
201010,60.5,0.6
201011,48.6,-1.1
201012,45.8,2.5
201101,45.2,2.7
201102,43.4,-2.2
201103,48.7,-0.3
201104,53.4,-0.8
201105,57.6,-3.6
201106,66.9,-1.6
201107,74.2,-0.7
201108,75.2,1.3
201109,72.2,3.4
201110,61.4,1.5
201111,48.2,-1.5
201112,42.8,-0.5
201201,46.5,4.0
201202,46.5,0.9
201203,48.8,-0.2
201204,55.8,1.6
201205,63.9,2.7
201206,69.3,0.8
201207,74.7,-0.2
201208,77.8,3.9
201209,73.1,4.3
201210,62.2,2.3
201211,52.5,2.8
201212,43.0,-0.3
201301,42.1,-0.4
201302,45.3,-0.3
201303,53.8,4.8
201304,58.2,4.0
201305,63.8,2.6
201306,72.4,3.9
201307,78.0,3.1
201308,74.4,0.5
201309,69.3,0.5
201310,58.5,-1.4
201311,51.9,2.2
201312,44.1,0.8
201401,50.1,7.6
201402,49.8,4.2
201403,53.5,4.5
201404,57.7,3.5
201405,64.6,3.4
201406,71.9,3.4
201407,78.4,3.5
201408,74.9,1.0
201409,72.2,3.4
201410,64.4,4.5
201411,53.1,3.4
201412,46.8,3.5
201501,48.6,6.1
201502,53.2,7.6
201503,56.9,7.9
201504,56.7,2.5
201505,60.8,-0.4
201506,74.4,5.9
201507,75.0,0.1
201508,76.5,2.6
201509,72.1,3.3
201510,65.0,5.1
201511,47.6,-2.1
201512,42.3,-1.0
201601,44.5,2.0
201602,51.8,6.2
201603,52.5,3.5
201604,57.9,3.7
201605,62.2,1.0
201606,73.5,5.0
201607,76.8,1.9
201608,76.2,2.3
201609,69.5,0.7
201610,60.5,0.6
201611,52.8,3.1
201612,43.4,0.1
201701,42.2,-0.3
201702,47.3,1.7
201703,53.4,4.4
201704,55.6,1.4
201705,63.4,2.2
201706,72.8,4.3
201707,78.8,3.9
201708,77.9,4.0
201709,69.8,1.0
201710,62.0,2.1
201711,53.4,3.7
201712,47.5,4.2
201801,48.9,6.4
201802,46.6,1.0
201803,49.0,0.0
201804,57.2,3.0
201805,63.0,1.8
201806,71.4,2.9
201807,79.6,4.7
201808,76.4,2.5
201809,71.1,2.3
201810,60.9,1.0
201811,52.6,2.9
201812,44.8,1.5
201901,46.1,3.6
201902,40.6,-5.0
201903,48.9,-0.1
201904,58.2,4.0
201905,58.6,-2.6
201906,71.1,2.6
201907,75.5,0.6
201908,76.8,2.9
201909,68.9,0.1
201910,58.8,-1.1
201911,53.0,3.3
201912,44.4,1.1
202001,45.3,2.8
202002,49.2,3.6
202003,48.0,-1.0
202004,56.6,2.4
202005,64.6,3.4
202006,70.4,1.9
202007,76.6,1.7
202008,78.9,5.0
202009,74.0,5.2
202010,66.2,6.3
202011,50.9,1.2
202012,45.5,2.2
202101,45.5,3.0
202102,47.3,1.7
202103,48.2,-0.8
202104,58.2,4.0
202105,64.5,3.3
202106,74.8,6.3
202107,79.8,4.9
202108,77.0,3.1
202109,72.1,3.3
202110,58.2,-1.7
202111,54.5,4.8
202112,43.6,0.3
202201,46.5,4.0
