Texas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,44.4,-0.8
201002,44.0,-5.7
201003,54.8,-1.5
201004,65.0,-0.1
201005,73.8,1.2
201006,82.7,3.1
201007,81.4,-1.0
201008,84.4,2.6
201009,77.7,1.9
201010,67.2,0.9
201011,56.6,2.1
201012,49.2,2.1
201101,45.0,-0.2
201102,48.7,-1.0
201103,61.8,5.5
201104,70.3,5.2
201105,74.1,1.5
201106,85.2,5.6
201107,87.0,4.6
201108,88.2,6.4
201109,77.9,2.1
201110,66.9,0.6
201111,56.9,2.4
201112,46.1,-1.0
201201,50.4,5.2
201202,51.8,2.1
201203,63.2,6.9
201204,70.2,5.1
201205,75.5,2.9
201206,82.4,2.8
201207,83.4,1.0
201208,83.7,1.9
201209,76.6,0.8
201210,65.9,-0.4
201211,59.0,4.5
201212,51.1,4.0
201301,47.9,2.7
201302,51.7,2.0
201303,57.2,0.9
201304,63.0,-2.1
201305,72.5,-0.1
201306,81.8,2.2
201307,81.3,-1.1
201308,83.3,1.5
201309,78.2,2.4
201310,66.7,0.4
201311,52.9,-1.6
201312,44.8,-2.3
201401,44.5,-0.7
201402,48.4,-1.3
201403,54.8,-1.5
201404,65.4,0.3
201405,72.0,-0.6
201406,80.6,1.0
201407,81.7,-0.7
201408,82.6,0.8
201409,76.4,0.6
201410,69.6,3.3
201411,51.5,-3.0
201412,50.7,3.6
201501,44.0,-1.2
201502,48.2,-1.5
201503,56.2,-0.1
201504,66.6,1.5
201505,71.6,-1.0
201506,79.3,-0.3
201507,83.2,0.8
201508,83.3,1.5
201509,79.2,3.4
201510,69.2,2.9
201511,57.3,2.8
201512,51.5,4.4
201601,46.4,1.2
201602,54.4,4.7
201603,61.2,4.9
201604,66.1,1.0
201605,71.6,-1.0
201606,80.1,0.5
201607,85.4,3.0
201608,81.5,-0.3
201609,77.6,1.8
201610,70.9,4.6
201611,61.0,6.5
201612,49.6,2.5
201701,50.8,5.6
201702,58.4,8.7
201703,63.6,7.3
201704,67.1,2.0
201705,72.0,-0.6
201706,80.6,1.0
201707,83.6,1.2
201708,80.6,-1.2
201709,76.5,0.7
201710,66.5,0.2
201711,60.3,5.8
201712,47.8,0.7
201801,43.8,-1.4
201802,52.3,2.6
201803,61.7,5.4
201804,63.0,-2.1
201805,78.0,5.4
201806,83.9,4.3
201807,84.5,2.1
201808,83.0,1.2
201809,76.2,0.4
201810,65.4,-0.9
201811,51.9,-2.6
201812,48.3,1.2
201901,47.2,2.0
201902,51.9,2.2
201903,55.7,-0.6
201904,65.0,-0.1
201905,72.5,-0.1
201906,79.1,-0.5
201907,82.8,0.4
201908,85.9,4.1
201909,81.5,5.7
201910,65.2,-1.1
201911,53.2,-1.3
201912,50.7,3.6
202001,50.7,5.5
202002,49.4,-0.3
202003,63.2,6.9
202004,65.1,0.0
202005,74.6,2.0
202006,80.7,1.1
202007,85.2,2.8
202008,84.4,2.6
202009,74.1,-1.7
202010,65.9,-0.4
202011,60.6,6.1
202012,48.5,1.4
202101,47.2,2.0
202102,44.0,-5.7
202103,59.5,3.2
202104,63.7,-1.4
202105,71.9,-0.7
202106,80.3,0.7
202107,80.9,-1.5
202108,81.9,0.1
202109,78.2,2.4
202110,69.8,3.5
202111,57.4,2.9
202112,59.0,11.9
202201,45.8,0.6
