Utah, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,27.0,1.5
201002,29.9,-0.7
201003,38.0,0.5
201004,44.7,-1.0
201005,50.2,-4.8
201006,65.4,1.2
201007,73.1,1.2
201008,69.3,-0.4
201009,63.8,2.8
201010,51.1,1.8
201011,34.8,-1.1
201012,32.5,5.0
201101,25.4,-0.1
201102,28.6,-2.0
201103,39.4,1.9
201104,43.5,-2.2
201105,50.8,-4.2
201106,63.3,-0.9
201107,71.8,-0.1
201108,72.5,2.8
201109,63.2,2.2
201110,50.0,0.7
201111,36.0,0.1
201112,26.8,-0.7
201201,31.0,5.5
201202,31.7,1.1
201203,42.6,5.1
201204,49.6,3.9
201205,58.0,3.0
201206,68.7,4.5
201207,73.2,1.3
201208,73.0,3.3
201209,63.6,2.6
201210,50.9,1.6
201211,41.2,5.3
201212,27.8,0.3
201301,19.7,-5.8
201302,27.6,-3.0
201303,41.0,3.5
201304,45.0,-0.7
201305,56.0,1.0
201306,69.2,5.0
201307,74.6,2.7
201308,71.0,1.3
201309,61.4,0.4
201310,46.4,-2.9
201311,38.0,2.1
201312,23.1,-4.4
201401,30.4,4.9
201402,35.7,5.1
201403,41.0,3.5
201404,46.7,1.0
201405,56.5,1.5
201406,66.0,1.8
201407,74.6,2.7
201408,67.7,-2.0
201409,64.2,3.2
201410,53.1,3.8
201411,37.7,1.8
201412,31.7,4.2
201501,32.1,6.6
201502,38.9,8.3
201503,44.9,7.4
201504,47.1,1.4
201505,53.8,-1.2
201506,70.0,5.8
201507,70.1,-1.8
201508,71.0,1.3
201509,65.5,4.5
201510,54.3,5.0
201511,34.5,-1.4
201512,26.6,-0.9
201601,26.6,1.1
201602,33.7,3.1
201603,42.2,4.7
201604,47.9,2.2
201605,54.4,-0.6
201606,70.9,6.7
201607,73.7,1.8
201608,70.1,0.4
201609,61.1,0.1
201610,53.2,3.9
201611,41.6,5.7
201612,27.4,-0.1
201701,25.9,0.4
201702,36.5,5.9
201703,45.3,7.8
201704,46.0,0.3
201705,55.6,0.6
201706,69.5,5.3
201707,75.0,3.1
201708,71.6,1.9
201709,60.7,-0.3
201710,48.1,-1.2
201711,43.0,7.1
201712,31.4,3.9
201801,32.8,7.3
201802,32.2,1.6
201803,39.2,1.7
201804,49.0,3.3
201805,58.3,3.3
201806,69.1,4.9
201807,76.1,4.2
201808,72.4,2.7
201809,65.8,4.8
201810,47.5,-1.8
201811,35.0,-0.9
201812,27.4,-0.1
201901,27.0,1.5
201902,27.2,-3.4
201903,38.2,0.7
201904,48.6,2.9
201905,50.5,-4.5
201906,63.6,-0.6
201907,73.3,1.4
201908,72.8,3.1
201909,63.1,2.1
201910,42.9,-6.4
201911,38.5,2.6
201912,28.8,1.3
202001,28.7,3.2
202002,31.1,0.5
202003,40.8,3.3
202004,47.4,1.7
202005,59.0,4.0
202006,65.4,1.2
202007,73.7,1.8
202008,75.8,6.1
202009,63.9,2.9
202010,52.8,3.5
202011,38.8,2.9
202012,27.2,-0.3
202101,28.1,2.6
202102,32.2,1.6
202103,38.4,0.9
202104,47.4,1.7
202105,57.2,2.2
202106,72.0,7.8
202107,76.2,4.3
202108,71.0,1.3
202109,64.5,3.5
202110,47.9,-1.4
202111,42.6,6.7
202112,31.1,3.6
202201,29.4,3.9
