Vermont, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,20.1,4.6
201002,23.5,6.1
201003,35.9,8.5
201004,46.2,6.2
201005,56.0,3.7
201006,61.8,0.4
201007,69.4,3.5
201008,65.4,1.7
201009,59.2,3.1
201010,45.2,0.0
201011,35.0,1.2
201012,20.8,0.2
201101,15.7,0.2
201102,17.6,0.2
201103,27.5,0.1
201104,41.7,1.7
201105,56.2,3.9
201106,62.0,0.6
201107,68.5,2.6
201108,65.8,2.1
201109,60.8,4.7
201110,47.7,2.5
201111,40.2,6.4
201112,27.9,7.3
201201,21.4,5.9
201202,25.6,8.2
201203,38.7,11.3
201204,42.7,2.7
201205,57.5,5.2
201206,62.2,0.8
201207,68.0,2.1
201208,67.1,3.4
201209,57.2,1.1
201210,49.3,4.1
201211,33.1,-0.7
201212,27.4,6.8
201301,18.6,3.1
201302,21.5,4.1
201303,29.5,2.1
201304,40.8,0.8
201305,55.1,2.8
201306,62.0,0.6
201307,69.7,3.8
201308,64.1,0.4
201309,56.5,0.4
201310,47.8,2.6
201311,31.8,-2.0
201312,21.4,0.8
201401,14.6,-0.9
201402,16.6,-0.8
201403,18.6,-8.8
201404,40.5,0.5
201405,53.6,1.3
201406,62.6,1.2
201407,66.5,0.6
201408,63.3,-0.4
201409,57.5,1.4
201410,49.3,4.1
201411,33.3,-0.5
201412,27.0,6.4
201501,12.2,-3.3
201502,5.3,-12.1
201503,22.3,-5.1
201504,39.5,-0.5
201505,58.6,6.3
201506,59.9,-1.5
201507,66.2,0.3
201508,66.6,2.9
201509,62.4,6.3
201510,44.3,-0.9
201511,39.2,5.4
201512,35.1,14.5
201601,20.9,5.4
201602,23.9,6.5
201603,33.6,6.2
201604,38.2,-1.8
201605,54.0,1.7
201606,62.0,0.6
201607,67.4,1.5
201608,67.5,3.8
201609,59.9,3.8
201610,47.7,2.5
201611,36.8,3.0
201612,23.9,3.3
201701,24.8,9.3
201702,25.6,8.2
201703,23.5,-3.9
201704,45.2,5.2
201705,51.8,-0.5
201706,61.5,0.1
201707,65.2,-0.7
201708,63.3,-0.4
201709,60.8,4.7
201710,53.0,7.8
201711,33.0,-0.8
201712,17.9,-2.7
201801,16.5,1.0
201802,25.5,8.1
201803,28.2,0.8
201804,36.1,-3.9
201805,56.5,4.2
201806,60.1,-1.3
201807,69.2,3.3
201808,68.4,4.7
201809,60.6,4.5
201810,44.5,-0.7
201811,30.0,-3.8
201812,23.0,2.4
201901,14.9,-0.6
201902,19.0,1.6
201903,25.9,-1.5
201904,41.2,1.2
201905,50.8,-1.5
201906,60.5,-0.9
201907,68.9,3.0
201908,64.6,0.9
201909,56.8,0.7
201910,47.3,2.1
201911,29.3,-4.5
201912,23.3,2.7
202001,23.4,7.9
202002,22.4,5.0
202003,33.0,5.6
202004,38.8,-1.2
202005,52.6,0.3
202006,62.8,1.4
202007,70.9,5.0
202008,65.2,1.5
202009,57.2,1.1
202010,46.4,1.2
202011,37.9,4.1
202012,27.3,6.7
202101,20.4,4.9
202102,18.7,1.3
202103,30.9,3.5
202104,43.1,3.1
202105,53.4,1.1
202106,65.7,4.3
202107,64.8,-1.1
202108,68.8,5.1
202109,59.5,3.4
202110,51.7,6.5
202111,34.4,0.6
202112,28.2,7.6
202201,11.9,-3.6
