Virginia, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,32.7,-2.1
201002,31.9,-5.3
201003,47.4,2.8
201004,58.6,4.4
201005,66.2,3.0
201006,76.0,5.0
201007,77.9,3.1
201008,76.0,2.7
201009,70.0,2.8
201010,58.0,1.9
201011,46.3,0.5
201012,30.1,-7.0
201101,32.1,-2.7
201102,40.9,3.7
201103,46.0,1.4
201104,58.2,4.0
201105,64.8,1.6
201106,73.4,2.4
201107,77.8,3.0
201108,74.9,1.6
201109,68.2,1.0
201110,55.5,-0.6
201111,49.4,3.6
201112,42.6,5.5
201201,38.9,4.1
201202,41.8,4.6
201203,55.2,10.6
201204,55.6,1.4
201205,67.3,4.1
201206,70.2,-0.8
201207,78.7,3.9
201208,74.0,0.7
201209,66.9,-0.3
201210,56.4,0.3
201211,42.7,-3.1
201212,42.9,5.8
201301,38.5,3.7
201302,36.8,-0.4
201303,40.1,-4.5
201304,56.0,1.8
201305,62.5,-0.7
201306,72.2,1.2
201307,75.6,0.8
201308,71.8,-1.5
201309,66.3,-0.9
201310,57.6,1.5
201311,43.7,-2.1
201312,40.3,3.2
201401,29.4,-5.4
201402,37.0,-0.2
201403,40.7,-3.9
201404,55.0,0.8
201405,65.2,2.0
201406,72.5,1.5
201407,73.4,-1.4
201408,71.3,-2.0
201409,68.1,0.9
201410,57.8,1.7
201411,42.1,-3.7
201412,40.8,3.7
201501,33.8,-1.0
201502,28.9,-8.3
201503,44.2,-0.4
201504,55.9,1.7
201505,67.1,3.9
201506,73.7,2.7
201507,75.3,0.5
201508,73.2,-0.1
201509,69.3,2.1
201510,56.3,0.2
201511,51.1,5.3
201512,49.6,12.5
201601,33.1,-1.7
201602,38.4,1.2
201603,51.8,7.2
201604,55.1,0.9
201605,61.9,-1.3
201606,71.8,0.8
201607,77.3,2.5
201608,77.0,3.7
201609,71.8,4.6
201610,59.8,3.7
201611,48.3,2.5
201612,39.1,2.0
201701,40.1,5.3
201702,46.0,8.8
201703,45.9,1.3
201704,60.6,6.4
201705,63.4,0.2
201706,71.2,0.2
201707,76.8,2.0
201708,72.8,-0.5
201709,67.4,0.2
201710,60.2,4.1
201711,46.1,0.3
201712,37.2,0.1
201801,31.8,-3.0
201802,45.2,8.0
201803,41.2,-3.4
201804,52.2,-2.0
201805,69.7,6.5
201806,73.1,2.1
201807,75.1,0.3
201808,75.2,1.9
201809,72.8,5.6
201810,59.0,2.9
201811,43.8,-2.0
201812,39.7,2.6
201901,36.3,1.5
201902,41.8,4.6
201903,43.9,-0.7
201904,58.1,3.9
201905,68.9,5.7
201906,71.2,0.2
201907,77.1,2.3
201908,74.7,1.4
201909,72.5,5.3
201910,60.6,4.5
201911,43.1,-2.7
201912,41.5,4.4
202001,40.6,5.8
202002,42.4,5.2
202003,51.7,7.1
202004,53.3,-0.9
202005,60.5,-2.7
202006,71.3,0.3
202007,78.7,3.9
202008,75.5,2.2
202009,66.4,-0.8
202010,59.0,2.9
202011,51.3,5.5
202012,38.4,1.3
202101,36.6,1.8
202102,36.6,-0.6
202103,48.5,3.9
202104,55.2,1.0
202105,62.3,-0.9
202106,72.0,1.0
202107,75.9,1.1
202108,76.4,3.1
202109,68.5,1.3
202110,62.3,6.2
202111,44.5,-1.3
202112,45.8,8.7
202201,32.9,-1.9
