Washington, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,36.3,7.6
201002,38.5,5.0
201003,40.9,2.2
201004,44.6,-0.6
201005,48.7,-3.3
201006,55.9,-2.0
201007,64.2,0.0
201008,63.5,-0.1
201009,57.1,-0.2
201010,48.6,1.4
201011,34.8,-1.7
201012,31.9,1.0
201101,32.1,3.4
201102,31.1,-2.4
201103,38.4,-0.3
201104,40.2,-5.0
201105,48.6,-3.4
201106,55.5,-2.4
201107,61.0,-3.2
201108,64.9,1.3
201109,61.0,3.7
201110,47.2,0.0
201111,35.3,-1.2
201112,31.0,0.1
201201,30.7,2.0
201202,34.5,1.0
201203,37.6,-1.1
201204,46.0,0.8
201205,50.9,-1.1
201206,55.0,-2.9
201207,65.2,1.0
201208,66.2,2.6
201209,59.7,2.4
201210,47.4,0.2
201211,39.0,2.5
201212,32.5,1.6
201301,29.1,0.4
201302,35.5,2.0
201303,40.2,1.5
201304,44.7,-0.5
201305,53.5,1.5
201306,58.7,0.8
201307,67.2,3.0
201308,66.2,2.6
201309,59.7,2.4
201310,46.1,-1.1
201311,36.7,0.2
201312,28.2,-2.7
201401,34.1,5.4
201402,29.8,-3.7
201403,40.1,1.4
201404,45.8,0.6
201405,54.3,2.3
201406,58.3,0.4
201407,68.6,4.4
201408,67.3,3.7
201409,59.8,2.5
201410,51.9,4.7
201411,36.3,-0.2
201412,34.2,3.3
201501,35.1,6.4
201502,40.7,7.2
201503,44.8,6.1
201504,45.7,0.5
201505,56.0,4.0
201506,65.5,7.6
201507,68.6,4.4
201508,66.6,3.0
201509,56.2,-1.1
201510,52.4,5.2
201511,36.0,-0.5
201512,32.1,1.2
201601,33.0,4.3
201602,39.1,5.6
201603,41.8,3.1
201604,51.6,6.4
201605,55.1,3.1
201606,59.9,2.0
201607,63.6,-0.6
201608,65.9,2.3
201609,56.4,-0.9
201610,47.4,0.2
201611,43.0,6.5
201612,26.1,-4.8
201701,24.8,-3.9
201702,31.0,-2.5
201703,39.3,0.6
201704,44.2,-1.0
201705,53.7,1.7
201706,59.5,1.6
201707,67.1,2.9
201708,68.6,5.0
201709,59.8,2.5
201710,46.2,-1.0
201711,37.7,1.2
201712,29.9,-1.0
201801,35.4,6.7
201802,32.4,-1.1
201803,38.8,0.1
201804,45.3,0.1
201805,57.6,5.6
201806,58.2,0.3
201807,67.5,3.3
201808,66.0,2.4
201809,56.3,-1.0
201810,47.4,0.2
201811,38.6,2.1
201812,33.1,2.2
201901,34.2,5.5
201902,25.3,-8.2
201903,36.2,-2.5
201904,46.3,1.1
201905,55.6,3.6
201906,59.5,1.6
201907,63.8,-0.4
201908,66.4,2.8
201909,57.1,-0.2
201910,42.8,-4.4
201911,37.6,1.1
201912,33.5,2.6
202001,34.2,5.5
202002,35.6,2.1
202003,38.3,-0.4
202004,46.0,0.8
202005,53.3,1.3
202006,57.9,0.0
202007,64.8,0.6
202008,65.7,2.1
202009,61.2,3.9
202010,48.4,1.2
202011,37.6,1.1
202012,33.7,2.8
202101,34.6,5.9
202102,31.3,-2.2
202103,39.7,1.0
202104,46.8,1.6
202105,52.6,0.6
202106,64.6,6.7
202107,69.7,5.5
202108,65.9,2.3
202109,58.0,0.7
202110,46.6,-0.6
202111,39.9,3.4
202112,29.4,-1.5
202201,31.1,2.4
