West Virginia, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,27.7,-2.7
201002,27.2,-5.9
201003,43.4,2.6
201004,55.6,4.6
201005,63.4,3.0
201006,71.9,3.7
201007,73.8,1.9
201008,73.3,2.9
201009,65.6,1.2
201010,54.2,1.0
201011,43.2,0.9
201012,25.3,-7.9
201101,27.1,-3.3
201102,36.8,3.7
201103,42.6,1.8
201104,55.0,4.0
201105,62.0,1.6
201106,69.5,1.3
201107,74.9,3.0
201108,71.6,1.2
201109,65.1,0.7
201110,52.2,-1.0
201111,46.7,4.4
201112,38.5,5.3
201201,34.9,4.5
201202,37.7,4.6
201203,52.6,11.8
201204,51.7,0.7
201205,65.8,5.4
201206,67.5,-0.7
201207,75.3,3.4
201208,70.8,0.4
201209,63.9,-0.5
201210,52.9,-0.3
201211,39.5,-2.8
201212,39.2,6.0
201301,33.9,3.5
201302,32.3,-0.8
201303,36.4,-4.4
201304,52.9,1.9
201305,60.5,0.1
201306,69.2,1.0
201307,72.4,0.5
201308,69.2,-1.2
201309,63.9,-0.5
201310,54.7,1.5
201311,39.9,-2.4
201312,36.0,2.8
201401,23.5,-6.9
201402,30.9,-2.2
201403,37.1,-3.7
201404,53.1,2.1
201405,61.7,1.3
201406,70.0,1.8
201407,69.6,-2.3
201408,69.1,-1.3
201409,64.8,0.4
201410,53.9,0.7
201411,37.8,-4.5
201412,37.9,4.7
201501,28.8,-1.6
201502,22.9,-10.2
201503,40.0,-0.8
201504,53.1,2.1
201505,64.7,4.3
201506,70.5,2.3
201507,72.1,0.2
201508,69.9,-0.5
201509,67.1,2.7
201510,54.0,0.8
201511,48.3,6.0
201512,46.3,13.1
201601,27.6,-2.8
201602,34.9,1.8
201603,48.5,7.7
201604,53.0,2.0
201605,59.5,-0.9
201606,69.5,1.3
201607,73.7,1.8
201608,75.1,4.7
201609,69.4,5.0
201610,57.3,4.1
201611,45.6,3.3
201612,35.6,2.4
201701,37.5,7.1
201702,42.1,9.0
201703,42.3,1.5
201704,57.5,6.5
201705,61.0,0.6
201706,67.7,-0.5
201707,72.4,0.5
201708,69.3,-1.1
201709,64.6,0.2
201710,57.5,4.3
201711,43.2,0.9
201712,33.0,-0.2
201801,27.0,-3.4
201802,41.7,8.6
201803,38.0,-2.8
201804,47.7,-3.3
201805,67.9,7.5
201806,70.0,1.8
201807,72.5,0.6
201808,72.4,2.0
201809,70.4,6.0
201810,55.3,2.1
201811,40.0,-2.3
201812,36.7,3.5
201901,32.0,1.6
201902,38.5,5.4
201903,40.1,-0.7
201904,54.9,3.9
201905,65.5,5.1
201906,67.6,-0.6
201907,74.3,2.4
201908,71.5,1.1
201909,70.0,5.6
201910,57.7,4.5
201911,39.3,-3.0
201912,38.5,5.3
202001,37.3,6.9
202002,38.0,4.9
202003,47.8,7.0
202004,48.9,-2.1
202005,57.8,-2.6
202006,68.1,-0.1
202007,75.6,3.7
202008,72.5,2.1
202009,64.2,-0.2
202010,55.4,2.2
202011,47.5,5.2
202012,34.3,1.1
202101,32.6,2.2
202102,31.5,-1.6
202103,45.7,4.9
202104,51.2,0.2
202105,58.6,-1.8
202106,69.1,0.9
202107,72.1,0.2
202108,73.9,3.5
202109,65.6,1.2
202110,59.4,6.2
202111,40.9,-1.4
202112,42.5,9.3
202201,27.3,-3.1
