Wisconsin, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,15.1,2.4
201002,20.0,2.7
201003,37.4,9.1
201004,50.0,7.3
201005,57.6,2.7
201006,65.1,0.9
201007,71.4,2.4
201008,70.8,4.1
201009,56.9,-1.1
201010,49.5,2.7
201011,34.9,3.4
201012,16.9,-1.4
201101,12.2,-0.5
201102,18.5,1.2
201103,28.0,-0.3
201104,41.7,-1.0
201105,54.0,-0.9
201106,64.3,0.1
201107,73.2,4.2
201108,68.2,1.5
201109,57.3,-0.7
201110,49.8,3.0
201111,36.7,5.2
201112,25.7,7.4
201201,20.8,8.1
201202,26.6,9.3
201203,45.6,17.3
201204,45.1,2.4
201205,59.6,4.7
201206,67.1,2.9
201207,74.8,5.8
201208,67.1,0.4
201209,57.7,-0.3
201210,44.8,-2.0
201211,34.4,2.9
201212,25.1,6.8
201301,16.8,4.1
201302,17.0,-0.3
201303,23.9,-4.4
201304,37.8,-4.9
201305,55.2,0.3
201306,63.9,-0.3
201307,68.9,-0.1
201308,67.6,0.9
201309,60.8,2.8
201310,46.7,-0.1
201311,30.8,-0.7
201312,11.9,-6.4
201401,6.0,-6.7
201402,7.3,-10.0
201403,21.4,-6.9
201404,39.7,-3.0
201405,55.3,0.4
201406,66.4,2.2
201407,65.9,-3.1
201408,67.1,0.4
201409,58.2,0.2
201410,46.0,-0.8
201411,25.3,-6.2
201412,24.1,5.8
201501,15.3,2.6
201502,7.6,-9.7
201503,30.7,2.4
201504,45.0,2.3
201505,56.6,1.7
201506,63.8,-0.4
201507,68.4,-0.6
201508,66.1,-0.6
201509,64.7,6.7
201510,48.4,1.6
201511,39.4,7.9
201512,31.8,13.5
201601,16.2,3.5
201602,22.6,5.3
201603,36.8,8.5
201604,42.9,0.2
201605,56.1,1.2
201606,65.8,1.6
201607,69.9,0.9
201608,69.5,2.8
201609,62.6,4.6
201610,50.4,3.6
201611,41.6,10.1
201612,19.9,1.6
201701,19.4,6.7
201702,27.8,10.5
201703,30.2,1.9
201704,46.4,3.7
201705,53.3,-1.6
201706,65.6,1.4
201707,68.8,-0.2
201708,64.2,-2.5
201709,62.2,4.2
201710,50.0,3.2
201711,31.4,-0.1
201712,17.3,-1.0
201801,15.2,2.5
201802,16.1,-1.2
201803,29.7,1.4
201804,33.5,-9.2
201805,62.0,7.1
201806,66.5,2.3
201807,69.8,0.8
201808,68.5,1.8
201809,61.2,3.2
201810,43.6,-3.2
201811,27.3,-4.2
201812,25.1,6.8
201901,13.1,0.4
201902,13.5,-3.8
201903,25.7,-2.6
201904,42.4,-0.3
201905,51.8,-3.1
201906,63.6,-0.6
201907,71.3,2.3
201908,65.6,-1.1
201909,62.0,4.0
201910,45.0,-1.8
201911,28.2,-3.3
201912,23.5,5.2
202001,21.5,8.8
202002,19.2,1.9
202003,34.3,6.0
202004,40.7,-2.0
202005,54.1,-0.8
202006,66.5,2.3
202007,71.9,2.9
202008,68.3,1.6
202009,57.3,-0.7
202010,41.3,-5.5
202011,38.6,7.1
202012,24.2,5.9
202101,20.2,7.5
202102,10.7,-6.6
202103,36.9,8.6
202104,44.9,2.2
202105,54.8,-0.1
202106,69.3,5.1
202107,69.4,0.4
202108,69.2,2.5
202109,61.1,3.1
202110,53.5,6.7
202111,33.9,2.4
202112,24.9,6.6
202201,9.1,-3.6
