Wyoming, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,22.2,3.7
201002,21.5,-1.4
201003,34.2,4.8
201004,39.2,0.1
201005,44.0,-4.8
201006,57.4,-0.4
201007,65.1,-0.5
201008,64.1,0.4
201009,56.3,2.5
201010,47.1,4.3
201011,28.5,-0.4
201012,23.8,2.6
201101,20.3,1.8
201102,18.0,-4.9
201103,32.0,2.6
201104,37.1,-2.0
201105,44.2,-4.6
201106,56.4,-1.4
201107,67.3,1.7
201108,66.4,2.7
201109,56.4,2.6
201110,44.8,2.0
201111,28.8,-0.1
201112,21.0,-0.2
201201,25.1,6.6
201202,22.7,-0.2
201203,39.4,10.0
201204,44.7,5.6
201205,50.0,1.2
201206,62.8,5.0
201207,70.0,4.4
201208,66.6,2.9
201209,57.5,3.7
201210,41.6,-1.2
201211,35.0,6.1
201212,22.1,0.9
201301,19.9,1.4
201302,22.6,-0.3
201303,31.3,1.9
201304,34.7,-4.4
201305,50.4,1.6
201306,60.7,2.9
201307,67.8,2.2
201308,66.7,3.0
201309,57.3,3.5
201310,39.3,-3.5
201311,31.3,2.4
201312,18.1,-3.1
201401,23.3,4.8
201402,20.0,-2.9
201403,32.3,2.9
201404,39.6,0.5
201405,50.1,1.3
201406,56.4,-1.4
201407,66.4,0.8
201408,62.5,-1.2
201409,55.8,2.0
201410,46.9,4.1
201411,27.4,-1.5
201412,24.8,3.6
201501,25.6,7.1
201502,28.4,5.5
201503,37.7,8.3
201504,41.3,2.2
201505,47.0,-1.8
201506,63.0,5.2
201507,63.9,-1.7
201508,64.3,0.6
201509,59.4,5.6
201510,48.7,5.9
201511,29.2,0.3
201512,21.4,0.2
201601,22.7,4.2
201602,30.1,7.2
201603,34.5,5.1
201604,41.8,2.7
201605,47.9,-0.9
201606,63.8,6.0
201607,66.8,1.2
201608,63.5,-0.2
201609,55.4,1.6
201610,46.5,3.7
201611,37.1,8.2
201612,16.8,-4.4
201701,16.7,-1.8
201702,27.8,4.9
201703,38.4,9.0
201704,40.1,1.0
201705,49.2,0.4
201706,60.0,2.2
201707,68.9,3.3
201708,63.5,-0.2
201709,54.2,0.4
201710,41.1,-1.7
201711,34.7,5.8
201712,23.8,2.6
201801,25.1,6.6
201802,19.3,-3.6
201803,32.3,2.9
201804,39.7,0.6
201805,52.9,4.1
201806,60.4,2.6
201807,67.3,1.7
201808,63.6,-0.1
201809,57.2,3.4
201810,41.0,-1.8
201811,28.6,-0.3
201812,21.5,0.3
201901,22.0,3.5
201902,16.8,-6.1
201903,27.0,-2.4
201904,41.1,2.0
201905,44.4,-4.4
201906,57.0,-0.8
201907,66.0,0.4
201908,64.9,1.2
201909,56.7,2.9
201910,34.2,-8.6
201911,30.2,1.3
201912,23.0,1.8
202001,23.8,5.3
202002,20.2,-2.7
202003,33.1,3.7
202004,37.6,-1.5
202005,50.3,1.5
202006,59.7,1.9
202007,66.6,1.0
202008,67.7,4.0
202009,55.5,1.7
202010,41.2,-1.6
202011,33.1,4.2
202012,24.5,3.3
202101,23.4,4.9
202102,17.4,-5.5
202103,32.1,2.7
202104,37.9,-1.2
202105,48.8,0.0
202106,64.8,7.0
202107,70.1,4.5
202108,64.2,0.5
202109,58.1,4.3
202110,43.9,1.1
202111,36.6,7.7
202112,26.2,5.0
202201,22.9,4.4
