Colorado, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,26.1,2.3
201002,24.6,-3.2
201003,35.2,1.4
201004,43.6,0.9
201005,50.1,-2.1
201006,64.0,2.5
201007,68.6,1.2
201008,66.5,1.1
201009,61.2,3.7
201010,49.2,2.4
201011,33.6,0.2
201012,31.1,5.4
201101,24.0,0.2
201102,24.2,-3.6
201103,37.7,3.9
201104,43.0,0.3
201105,49.3,-2.9
201106,62.9,1.4
201107,70.0,2.6
201108,69.2,3.8
201109,58.5,1.0
201110,47.1,0.3
201111,34.9,1.5
201112,24.4,-1.3
201201,29.4,5.6
201202,27.4,-0.4
201203,41.9,8.1
201204,48.2,5.5
201205,55.4,3.2
201206,67.9,6.4
201207,70.6,3.2
201208,67.7,2.3
201209,59.5,2.0
201210,46.5,-0.3
201211,39.4,6.0
201212,25.9,0.2
201301,22.9,-0.9
201302,25.7,-2.1
201303,35.0,1.2
201304,39.8,-2.9
201305,52.8,0.6
201306,65.6,4.1
201307,68.5,1.1
201308,67.0,1.6
201309,60.7,3.2
201310,44.2,-2.6
201311,35.2,1.8
201312,23.7,-2.0
201401,26.4,2.6
201402,27.6,-0.2
201403,36.3,2.5
201404,43.3,0.6
201405,52.4,0.2
201406,62.5,1.0
201407,68.4,1.0
201408,64.6,-0.8
201409,60.0,2.5
201410,49.9,3.1
201411,33.4,0.0
201412,27.9,2.2
201501,29.2,5.4
201502,32.1,4.3
201503,40.6,6.8
201504,44.8,2.1
201505,49.8,-2.4
201506,64.9,3.4
201507,66.6,-0.8
201508,66.9,1.5
201509,62.6,5.1
201510,51.4,4.6
201511,34.6,1.2
201512,25.8,0.1
201601,25.6,1.8
201602,32.4,4.6
201603,37.9,4.1
201604,43.7,1.0
201605,50.8,-1.4
201606,66.4,4.9
201607,69.2,1.8
201608,64.5,-0.9
201609,59.7,2.2
201610,51.8,5.0
201611,40.2,6.8
201612,25.2,-0.5
201701,25.3,1.5
201702,35.4,7.6
201703,42.5,8.7
201704,44.3,1.6
201705,51.5,-0.7
201706,64.8,3.3
201707,69.4,2.0
201708,64.7,-0.7
201709,59.1,1.6
201710,46.7,-0.1
201711,41.3,7.9
201712,30.1,4.4
201801,29.7,5.9
201802,28.6,0.8
201803,37.8,4.0
201804,44.0,1.3
201805,57.2,5.0
201806,66.5,5.0
201807,70.0,2.6
201808,66.2,0.8
201809,61.9,4.4
201810,45.0,-1.8
201811,32.5,-0.9
201812,26.6,0.9
201901,26.0,2.2
201902,24.9,-2.9
201903,33.8,0.0
201904,45.5,2.8
201905,47.9,-4.3
201906,60.6,-0.9
201907,69.1,1.7
201908,68.3,2.9
201909,62.9,5.4
201910,40.9,-5.9
201911,35.2,1.8
201912,28.1,2.4
202001,27.4,3.6
202002,26.4,-1.4
202003,38.8,5.0
202004,43.4,0.7
202005,55.6,3.4
202006,65.0,3.5
202007,69.3,1.9
202008,70.1,4.7
202009,58.8,1.3
202010,47.1,0.3
202011,38.5,5.1
202012,26.7,1.0
202101,26.7,2.9
202102,24.7,-3.1
202103,35.8,2.0
202104,43.1,0.4
202105,52.9,0.7
202106,65.7,4.2
202107,69.9,2.5
202108,67.4,2.0
202109,62.4,4.9
202110,47.8,1.0
202111,40.7,7.3
202112,32.4,6.7
202201,26.7,2.9
