Alaska, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,1.5,-0.7
201002,10.8,6.0
201003,9.8,-1.0
201004,26.9,3.6
201005,41.3,3.5
201006,49.5,0.3
201007,52.1,-0.6
201008,51.5,2.0
201009,42.8,2.2
201010,27.6,2.1
201011,17.7,6.0
201012,-2.4,-6.1
201101,7.0,4.8
201102,6.0,1.2
201103,11.9,1.1
201104,23.2,-0.1
201105,40.5,2.7
201106,49.8,0.6
201107,52.1,-0.6
201108,49.0,-0.5
201109,42.4,1.8
201110,28.5,3.0
201111,3.6,-8.1
201112,9.4,5.7
201201,-12.8,-15.0
201202,12.1,7.3
201203,4.3,-6.5
201204,27.3,4.0
201205,37.2,-0.6
201206,50.4,1.2
201207,52.0,-0.7
201208,49.9,0.4
201209,40.6,0.0
201210,25.5,0.0
201211,6.0,-5.7
201212,-0.8,-4.5
201301,9.8,7.6
201302,6.3,1.5
201303,11.0,0.2
201304,16.7,-6.6
201305,35.2,-2.6
201306,53.9,4.7
201307,55.0,2.3
201308,51.4,1.9
201309,39.6,-1.0
201310,34.0,8.5
201311,13.7,2.0
201312,7.0,3.3
201401,18.4,16.2
201402,6.7,1.9
201403,14.1,3.3
201404,27.4,4.1
201405,41.9,4.1
201406,48.1,-1.1
201407,52.7,0.0
201408,52.0,2.5
201409,42.3,1.7
201410,25.8,0.3
201411,19.6,7.9
201412,15.0,11.3
201501,7.1,4.9
201502,12.6,7.8
201503,15.9,5.1
201504,28.2,4.9
201505,44.8,7.0
201506,52.3,3.1
201507,54.2,1.5
201508,49.3,-0.2
201509,38.9,-1.7
201510,31.6,6.1
201511,17.2,5.5
201512,8.3,4.6
201601,17.2,15.0
201602,17.3,12.5
201603,18.7,7.9
201604,33.3,10.0
201605,44.0,6.2
201606,51.8,2.6
201607,55.6,2.9
201608,53.2,3.7
201609,42.3,1.7
201610,29.7,4.2
201611,13.3,1.6
201612,6.2,2.5
201701,4.5,2.3
201702,6.6,1.8
201703,4.9,-5.9
201704,29.6,6.3
201705,40.8,3.0
201706,51.4,2.2
201707,56.2,3.5
201708,50.2,0.7
201709,42.6,2.0
201710,30.2,4.7
201711,15.8,4.1
201712,19.1,15.4
201801,6.7,4.5
201802,12.6,7.8
201803,18.0,7.2
201804,26.8,3.5
201805,39.4,1.6
201806,50.0,0.8
201807,55.6,2.9
201808,49.6,0.1
201809,44.3,3.7
201810,33.8,8.3
201811,19.1,7.4
201812,9.1,5.4
201901,7.5,5.3
201902,15.5,10.7
201903,26.5,15.7
201904,28.5,5.2
201905,43.0,5.2
201906,54.0,4.8
201907,58.1,5.4
201908,51.5,2.0
201909,44.4,3.8
201910,30.8,5.3
201911,19.8,8.1
201912,6.7,3.0
202001,-6.4,-8.6
202002,1.5,-3.3
202003,12.0,1.2
202004,27.5,4.2
202005,43.3,5.5
202006,50.5,1.3
202007,53.2,0.5
202008,52.1,2.6
202009,42.0,1.4
202010,28.9,3.4
202011,14.5,2.8
202012,10.6,6.9
202101,10.6,8.4
202102,1.0,-3.8
202103,9.2,-1.6
202104,23.9,0.6
202105,40.4,2.6
202106,51.0,1.8
202107,53.9,1.2
202108,49.4,-0.1
202109,39.3,-1.3
202110,27.9,2.4
202111,4.6,-7.1
202112,6.7,3.0
202201,3.5,1.3
