Connecticut, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,27.0,1.4
201002,29.8,2.5
201003,43.0,7.3
201004,52.0,5.8
201005,60.9,3.9
201006,68.9,3.1
201007,75.1,4.3
201008,71.0,2.0
201009,65.6,4.0
201010,52.8,1.8
201011,41.9,1.1
201012,28.2,-1.5
201101,23.2,-2.4
201102,27.1,-0.2
201103,37.0,1.3
201104,48.9,2.7
201105,59.7,2.7
201106,66.9,1.1
201107,74.1,3.3
201108,70.8,1.8
201109,66.4,4.8
201110,53.4,2.4
201111,45.9,5.1
201112,36.9,7.2
201201,31.7,6.1
201202,35.0,7.7
201203,45.8,10.1
201204,49.7,3.5
201205,61.6,4.6
201206,66.4,0.6
201207,74.1,3.3
201208,72.0,3.0
201209,63.3,1.7
201210,54.7,3.7
201211,39.4,-1.4
201212,35.9,6.2
201301,28.8,3.2
201302,29.2,1.9
201303,36.0,0.3
201304,47.3,1.1
201305,58.2,1.2
201306,67.7,1.9
201307,75.9,5.1
201308,68.7,-0.3
201309,61.4,-0.2
201310,53.4,2.4
201311,39.8,-1.0
201312,31.0,1.3
201401,23.6,-2.0
201402,25.0,-2.3
201403,30.6,-5.1
201404,46.7,0.5
201405,58.3,1.3
201406,66.8,1.0
201407,71.9,1.1
201408,68.4,-0.6
201409,63.6,2.0
201410,54.1,3.1
201411,39.7,-1.1
201412,35.4,5.7
201501,23.3,-2.3
201502,15.8,-11.5
201503,31.0,-4.7
201504,47.0,0.8
201505,62.7,5.7
201506,65.3,-0.5
201507,72.2,1.4
201508,72.0,3.0
201509,67.8,6.2
201510,51.4,0.4
201511,46.1,5.3
201512,43.5,13.8
201601,29.7,4.1
201602,32.0,4.7
201603,43.2,7.5
201604,46.8,0.6
201605,58.4,1.4
201606,67.4,1.6
201607,74.1,3.3
201608,73.9,4.9
201609,66.2,4.6
201610,53.5,2.5
201611,43.5,2.7
201612,32.6,2.9
201701,32.7,7.1
201702,34.6,7.3
201703,33.4,-2.3
201704,51.8,5.6
201705,56.7,-0.3
201706,67.0,1.2
201707,71.5,0.7
201708,69.1,0.1
201709,66.0,4.4
201710,58.6,7.6
201711,41.0,0.2
201712,28.7,-1.0
201801,25.4,-0.2
201802,35.7,8.4
201803,36.4,0.7
201804,43.4,-2.8
201805,62.2,5.2
201806,66.4,0.6
201807,74.0,3.2
201808,74.3,5.3
201809,66.1,4.5
201810,52.3,1.3
201811,39.1,-1.7
201812,33.8,4.1
201901,27.0,1.4
201902,30.2,2.9
201903,35.0,-0.7
201904,49.1,2.9
201905,57.1,0.1
201906,66.5,0.7
201907,74.9,4.1
201908,70.6,1.6
201909,63.2,1.6
201910,53.6,2.6
201911,38.1,-2.7
201912,31.7,2.0
202001,33.0,7.4
202002,33.9,6.6
202003,41.4,5.7
202004,44.4,-1.8
202005,56.4,-0.6
202006,68.4,2.6
202007,75.6,4.8
202008,72.6,3.6
202009,63.5,1.9
202010,53.2,2.2
202011,45.4,4.6
202012,33.6,3.9
202101,29.2,3.6
202102,28.5,1.2
202103,39.3,3.6
202104,48.7,2.5
202105,57.8,0.8
202106,69.2,3.4
202107,71.1,0.3
202108,72.8,3.8
202109,65.2,3.6
202110,56.8,5.8
202111,41.0,0.2
202112,37.0,7.3
202201,24.2,-1.4
