Delaware, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,33.4,0.0
201002,31.4,-3.6
201003,48.1,5.4
201004,57.5,5.3
201005,66.2,3.9
201006,77.4,6.4
201007,79.9,4.2
201008,77.0,3.0
201009,71.4,3.8
201010,58.6,2.2
201011,47.5,1.4
201012,31.7,-4.9
201101,30.3,-3.1
201102,38.8,3.8
201103,43.9,1.2
201104,57.2,5.0
201105,66.4,4.1
201106,74.3,3.3
201107,80.6,4.9
201108,75.5,1.5
201109,70.7,3.1
201110,57.2,0.8
201111,50.8,4.7
201112,43.4,6.8
201201,39.3,5.9
201202,41.1,6.1
201203,52.4,9.7
201204,55.0,2.8
201205,67.8,5.5
201206,72.9,1.9
201207,80.9,5.2
201208,76.8,2.8
201209,68.4,0.8
201210,59.4,3.0
201211,43.5,-2.6
201212,44.2,7.6
201301,37.4,4.0
201302,35.9,0.9
201303,40.5,-2.2
201304,54.6,2.4
201305,63.7,1.4
201306,73.5,2.5
201307,79.2,3.5
201308,73.4,-0.6
201309,66.7,-0.9
201310,59.5,3.1
201311,45.1,-1.0
201312,40.4,3.8
201401,30.0,-3.4
201402,33.9,-1.1
201403,39.6,-3.1
201404,52.9,0.7
201405,64.9,2.6
201406,72.8,1.8
201407,75.8,0.1
201408,72.6,-1.4
201409,69.1,1.5
201410,59.4,3.0
201411,44.6,-1.5
201412,41.0,4.4
201501,32.1,-1.3
201502,26.3,-8.7
201503,40.0,-2.7
201504,54.2,2.0
201505,67.9,5.6
201506,73.6,2.6
201507,76.9,1.2
201508,75.1,1.1
201509,72.0,4.4
201510,56.5,0.1
201511,51.6,5.5
201512,50.8,14.2
201601,34.3,0.9
201602,38.5,3.5
201603,49.7,7.0
201604,53.1,0.9
201605,61.7,-0.6
201606,72.4,1.4
201607,79.6,3.9
201608,78.6,4.6
201609,72.0,4.4
201610,60.3,3.9
201611,49.0,2.9
201612,39.2,2.6
201701,39.1,5.7
201702,44.4,9.4
201703,43.8,1.1
201704,59.6,7.4
201705,62.8,0.5
201706,73.6,2.6
201707,78.4,2.7
201708,74.0,0.0
201709,69.8,2.2
201710,62.4,6.0
201711,47.5,1.4
201712,36.1,-0.5
201801,32.8,-0.6
201802,43.2,8.2
201803,40.5,-2.2
201804,51.6,-0.6
201805,68.3,6.0
201806,72.6,1.6
201807,77.2,1.5
201808,78.6,4.6
201809,73.6,6.0
201810,60.2,3.8
201811,45.7,-0.4
201812,41.4,4.8
201901,35.3,1.9
201902,38.7,3.7
201903,43.2,0.5
201904,58.7,6.5
201905,66.9,4.6
201906,73.8,2.8
201907,79.8,4.1
201908,76.4,2.4
201909,71.6,4.0
201910,61.5,5.1
201911,43.6,-2.5
201912,40.0,3.4
202001,40.2,6.8
202002,41.9,6.9
202003,49.5,6.8
202004,51.8,-0.4
202005,60.6,-1.7
202006,73.7,2.7
202007,80.7,5.0
202008,77.2,3.2
202009,68.7,1.1
202010,60.0,3.6
202011,51.8,5.7
202012,39.7,3.1
202101,36.2,2.8
202102,35.5,0.5
202103,47.5,4.8
202104,55.0,2.8
202105,63.3,1.0
202106,73.8,2.8
202107,77.6,1.9
202108,77.0,3.0
202109,70.0,2.4
202110,63.1,6.7
202111,45.2,-0.9
202112,44.0,7.4
202201,31.5,-1.9
