Florida, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,52.5,-5.3
201002,52.6,-7.1
201003,59.0,-5.0
201004,69.7,0.3
201005,78.5,3.3
201006,83.1,3.5
201007,83.4,2.2
201008,83.5,2.3
201009,80.9,1.7
201010,72.1,-0.3
201011,64.9,0.4
201012,50.1,-8.9
201101,54.9,-2.9
201102,61.8,2.1
201103,66.5,2.5
201104,73.0,3.6
201105,76.2,1.0
201106,82.1,2.5
201107,82.6,1.4
201108,83.7,2.5
201109,79.7,0.5
201110,70.5,-1.9
201111,66.4,1.9
201112,62.8,3.8
201201,59.3,1.5
201202,64.3,4.6
201203,70.3,6.3
201204,71.2,1.8
201205,77.6,2.4
201206,79.3,-0.3
201207,82.4,1.2
201208,81.5,0.3
201209,79.5,0.3
201210,73.2,0.8
201211,62.1,-2.4
201212,62.0,3.0
201301,64.0,6.2
201302,61.8,2.1
201303,59.1,-4.9
201304,71.4,2.0
201305,74.0,-1.2
201306,81.1,1.5
201307,80.8,-0.4
201308,82.2,1.0
201309,80.0,0.8
201310,74.0,1.6
201311,67.1,2.6
201312,64.7,5.7
201401,54.5,-3.3
201402,62.8,3.1
201403,63.5,-0.5
201404,70.5,1.1
201405,76.0,0.8
201406,80.3,0.7
201407,81.8,0.6
201408,82.9,1.7
201409,79.7,0.5
201410,72.7,0.3
201411,61.1,-3.4
201412,61.9,2.9
201501,58.6,0.8
201502,56.5,-3.2
201503,69.5,5.5
201504,75.1,5.7
201505,77.5,2.3
201506,81.7,2.1
201507,82.8,1.6
201508,82.4,1.2
201509,80.0,0.8
201510,74.4,2.0
201511,72.2,7.7
201512,69.6,10.6
201601,56.9,-0.9
201602,59.4,-0.3
201603,68.8,4.8
201604,71.2,1.8
201605,76.2,1.0
201606,81.9,2.3
201607,84.0,2.8
201608,83.0,1.8
201609,81.1,1.9
201610,74.6,2.2
201611,66.6,2.1
201612,65.9,6.9
201701,62.8,5.0
201702,65.5,5.8
201703,66.2,2.2
201704,72.3,2.9
201705,77.1,1.9
201706,80.2,0.6
201707,82.8,1.6
201708,82.8,1.6
201709,80.4,1.2
201710,74.9,2.5
201711,67.4,2.9
201712,61.7,2.7
201801,55.0,-2.8
201802,69.2,9.5
201803,63.0,-1.0
201804,70.2,0.8
201805,76.4,1.2
201806,81.5,1.9
201807,82.4,1.2
201808,82.2,1.0
201809,82.4,3.2
201810,76.5,4.1
201811,66.7,2.2
201812,61.8,2.8
201901,58.4,0.6
201902,67.5,7.8
201903,65.7,1.7
201904,71.2,1.8
201905,78.8,3.6
201906,82.3,2.7
201907,82.8,1.6
201908,82.9,1.7
201909,81.9,2.7
201910,77.9,5.5
201911,64.9,0.4
201912,63.9,4.9
202001,61.8,4.0
202002,63.6,3.9
202003,71.0,7.0
202004,73.1,3.7
202005,75.8,0.6
202006,81.0,1.4
202007,83.0,1.8
202008,83.2,2.0
202009,80.6,1.4
202010,77.2,4.8
202011,70.8,6.3
202012,57.6,-1.4
202101,58.7,0.9
202102,63.8,4.1
202103,67.7,3.7
202104,69.8,0.4
202105,76.2,1.0
202106,80.7,1.1
202107,81.9,0.7
202108,82.6,1.4
202109,79.7,0.5
202110,75.4,3.0
202111,63.5,-1.0
202112,66.6,7.6
202201,57.6,-0.2
