Georgia, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
201001,41.8,-4.3
201002,42.1,-7.0
201003,52.1,-3.1
201004,64.5,1.4
201005,73.6,2.8
201006,81.0,3.8
201007,82.2,2.5
201008,82.2,3.2
201009,76.5,2.1
201010,64.8,0.6
201011,54.8,0.4
201012,39.9,-7.4
201101,41.8,-4.3
201102,51.1,2.0
201103,57.8,2.6
201104,65.8,2.7
201105,71.3,0.5
201106,81.1,3.9
201107,81.9,2.2
201108,82.2,3.2
201109,73.6,-0.8
201110,61.6,-2.6
201111,56.2,1.8
201112,51.3,4.0
201201,50.0,3.9
201202,52.8,3.7
201203,64.8,9.6
201204,65.6,2.5
201205,73.5,2.7
201206,75.6,-1.6
201207,82.2,2.5
201208,78.1,-0.9
201209,74.0,-0.4
201210,64.7,0.5
201211,52.6,-1.8
201212,52.1,4.8
201301,52.5,6.4
201302,48.8,-0.3
201303,50.2,-5.0
201304,62.9,-0.2
201305,68.4,-2.4
201306,77.8,0.6
201307,78.2,-1.5
201308,78.0,-1.0
201309,74.5,0.1
201310,65.0,0.8
201311,53.2,-1.2
201312,51.2,3.9
201401,40.0,-6.1
201402,49.8,0.7
201403,52.9,-2.3
201404,63.1,0.0
201405,71.2,0.4
201406,78.3,1.1
201407,78.9,-0.8
201408,79.2,0.2
201409,75.5,1.1
201410,65.6,1.4
201411,49.8,-4.6
201412,51.3,4.0
201501,44.9,-1.2
201502,43.2,-5.9
201503,58.8,3.6
201504,66.8,3.7
201505,72.4,1.6
201506,79.3,2.1
201507,81.5,1.8
201508,79.5,0.5
201509,73.8,-0.6
201510,64.8,0.6
201511,59.8,5.4
201512,58.9,11.6
201601,44.4,-1.7
201602,50.0,0.9
201603,60.9,5.7
201604,63.9,0.8
201605,70.8,0.0
201606,79.7,2.5
201607,82.8,3.1
201608,81.6,2.6
201609,77.5,3.1
201610,67.8,3.6
201611,58.0,3.6
201612,52.1,4.8
201701,53.2,7.1
201702,56.5,7.4
201703,58.0,2.8
201704,67.5,4.4
201705,71.4,0.6
201706,76.6,-0.6
201707,80.6,0.9
201708,79.4,0.4
201709,74.0,-0.4
201710,67.0,2.8
201711,56.4,2.0
201712,49.3,2.0
201801,42.5,-3.6
201802,59.2,10.1
201803,54.5,-0.7
201804,60.6,-2.5
201805,73.7,2.9
201806,79.3,2.1
201807,80.2,0.5
201808,79.4,0.4
201809,79.8,5.4
201810,68.4,4.2
201811,53.2,-1.2
201812,50.2,2.9
201901,48.2,2.1
201902,56.1,7.0
201903,56.3,1.1
201904,64.6,1.5
201905,75.7,4.9
201906,78.1,0.9
201907,81.0,1.3
201908,80.7,1.7
201909,79.1,4.7
201910,69.7,5.5
201911,52.8,-1.6
201912,52.3,5.0
202001,51.4,5.3
202002,51.9,2.8
202003,63.1,7.9
202004,63.1,0.0
202005,69.4,-1.4
202006,76.9,-0.3
202007,81.5,1.8
202008,80.4,1.4
202009,74.3,-0.1
202010,68.5,4.3
202011,60.4,6.0
202012,46.4,-0.9
202101,47.6,1.5
202102,49.5,0.4
202103,59.8,4.6
202104,62.0,-1.1
202105,69.5,-1.3
202106,77.0,-0.2
202107,79.3,-0.4
202108,79.9,0.9
202109,73.7,-0.7
202110,67.1,2.9
202111,52.6,-1.8
202112,56.6,9.3
202201,45.8,-0.3
